Expression,Meaning,Usage,Example
とき,when,"Used to indicate the time of an action or state, relative to another action or state.","学生のときよく勉強した。 <br>寝るとき電気を消します。 <br>学校に行くとき本を持っていきます。 <br>映画を見るときポップコーンを食べます。 <br>日本に行くとき日本語を勉強します。"
ながら,while,Used to indicate two simultaneous actions by the same subject.,"音楽を聞きながら宿題をした。 <br>話しながら料理をします。 <br>歩きながらアイスクリームを食べます。 <br>テレビを見ながらご飯を食べます。 <br>運転しながら電話をしないでください。"
まえに,before,Used to indicate an action or state that occurs before another action or state.,"食べる前に手を洗ってください。 <br>寝る前に歯を磨きます。 <br>出かける前に鍵をかけます。 <br>テストの前に勉強します。 <br>会議の前に資料を準備します。"
あと,after,"Used to indicate the time or order of an action or state, relative to another action or state.","映画のあとレストランに行った。  <br>学校のあと友達と遊びます。 <br>仕事のあとジムに行きます。 <br>食事のあと散歩します。 <br>勉強のあとゲームをします。"
あとで,after,Used to indicate an action or state that occurs after another action or state.,"映画を見たあとでレストランに行った。 <br>買い物をしたあとで休みます。 <br>メールを読んだあとで返信します。 <br>授業が終わったあとで図書館に行きます。 <br>旅行から帰ったあとで写真を整理します。"
てから,after,Used to indicate the order or sequence of actions.,"朝ごはんを食べてから学校に行った。  <br>宿題をしてからテレビを見ます。 <br>シャワーを浴びてから寝ます。 <br>手紙を書いてからポストに入れます。 <br>買い物リストを作ってからスーパーに行きます。"
うちに,while・before a change occurs,Used to indicate an action or state that occurs within a limited period of time or before a certain condition changes.,"雨が降らないうちに帰りましょう。 <br>若いうちにいろいろな経験をしましょう。 <br>暗くならないうちに公園を出ましょう。 <br>花が咲いているうちに写真を撮りましょう。 <br>子供が寝ているうちに仕事をします。"
あいだ,during・while・throughout,Used to indicate the duration of an action or state.,"夏休みの間、海外に行った。  <br>授業の間、静かにしてください。 <br>休憩の間、友達と話しました。 <br>映画の間、ポップコーンを食べました。 <br>彼女が外出している間、部屋を掃除しました。 "
あいだに,during・while,Used to indicate a one-time action that occurs within a certain period of time or during another action.,"会議の間に、重要なメールを受け取りました。 <br>電車が止まっている間に、本を読みました。  <br>彼が電話している間に、書類を整理しました。 <br>彼女が買い物をしている間に、車を洗いました。 <br>子供たちが遊んでいる間に、夕食の準備をしました。"
ところ,is about to,Used to indicate the timing or situation of an action or state.,"出かけるところです。 <br>食事をするところです。  <br>勉強を始めるところです。 <br>寝るところです。 <br>出発するところです。"
ているところ,is in the middle of,Used to indicate the ongoing situation of an action or state.,"今料理をしているところです。 <br>食事をしているところです。 <br> 掃除をしているところです。  <br>仕事をしているところです。 <br>レポートを書いているところです。"
たところ,have just done,Used to indicate that something has just happened or just been completed.,"ゲームを終わったところです。 <br>食事をしたところです。 <br>帰宅したところです。 <br>電話をしたところです。 <br>掃除をしたところです。"
ていたところ,was in the middle of,Used to indicate the past situation of an action or state.,"食事をしていたところに電話が鳴りました。 <br>出かけていたところに大雨が降り始めました。 <br>勉強していたところで眠気が襲ってきました。 <br>テレビを見ていたところで停電しました。 <br>本を読んでいたところで友達が訪ねてきました。"
ばかり,only・just・nothing but,Used to indicate the extent or degree of an action or state.,"この本は面白いばかりです。  <br>勉強ばかりしています。 <br>泣いたばかりです。 <br>寝たばかりです。 <br>食べたばかりです。"
るばかり,is about to・is on the verge of,Used to indicate that something is about to happen or is on the verge of happening. Express brevity of time of the action.,"電車が出るばかりです。  <br>食事をするばかりです。 <br>勉強を始めるばかりです。 <br>出発するばかりです。 <br>勉強を始めるばかりです。"
たばかり,just finished,Used to indicate that something has just happened or just been completed how little time you feel has passed since then.,"着いたばかりです。 <br>起きたばかりです。 <br>学んだばかりです。  <br>終えたばかりです。
<br>ゲームを終わったばかりです。"
てばかり,only・keep・always doing,Used to indicate a negative continuous or repetitive action by the same subject.,"寝てばかりいます。 <br>食べてばかりいます。 <br>彼は遊んでばかりです。 <br>文句を言ってばかりいます。 <br>ゲームをしてばかりいます"
てからでないと,must first do then・unless done then,Used to state a condition that must be met before something else can happen or be done. Can imply a strong sense of obligation or necessity.,"宿題をしてからでないと遊びに行ってはいけません。 <br>ご飯を食べてからでないと外に出ません。 <br>手を洗ってからでないと食事をしません。 <br>起きてからでないと、コーヒーを飲みません。 <br>確認してからでないとメールを送りません。"
てからでなければ,must first do then・unless done then,Used to state a condition that must be met before something else can happen or be done. Can also be used to make a request or suggestion more indirect," 着替えてからでなければジムに行きません。 <br>予約をしてからでなければレストランに行きません。 <br>準備をしてからでなければ会議を始めません <br>確認してからでなければ答えを出しません。 <br>親の許可をもらってからでなければ日本への留学ができません。"
,,,
させる,coercion,Used to indicate that the subject forces the agent to do the action.,"彼は彼女に嘘をつかせた。  <br>He made her lie."
させる,instruction,Used to indicate that the subject instructs the agent to do the action.,"先生は生徒に宿題をやらせた。  <br>The teacher made the students do homework."
させる,non-interference,Used to indicate that the subject does not prevent the agent from doing the action.,"彼女は彼に好きなことをさせた。  <br>She let him do what he liked."
させる,care,Used to indicate that the subject allows the agent to do the action for their own good.,"母は子供に野菜を食べさせた。  <br>The mother let the child eat vegetables."
させる,induce-involuntary,Used to indicate that the subject induces the agent to do the action involuntarily by some means.,"彼がいつも冗談を言ってみんなを笑わせる。  <br>He always makes everyone laugh with his jokes."
させる,cause,Used to indicate that the subject induces the agent or be the cause of something doing.,"フロンガスが地球を温暖化させている。  <br>Chlorofluorocarbon is causing global warming."
させるな,neglect,Used to indicate that the subject neglects the agent and lets them do the action.,"お風呂の水を溢れさせるな。  <br>Don't let the bath water overflow."
させておく,non-interference・set-up in advance,"Used to indicate that the subject causes or permits the agent to do the action for a future purpose or situation, or to keep them doing the action.","彼は彼女に手紙を書かせておいた。  <br>He made her write a letter in advance."
させてしまう,self-reproach・done completely,Used to indicate that the subject causes or permits the action by the agent with a sense of completion or regret.,"彼は彼女に泣かせてしまった。  <br>He made her cry completely or regretfully."
させてあげる,favor・permission,Used to indicate that the subject causes or permits the action by the agent as a favor or kindness.,"彼は彼女にケーキを食べさせてあげた。  <br>He let her eat the cake as a favor."
させてくれる,favor・permission,Used to indicate that the subject causes or permits the action by the agent as a favor or kindness for the speaker.,"彼は私にギターを弾かせてくれた。  <br>He let me play guitar as a favor."
させてくださる,favor・permission,Used to indicate that the subject causes or permits the action by the agent as a favor or kindness for the speaker with respect to the subject.,"先生は私に質問をさせてくださった。  <br>The teacher let me ask a question as a favor."
させてもらう,favor・permission,Used to indicate that the subject causes or permits the action by the agent with their permission or consent.,"友達に車を貸してもらった。 <br>My friend lent me his car."
させていただく,favor・permission,Used to indicate that the subject causes or permits the action by the agent with their permission or consent with respect to the agent.,"彼は彼女に名前を聞かせていただいた。  <br>He let her tell her name with her permission."
させてください,request for permission,Used to ask or request for permission to do something.,"今日は少し早く帰らせてください。  <br>Please let me go home a little early today."
させていただけますか,request for permission,Used to ask or request for permission to do something. Humble.,"少し考えさせていただけますか。  <br>May I have the honor of asking a question?"
させていただけませんか,request for permission,Used to ask or request for permission to do something. More polite and modest.,"質問させていただけませんか。 <br>Can you let me think about it for a moment?"
させていただけないでしょうか,request for permission,Used to ask or request for permission to do something. More polite and modest.,"この本を借りさせていただけないでしょうか。 <br>Would you mind if I have the honor of borrowing this book?"
させてもらいたい,want to be allowed to do,Used to express the desire to do something with someone’s permission or favor.,"私は彼に話を聞かせてもらいたいです。 <br>I would like to have him to let me listen to his story."
させていただきたい,want to be allowed to do,Used to express the desire to do something with someone’s permission or favor in a polite way.,"お客様にお話を伺わせていただきたいのですが。 <br>I would like to ask you some questions, if I may."
