Kanji,Meaning,S1,S2,S3,T1,T2,T3
闘,fight・war・battle,戦闘,乱闘,闘志,battle,scuffle,fighting spirit
精,refine・vitality・skill,精神,精通,精製,mind-spirit,well-versed,refining
則,rule・law・follow,規則,原則,法則,rule-regulation,principle,law-rule
葬,interment・bury,葬式,葬る,火葬,funeral,bury-entomb,cremation
乱,riot・war・disorder,乱暴,乱す,乱用,violence,disorder-disturb,abuse-misuse
避,evade・avoid,避難,避ける,退避,evacuation,avoid,taking refuge
普,universal・generally,普通,普段,普及,normal-ordinary,usual-normal,diffusion-spread
散,scatter・disperse,拡散,散る,解散,spreading,fall-scatter,dispersal-dissolution
司,director・official・administer,司会,司る,上司,leading a meeting,superior,preside over-administer
康,ease・peace,健康,健康的,小康,health,hygienic-healthy,respite-remission
測,plan・scheme・measure,測定,観測,予測,measurement,observation-survey,prediction-estimation
豊,bountiful・excellent・rich,豊富,豊か,豊作,abundant-plentiful,abundant-rich,abundant harvest
洋,ocean・sea・western style,洋服,洋食,海洋,western-style-clothes,western food,ocean-sea
静,quiet,冷静,静か,静止,calmness-composure,quiet-silent,stillness-repose
善,virtuous・good,改善,最善,慈善,betterment-improvement,utmost-best,charity-benevolence
逮,apprehend・chase,逮捕,誤認逮捕,逮捕令状,arrest-apprehension,mistaken-arrest,arrest-warrant​
婚,marriage,結婚,離婚,婚約,marriage,divorce,engagement
厚,thick・heavy・rich,濃厚,厚い,温厚,rich-strong-heavy,thick-deep-heavy,gentle-mild-mannered
喜,rejoice・pleasure,歓喜,喜ぶ,喜劇,delight,delighted,comedy
齢,age,年齢,老齢,適齢,age-years,old-age,suitable-age
