Kanji.A,Read.A,Mean.A,Kanji.B,Read.B,Mean.B,Kanji.C,Read.C,Mean.C
間,あいだ・ま,space・gap,音,おと,sound,柄,がら,pattern・build
青,あお,blue,帯,おび,belt,黄,き,yellow
穴,あな,hole,表,おもて・ひょう,surface,傷,きず,injury
油,あぶら,oil,親,おや,parents,君,きみ,you
案,あん,idea・plan,貝,かい,shellfish,曲,きょく,song・tune
胃,い,stomach,傘,かさ,umbrella,草,くさ,grass
家,いえ・うち,house,数,かず,number of,薬,くすり,medicine
息,いき,breathing,肩,かた,shoulder,靴,くつ,shoes
池,いけ,pond,方,かた・ほう,way・person,首,くび,neck
糸,いと,thread,形,かたち,form・shape,雲,くも,cloud
芋,いも,potato,角,かど,angle,煙,けむり,smoke
歌,うた,song,壁,かべ,wall,県,けん,prefecture
内,うち,inside,紙,かみ,paper,腰,こし,lower back
器,うつわ,bowl・container,髪,かみ,hair,粉,こな,flour
腕,うで,arm・ability,空,から・そら,empty・sky,差,さ,difference
絵,え,picture・drawing,体,からだ,body,坂,さか,slope
枝,えだ,branch,皮,かわ,skin,桜,さくら,cherry blossom
奥,おく,inner part・back,缶,かん,can・tin,皿,さら,plate
