Kanji,Meaning
情報,information・news
感情,emotion・feeling
表情,facial expression・appearance
同情,sympathy・compassion
情けない,miserable・pitiable
体温,body temperature
体育,physical education
液体,liquid
体積,capacity・volume
体制,order・system・structure・set-up
恨み,resentment・grudge・malice
恨む,bear a grudge against・resent・blame
恨事,regrettable matter
恨めしい,reproachful・hateful・bitter
遺恨,grudge・ill will・enmity
痛恨,deep regret・great sorrow
悔恨,regret・remorse・repentance
国籍,nationality・citizenship
戸籍,family register
書籍,book・publication
在籍,being enrolled
移籍,transfer
船籍,ship's country of registration
党籍,party membership
入籍,registering
学籍,school register
除籍,removing a name・ expelling
届ける,deliver・forward・send
届く,reach・touch・arrive・get to
届け出,report・notification
変更届,notification of change
見届ける,make sure of・ascertain
攻撃,attack・assault・criticise
専攻,major subject・special study
攻める,attack・assault・assail
攻勢,offensive・aggression
侵攻,invasion
希望,hope・wish・aspiration
希薄,thin・weak・dilute・sparse・lacking
希少,scarce・rare
希望者,applicant・candidate・volunteer
希少性,scarcity・rarity
務める,work for・employed at
義務,duty・obligation・responsibility
事務,office work・clerical work
公務,official business・public business
勤務,service・duty・work
職務,professional duties
任務,duty・function・task・mission
業務,business・affairs・duties
責務,duty・obligation
覆う,cover・hide・conceal・wrap
覆す,overturn・capsize・upset・reverse
覆面,mask・veil・disguise・anonymous
転覆,overturning・capsizing・overthrow
覆る,topple over・overturned・capsize
被覆,coating・covering
覆い,cover・mantle・hood
雨覆い,tarpaulin・rain-cover
傾覆,turning upside down
日覆い,sunshade・sunscreen・blinds
覆審,judicial review
覆水,spilled water​
修復,restoration・repair・mending
反復,repetition・iteration・recursion
復刻,republication・reissue・reprinting
