Sentence,Translation
日本語がペラペラになるぞ,You will become fluent in Japanese
漢字がすらすら読めた,I can read kanji easily
少しずつコツコツ勉強したからね,"I've studied hard, little by little"
これからも一生懸命練習しよう,Let's keep practicing hard from now on
どんどん日本語で話してみるよ,Try to speak Japanese more and more
間違えてもくよくよしないで,Don't worry if you make a mistake
いやいや勉強しても仕方がない,There is no point in studying reluctantly
だんだん上手になるからね,You'll get better and better at it gradually
厳しい先生がビシビシ教えてくれるよ,A strict teacher will teach you hard
学校の中はガヤガヤうるさかった,There was a lot of buzzing in the school
みんなペチャクチャしゃべっていたし,Everyone was chattering
先生が来たらシーンと静かになった,"When the teacher arrived, the scene became quiet."
ソワソワして落ち着かないね,I'm so nervous and restless
デートなんだ。ドキドキするなあ,It's a date. I'm so excited
それでウキウキしてるんだ, That's what's making me so happy
もう行かなきゃ。バタバタだぁ,I have to go. I'm in a flurry
彼は崖から落ちそうになって私はハラハラした,He almost fell off the cliff and I felt nervous
そんなにガミガミ言わないで,Don't be so nagging
グズグズしてるから時間が無くなるんだよ,You're goofing off and you're running out of time
てきぱき仕事ができる人になりたいな,I want to be a person who can work quickly
パーッと楽しいことしようね,Let's have a party and have fun
ニコニコ笑っていよう,Let’s smile
何イライラしてるの,What are you upset about?
もう恋なんてこりごりだ,I've had enough of love.
そんなにずけずけ言ったらきらわれるよ,You’ll be hated if you say things so bluntly
ちょっとベタベタ触らないで,Please don’t touch me so stickily
あの二人、そっくり。双子みたい,Those two look alike. They’re like twins
いいじゃん。のびのび座れるよ,That’s good. You can sit comfortably
この電車はガラガラに空いてるね,This train is empty and rattling
マンガを読んでゲラゲラ笑った,I laughed out loud reading the manga
今日はみんなでワイワイ遊ぼう,Let’s play together with everyone today
新鮮な野菜はパリパリしておいしい,Fresh vegetables are crispy and delicious
納豆ってネバネバしてるんだね,"Natto is sticky, isn’t it?"
上にソースがとろーりかかってて最高,The sauce on top is dripping and awesome
ここのケーキはフワフワ柔らかいね,"The cake here is fluffy and soft, isn’t it?"
髪の毛も肌もツヤツヤになったよ,My hair and skin became glossy and smooth
シャワーを浴びてさっぱりした,I felt refreshed after taking a shower
朝起きたばかりで髪の毛がぼさぼさ,My hair is messy just after waking up in the morning
また!? もう地震にはうんざり,Again!? I’m fed up with earthquakes
あれ、地震? ゆらゆら揺れてる,"Huh, earthquake? It’s shaking gently"
よしよし。慰めてあげよう,"There, there. Let me comfort you"
彼はめずらしくしょんぼり落ち込んでた,He was unusually gloomy and depressed
今日の予定は中止だね。ガッカリしないで,"Today’s plan is canceled, huh. Don’t be disappointed"
まだ予定がはっきりしないん,I still don’t have a clear plan
なんだかくらくらして倒れそう,I feel dizzy and like I’m going to faint
背中がゾクゾクする。カゼかな,My back feels chilly. Do I have a cold?
ズルズル鼻水も出る,I also have a runny nose
ハックションくしゃみが出ちゃった,I also sneezed
カサがなくてビショビショになっちゃった,I got soaked because I didn’t have an umbrella
きザーザー雨が降ってきた,It’s raining hard
