Kanji,ON,KN,K.Meaning,Level,Words.A,Words.B,Words.C
日,NICHI・JITSU,hi・ka,day・sun,BGN,日記。日付。日付。明日。昨日。平日,祝日。先日。日光。日常。日時。来日,日程。当日。日帰り。日用品。日の出。日陰
月,GETSU・GATSU,tsuki,month・moon,BGN,先月。来月。今月。満月。年月。月末,月給。月謝。毎月。正月。月収。翌月,月並み。生年月日。同月。月間。月光。月夜
火,KA,hi,fire,BGN,火。火災。火山。花火。火事。防火,下火。火星。噴火。火薬。火傷。消火,山火事。火災保険。導火線。焚き火。火力。火器
水,SUI,mizu,water,BGN,水。水道。水泳。水素。香水。淡水,水分。水平。水源。水筒。洪水。潜水,降水。水準。下水。水曜日。水蒸気。海水浴
木,BOKU・MOKU,ki・ko,tree・wood,BGN,,,
金,KIN・KON,kane・kana,gold,BGN,,,
土,DO・TO,tsuchi,earth・soil・ground,BGN,,,
曜,YOU,,weekday,BGN,,,
一,ICHI・ITSU,hito,one,BGN,,,
二,NI,futa,two,BGN,,,
三,SAN,mi,three,BGN,,,
四,SHI,yo・yon,four,BGN,,,
五,GO,itsu,five,BGN,,,
六,ROKU,mu,six,BGN,,,
七,SICHI,nana・nano,seven,BGN,,,
八,HACHI,ya・you,eight,BGN,,,
九,KYUU,kokono,nine,BGN,,,
十,JUU,too・to,ten,BGN,,,
百,HYAKU,,hundred,BGN,,,
千,SEN,chi,thousand,BGN,,,
万,MAN・BAN,,ten thousand,BGN,,,
半,HAN,naka,half・middle,BGN,,,
数,SUU・SU,kazu・kazo,number・strength,BGN,,,
円,EN,maru,yen・circle・round,BGN,,,
分,BUN・FUN・BU,wa,part・understand・minute,BGN,,,
時,JI,toki,time・hour,BGN,,,
週,SHUU,,week,BGN,,,
年,NEN,toshi,year,BGN,,,
今,KON・KIN,ima,now・present,BGN,,,
初,SHO,haji・hatsu・so,first time,BGN,,,
始,SHI,haji,start・begin,BGN,,,
終,SHUU,o,end,BGN,,,
何,KA,nani,what,BGN,,,
回,KAI・E,mawa,times・around・turn,BGN,,,
台,DAI・TAI,,stand・pedestal,BGN,,,
度,DO・TO・TAKU,tabi,degrees・occurrence,BGN,,,
代,DAI・TAI,ka・yo・shiro,substitute・period,BGN,,,
点,TEN,,point・mark・spot,BGN,,,
番,BAN,,turn・number series,BGN,,,
倍,BAI,,fold・times・twice,BGN,,,
上,JOU・SHOU,a・ue・nobo,above・up・top,BGN,,,
下,KA・GE,shita・sa・kuda・shimo,below・down・descend,BGN,,,
右,U・YUU,migi,right,BGN,,,
左,SA,hidari,left,BGN,,,
前,ZEN,mae,before・in front,BGN,,,
後,GO・KOU,ato・ushi・nochi,behind・back・later,BGN,,,
午,GO,,noon,BGN,,,
以,I,,by means of・compared with,BGN,,,
