Char.T,Reading.T,Meaning.T,Char.F,Reading.F,Meaning.F
調整中,ちょうせいちゅう,"under repair, out of service",調整手当,ちょうせいてあて,adjustment payment
調整値,ちょうせいち,"adjusted value, adjusted price",調整攻撃,ちょうせいこうげき,coordinated attack
調整剤,ちょうせいざい ,"adjustor, regulator, modifier",調整水準,ちょうせいすいじゅん,coordination level
調整弁,ちょうせいべん,"control valve, regulating valve",調整豆乳,ちょうせいとうにゅう,processed soy milk
調整役,ちょうせいやく,"coordinator, coordinating role",生産中止,せいさんちゅうし,"production stoppage, discontinuance"
調整池,ちょうせいち,"regulating reservoir, retention b",生産奨励,せいさんしょうれい,manufacturing promotion
生産児,せいざんじ,"live birth, child born alive",生産工学,せいさんこうがく,"production engineering, industrial engineering"
生産力,せいさんりょく,productivity,生産工程,せいさんこうてい,"production process, industrial operation"
生産品,せいさんひん,"product, produced goods",生産年齢,せいさんねんれい,"productive age, working age"
生産国,せいさんこく,"country of origin, country of manufacture",生産手段,せいさんしゅだん,means of production
生産地,せいさんち,producing area,生産技術,せいさんぎじゅつ,"production technology, industrial science"
生産性,せいさんせい,productivity,生産拠点,せいさんきょてん,production base
生産物,せいさんぶつ,"product, produce",生産方式,せいさんほうしき,"production system, production method"
生産率,せいさんりつ,"rate of output, production rate",生産現場,せいさんげんば,"point of production, production site"
生産的,せいさんてき,"productive, constructive",生産目標,せいさんもくひょう,production target
生産者,せいさんしゃ,"producer, grower, maker",生産管理,せいさんかんり,production control
生産財,せいさんざい,"producer goods, producer's goods",生産組合,せいさんくみあい,producer's association
生産費,せいさんひ,production costs,生産能力,せいさんのうりょく,"production equipment, productive capacity"
生産量,せいさんりょう ,production output,生産要素,せいさんようそ,factor of production
生産額,せいさんがく,amount of production,生産計画,せいさんけいかく,production schedule
生産高,せいさんだか,"yield, output, production",生産設備,せいさんせつび,"production facilities, manufacturing equipment"
現地人,げんちじん,native,生産調整,せいさんちょうせい,"adjustment of production, production adjustmen"
現地化,げんちか,localization,生産過剰,せいさんかじょう,overproduction
現地着,げんちちゃく,arrival on location ,生産関数,せいさんかんすう,production function
現地紙,げんちし ,local newspaper,現地到着,げんちとうちゃく,arrival on location
取材源,しゅざいげん,source for a news article,現地報告,げんちほうこく,on-the-spot report
取材班,しゅざいはん ,"team of reporters, news crew",現地採用,げんちさいよう,"hiring locally, locally-hire, local employee"
取材陣,しゅざいじん,"press corps, group of reporters",現地時間,げんちじかん,local time
平等権,びょうどうけん,right of equality,現地法人,げんちほうじん,local subsidiary
平等観,びょうどうかん,non-discriminative thought,現地生産,げんちせいさん,local production
保護区,ほごく,"sanctuary, reserve for wild animals, nature preserve",現地調査,げんちちょうさ,"field survey, field work "
保護司,ほごし,probation officer,現地調達,げんちちょうたつ,"local procurement, local content, sourcing locally"
保護室,ほごしつ,"holding cell, isolation room, quarantine room",現地通貨,げんちつうか,local currency
保護帽,ほごぼう,"hard hat, safety helmet",取材現場,しゅざいげんじょう ,"reporting location, interview location"
保護板,ほごばん,protective plate,取材相手,しゅざいあいて,"interviewee, subject of an interview"
保護林,ほごりん,forest reserve or preserve,取材記者,しゅざいきしゃ ,"on-the-ground reporter, news reporter"
保護犬,ほごけん,rescue dog,平等主義,びょうどうしゅぎ ,principle of equality
保護者,ほごしゃ,"guardian, protector, patron, parent",保護団体,ほごだんたい,conservation group
保護膜,ほごまく,"protective coating, protective film, overcoat",保護期間,ほごきかん,protection period of copyright
保護鳥,ほごちょう,protected bird,保護領域,ほごりょういき,protected area
保護金,ほごきん,subsidy,転換社債,てんかんしゃさい,convertible corporate bond
転換期,てんかんき,"turning point, transition phase",比較可能,ひかくかのう,comparable
転換点,てんかんてん,"turning point, tipping point",比較優位,ひかくゆうい,comparative advantage
比較器,ひかくき ,comparator,合成写真,ごうせいしゃしん,composite photograph
比較的,ひかくてき,"comparatively, relatively",合成洗剤,ごうせいせんざい,synthetic detergent
合成薬,ごうせいやく,synthetic drug,合成皮革,ごうせいひかく,"synthetic leather, artificial leather"
合成音,ごうせいおん,synthetic sound,合成繊維,ごうせいせんい,"synthetic fibre, synthetic fibe"
合成紙,ごうせいし,synthetic paper,合成麻薬,ごうせいまやく,"synthetic drug, synthetic narcotic"
追跡者,ついせきしゃ,pursuer,合成音声,ごうせいおんせい,"synthesized voice, synthesized speech"
新造船,しんぞうせん,"newly built ship, new boat",合成関数,ごうせいかんすう ,composite function
構造型,こうぞうがた,"derived type, structured type",追跡番号,ついせきばんごう,tracking number 
構造壁,こうぞうかべ ,"foundation wall, structural wall",追跡記号,ついせききごう,tracking symbol
構造式,こうぞうしき,structural formula,追跡調査,ついせきちょうさ,"follow-up survey, tracing survey, contact tracing"
構造物,こうぞうぶつ ,structure,構造変化,こうぞうへんか,structural change
構造的,こうぞうてき,structural,構造改革,こうぞうかいかく,"structural reform, restructuring"
再生産,さいせいさん,reproduction,構造主義 ,こうぞうしゅぎ,structuralism 
転換率,てんかんりつ,conversion rate,建築構造,けんちくこうぞう,architectural structure
難易度,なんいど,difficulty level,分子構造,ぶんしこうぞう,molecular structure
感謝祭,かんしゃさい,thanksgiving,文章構造,ぶんしょうこうぞう,sentence structure
気象庁,きしょうちょう,japanese meteoroligaical agency,社会構造,しゃかいこうぞう,social structure
,,,音楽構造,おんがくこうぞう,musical structure
,,,大量生産,たいりょうせいさん,mass production
,,,衛星追跡,えいせいついせき,satellite tracking
,,,追跡行動,ついせきこうどう,tracking behavior
,,,細胞追跡,さいぼうついせき,cell tracking
,,,粒子追跡,りゅうしついせき,particle tracking
,,,音声転換,おんせいてんかん,voice conversion
,,,文字転換,もじてんかん,character conversion
,,,金融転換,きんゆうてんかん,financial conversion
