Words,Reading,Meaning
パスポート,パスポート,passport
チケット,チケット,ticket
見せる,みせる,to show
東京,とうきょう,Tokyo
案内する ,あんないする ,to guide. lead
貸す,かす,to lend
借りる,かりる,to borrow
席,せき,seat
窓,まど,window
通路,つうろ,"avenue, aisle, passage"
どちら,どちら,"which way, which direction"
よろしい ,よろしい ,"ok, all right"
肉,にく,meat
野菜,やさい,vegetable
注文 ,ちゅうもん,"order, request"
以上 ,いじょう," and above, and upwards"
エコノミークラス,エコノミークラス,economy class
住まい,すまい,"dwelling, house, residence"
邪魔,じゃま,"hindrance, obstacle, nuisance"
手洗い,てあらい,"restroom, lavatory, hand-washing"
