Expression,Translation
少々お待ちください。,Please wait a moment.
こちらの番号札をお持ちください。 ,Please bring your number tag here.
こちらにおかけください。,Please sit here.
この中から一つお選びください。,Please choose one of these.
ぜひ、この機会をご利用ください。,Please take advantage of this opportunity.
間違いがないか、ご確認ください。,Please check for any mistakes.
在庫がなくなり次第、販売終了となります。ご了承ください。,Please understand that sales will end as soon as the inventory is sold out.
変更やキャンセルの場合は、早めにご連絡ください。,Please contact us as soon as possible in case of changes or cancellations.
お待ちになりますか。,Would you like to wait?
おやめになりますか。,Would you like to stop?
現金でお支払いになりますか。,Do you prefer to pay in cash?
別のサイズをお試しになりますか。,Would you like to try another size?
レジ袋はお使いになりますか。,Do you use plastic bags?
お間違えになりましたか。では、こちらにもう一度お書きください。,Did you make a mistake? Then please write here again.
お箸はご利用になりますか。,Do you use chopsticks?
メニューをご覧になりますか。,Would you like to see the menu?
何時ごろなら、ご自宅にいらっしゃいますか。 ,What time would you be at your home?
こちらにいらっしゃったのは初めてですか。,Is this your first time here?
デザートはお召し上がりになりますか。,Would you like to have dessert?
すみません、何とおっしゃいましたか。,"I'm sorry, what did you say?"
お母様はいつもどんな服をお召しになっていますか。,What kind of clothes does your mother always wear?
お時間があれば、ぜひご覧ください。 ,"If you have time, please take a look."
こういうサービスがあるのはご存じでしょうか。,Did you know that this kind of service exists?
遠くからお越しいただき、ありがとうございます。 ,Thank you for coming from afar.
量が多いので、皆さん、驚かれます。,Everyone is surprised by the quantity.
こちらの美術館にはもう行かれましたか。,Have you visited this museum yet?
初めて来られたという方が多いです。,Many say they are here for the first time.
ほかの方々は先ほど帰られたようです。,The others have just left.
いかがなさいますか。,What do you think?
お飲み物は何になさいますか。,What would you like to drink?
登録はもうされましたか。,Have you registered yet?
キャンセルされますか。,Will you cancel?
ご予約をいただき、ありがとうございます。,Thank you for your reservation.
番号を申し上げます。メモのご用意はよろしいでしょうか。,I would like to give you the number. Are you ready to write down your notes?
またのご来店をお待ちしております。,We look forward to serving you again.
ご案内します。,We will guide you.
お 領 を お無いしてもよろしいでしょうか。,May I have your permission?
本日、割引券を差し上げております。,We are giving away discount coupons today.
カードを拝見します。,I will see your card.
ただ今参りますので、少々お待ちください。,I am on my way. Please wait a moment.
トイレは、この奥にございます。,Restrooms are located at the back of the building.
税込で3500円でございます。,"The price is 3,500 yen including tax."
本日は誠にありがとうございます。,Thank you very much for your time today.
こちらがMサイズでございます。,This is the medium size.
こちら、お飲み物のメニューでございます。,Here is the beverage menu.
お二方とも、コーヒーでよろしいでしょうか。,Would both of you like coffee?
ご注文の品はお揃いでしょうか。,Do you have the same order?
わたくしではわかりかねます。,I am not sure.
いらっしゃいませ。,Welcome.
ごゆっくりどうぞ。,Please take your time.
ごゆっくりお楽しみください。,Please take your time and enjoy.
何かありましたら、お申し付けください。,Please let us know if there is anything we can do to help.
お忘れ物はございませんか。,Have you forgotten anything?
ご来店ありがとうございました。 ,Thank you for visiting.
ありがとうございました。またお越しくださいませ。,Thank you very much. Please come again.
お気をつけてお帰りください。,Please have a safe trip home.
