Expression,Scripts
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/xC00TFeqUf4"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",vogue
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/Kb_oxEaPBeg"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",vogue
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/fkmp8M62BXo"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",ega-channel
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/2MH5nS55kmE"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",hikakin-tv
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/rb3mHBFToOA"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",hikakin-tv
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/BSx29aGsx2I"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",ega-channel
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/NkxfEcKCqHg"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",miki-from-japan
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/eeA3B0em-a8"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",asukasanchi
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/xSdAw9lmITM"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",asukasanchi
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/6Y8u0GqhCz8"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",asukasanchi
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/OnbivSLSk24"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",haruna-kawaguchi
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/_1w2TioTxVw"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",haruna-kawaguchi
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/22chW23zxFA"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",haruna-kawaguchi
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/PH5AXxdesGE"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",haruna-kawaguchi
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/ZjBON5s6mvE"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",haruna-kawaguchi
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/bCm-BR10XZ8"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",haruna-kawaguchi
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/txiyw5vosrY"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",haruna-kawaguchi
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/fCDZkz6q688"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",susuru-tv
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/jb15f0cAfMU"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",tokyosanpo-by-holiday
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/Ho9SkGkpgf0"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",tokyosanpo-by-holiday
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/stAR8euRIzI"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",senchan
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/jRu1nLxGRMk"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",shibasaki
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/hNwgG74eD6k"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",shibasaki
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/W-i6wHbZXbc"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",shibasaki
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/7kqoe294PAw"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",ramen-cyclopedia
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/Elfu84Y_l6U"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",haruna-kawaguchi
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/mogkZ5lceVA"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",nogizaka-ofcl-channel
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/dqVq-4Nu1Po"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",nogizaka-ofcl-channel
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/GaAvbe55VrA"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",kahonotouzan-nikki
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/I8V94QKAR34"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",fuji-tv-announcer
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/XOBVtfRbdaM"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",fuji-tv-announcer
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/gXGACKk4bj4"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",fuji-tv-announcer
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/R0iXrR6UTbk"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",jinkoon-family
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/6qxZKq3VOgg"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",kotsubuchaneru
"<div class = ""containervideo"">
<center>
<iframe class = ""responsive-iframevideo"" src=""https://www.youtube.com/embed/2U4Z7huFoUY"" frameborder=""0"" allowfullscreen>
</iframe>
</center>
</div>",erinonichijou
