Expression,Translation
それは天候に耐えることができませんでした,It could not withstand the weather
私の家は地震に堪えるように設計されている,My house is designed to withstand earthquakes
その用件は明日まで待てますか,Can this matter wait until tomorrow
日本の企業はふつう従業員に制服を与える,Japanese companies usually give their employees uniforms
産地の特長を生かすよう原料や製法等が制限される,Raw materials and production methods are restricted to take advantage of local characteristics
小学校は明日から休暇になる,Elementary schools will be closed tomorrow
動物は本能で危険を察知する,Animals sense danger by instinct
看護婦は体温計で彼の体温を計った,The nurse took his temperature with a thermometer
それから5分の休憩を取ります,Then we take a five-minute break
お菓子で赤ちゃんが窒息するところだった,The baby almost suffocated on the snacks
あなたは転地療養が必要だ,You need to be relocated
運命とあきらめるのは早過ぎる,It's too early to give up on fate
この工場は日本から技術を導入して建設された,This factory was built with Japanese technology
敵の攻撃はわが軍の虚をついた,The enemy's attack took our army by surprise
不思議な現象が起きた,Strange things happened
想像し得るあらゆる方法をやってみた,We tried every way imaginable
彼らの埋蔵された宝物を求めて砂漠を探索した,We searched the desert for their buried treasure
アルコールはほとんど肝臓で代謝されます,Alcohol is mostly metabolized in the liver
まだ何ら契約は成立していない,No agreements have been made yet
レストランはとても本格的でおしゃれな雰囲気,The restaurant is very authentic and stylish
その警告はわかりやすいし具体的だ,Their warnings are clear and specific
地域で行われる防災訓練に積極的に参加する,He actively participates in local disaster drills
彼は日本の歴史を研究する目的で日本に来た,He came to Japan to study Japanese history
広範囲を釣ることも可能な筈であった,He should be able to fish a wide area
素敵な晩酌タイムをお過ごしください,Have a nice evening
弾力性の無い試料や軟らかい試料に適しています,Suitable for non-elastic or soft specimens
そのひとは態度が柔和であった,The man was soft in manner
彼女は展覧会で一等賞を得た,She won first prize at the exhibition
平等は憲法で保障されている,Equality is guaranteed by the Constitution
値が条件に等しいことを示します,Indicates that the value is equal to the condition
データ値がより小さいか等しい,Data value is less than or equal to
それは遠心力と等しいのです,It is equal to centrifugal force
基本的には第5類と等しい,It is equal to the fifth category of basic
動作基本が時間と等しい場合は設定できません,Cannot be set if the operating basic is equal to time
ある数値より大きいか等しい最小の整数を戻します,Returns the smallest integer greater than or equal to a certain number
請求書金額は配分の合計と等しいこと,Invoice amount must be equal to the sum of the allocations
詳しい情報が入り次第お知らせします,We will let you know as soon as we have more information
困惑の表情が顔をかすめた,A look of bewilderment grazed my face
家は情けないほど荒れ果てている,The house is in a pitiful state of disrepair
この地区は最近清掃されたの,This area was recently cleaned up
心の清い者は見目も美しい,The pure in heart are beautiful to the eye
島の気候は温暖である,The island's climate is temperate
モンスーン風は気候に強く影響します,Monsoon winds have a strong influence on the climate
快適な海上熱帯気候を期待できます,You can expect a pleasant maritime tropical climate
土地と気候に問題があった,There have been problems with the land and climate
悪化する天候も問題を引き起こす,Worsening weather also causes problems
天候はすぐ変わるため予測が難しい,Weather is difficult to predict because it changes quickly
各セグメントの予測変数の候補を決定する,Determine candidate predictors for each segment
この候補一覧より対象ユーザーを選択します,Select target users from this candidate list
以下の保管場所に候補となる工具が見つかりません,No candidate tools found in the following storage locations
知識で愛を語るのはご法度です,It is not legal to love with knowledge
候補税の正確なリストを作成します,Create an accurate list of tax candidates
彼は大統領に立候補したがっている,He wants to run for president
どんな兆候でも捜して貰いたい,I need you to look for any signs of infection
感染の兆候は見られません,I see no signs of infection
つまり気候変動は新しくないのです,So climate change is not new
これらが気候変動の自然要因です,These are the natural causes of climate change
気象測候所の設置はその後中止,The installation of weather stations has since been discontinued
本症候群は男性においては3倍の頻度で発現する,The syndrome is three times more common in men
時候のあいさつをする,Greetings from the time of the year
成人では、症候の多くは時間の経過とともに軽快する,"In adults, most of the syndromes will abate over time"
ターミナルで表示される要素の説明,Explanation of the elements displayed in the terminal
ヘモグロビンは人体の細胞に酸素を輸送する,Hemoglobin transports oxygen to cells in the human body
メタンガスに酸素を追加したのです,Oxygen is added to methane gas
私はそのポイントをもたらすあらゆる情況を憎む,I hate any circumstance that brings up that point
これは容量増加の自然な結果である,This is a natural consequence of increased capacity
改装により年売上が5千万ユーロ増える見通しであった,The renovation was expected to increase annual sales by €50 million
