Words,Reading,Meaning,S1,T1
それとも,それとも,"or perhaps, or, or else",あれはバスですか、それとも車ですか。,Is that a bus or a car?
そうしたら,そうしたら,and then,そうしたら彼女は何て言った？,Then what did she say?
しかも,しかも,"moreover, nevertheless             ","暗くなってきた, しかも雨まで降り出した。","It's getting dark, and it's even starting to rain."
それも,それも,in addition to that,熊が出た. それも山里ではなく町中にだ。,A bear appeared. And not in the country but in the middle of the town at that.
さらに,さらに,"furthermore, moreover  ",さらに命令のあるまで待つ。,Wait for further orders.
そのうえ,そのうえ,in addition,その上に賞金50万円をもらった。,"On top of that, he received a prize of 500,000 yen."
それに,それに,"besides, in addition, moreover",それに歯が痛くなってきた。,"Besides, my teeth are starting to hurt."
また,また,"besides, again, too, also, likewise",また近所で火事があった。,There was another fire in the neighborhood.
それから,それから,"and then, after that",それからここに住んでいる。,And then I live here.
そして　,そして　,"and, and then",そしてなお彼らは要求を続けた。,And still they continued to make demands.
でも,でも,but,でも大して役には立ちませんよ。,But it won't help much.
しかし,しかし,but,すばらしい車を見付けた．しかし値段が高すぎた。,"I found an ideal car. However, it was too expensive for me."
ところが,ところが,however,息子は出掛けたと思っていた．ところが２階で昼寝していたんだ。,"I thought my son had gone out, but he was having a nap upstairs."
けれども,けれども,"but, however",全力を尽くしたけれども失敗に終わった。,We did our best but failed.
それでも,それでも,"but still, nevertheless",だれもその絵をほめないが，それでもすばらしいと私は思う。,"No one praises the painting, but I still think it is wonderful."
または,または,"or, otherwise",塩またはしょう油で味を付ける。,Season with salt or soy sauce.
あるいは,あるいは,"or, either or",英語かあるいはフランス語かどちらかが必修です。,Either English or French is compulsory.
それで,それで,"therefore, because of that",それで大阪へ引っ越すことにした。,So I decided to move to Osaka.
すると,すると,"thereupon, hereupon",するとそこに警官が通り掛かった。,Then a policeman walked by.
だから,だから,"so, therefore",昨日は雨が降った．だから一日中家にいた。,It rained yesterday and so I stayed home all day.
そこで,そこで,"so, therefore, that’s why",そこでぜひ君に頼みたいということになったのだ。,That's why we decided to ask you to help us.
したがって,したがって,"therefore, consequently",彼は大層親切だった，従って皆に愛されていた。,He was very kind and therefore loved by everyone.
そのけっか,そのけっか,as a result of that,彼は遅く起きた。その結果、バスに乗り損なった。,"He woke up late. As a result, he missed the bus."
そのため,そのため,"hence, for that reason",そのためにこそお前を大学に入れたのだ。,It was for that purpose that we sent you to a university.
ところで,ところで,by the way,ところで希望のチケットは手に入りましたか。,"By the way, did you get the ticket you wanted?"
なぜなら,なぜなら,the reason is,なぜなら、最初のバージョンよりも更に不格好だったからです。,Because it was even uglier than the first version.
たとえば,たとえば,for example,"海外旅行, 例えばイタリアなんかどうだろう。","Travel abroad, for example to Italy."
つまり,つまり,"that is to say, in other words",彼は純粋過ぎるんだ。つまり世間知らずなんだ。,"He is too pure. In other words, he's naive."
ようするに,ようするに,"in short, in a word, to sum up",要するに彼は日和見主義者だ。,"In short, he is an opportunist."
ちなみに,ちなみに,"by the way, in connection, incidentally",ちなみに、写真はローストポークサンドです。,"By the way, the photo shows a roast pork sandwich."
