Words,Reading,M1,M2,M3,S1,T1
の,no,"p. case of, in, at, for, by",,,彼はこの大学の学生だ。,He is a student at this university.
に,ni,"p. case at, on, in, to, for",,,私は大阪に住んでいます。,I live in Osaka.
は,wa,p. topic,,,好きなスポーツはテニスです。,My favorite 	sport is tennis. 
た,ta,aux. past,,,昨日、彼を見ましたか。,Did you see him yesterday? 
を,o,p. case accusative,,,彼は毎晩ビールを飲む。,He drinks beer every night.
だ,da,aux. copula,,,僕は英語が苦手だ。,I’m not good at English.
が,ga,p. case nominative,,,こちらが私の妻です。,This is my wife.
て,te,p. conj. reason,,,お金がなくて、海外旅行できない。,I don’t have money so I can’t travel abroad.
と,to,"p. case and, or, with, if",,,彼とレストランへ行った。,I went to a restaurant with my boyfriend. 
ます,masu,aux. polite (after verb),,,来週京都へ行きます。,I will go to Kyoto next week. 
も,mo,"p. too, also",,,彼が行くなら、私も行きます。,"If he is going, I will go too. "
で,de,"p. case in, at, from, by",,,東京駅で彼女に会った。,I met her at Tokyo station. 
ている,teiru,cp. continuation,,,雨が降っている。,It’s raining.
です,desu,aux. copula,,,彼は独身です。,He is single.
れる,reru,aux. passive,,, 日本で使われている通貨は円です。,The currency used in Japan is yen. 
という, toiu,"cp. called, named",,,太郎という男の子を知っていますか。,Do you know a boy called Taro? 
事,koto,n. thing,,,今年はいろいろな事があった。,All kinds of things happened this year. 
言う,iu,"v. say, speak, talk",,,はっきり言うと、あなたの言っていることは無意味です。,"Frankly speaking, you are talking nonsense."
のです,nodesu,cp. assertion,,,どうしたんですか。,What’s the matter?
する,suru,"v. do, make",,, 仕事をしなければなりません。,I have to do my work. 
まあ,maa,interj. wow! oh my god!,,,まー、なんて素晴らしいんでしょう。,Wow! 	That’s amazing! 
の,no,p. possessive,,,彼が言ったのは本当だ。,What he said is true.
ある,aru,"v. be (existence), have (possession), happen, occur",,,彼の報告書は問題がある。,His report has some problems.
ね,ne,"p. disc. isn’t it?, don’t you?",,,いい天気ですね。,"It’s a nice day, isn’t it?"
ない,nai,aux. not,,,彼は朝ごはんを食べない。,He doesn’t have breakfast. 
なる,naru,"v. become, get, come to do, start to do, turn into",,, 彼は金持ちになるでしょう。,He will become rich. 
か,ka,p. disc. question,,,コーヒーか紅茶はいかがですか。,Would you like some coffee or tea? 
その,sono,adn. that,,,そのカバンを取ってくれませんか。,Can you pass me that bag? 
けれど,keredo,"conj. though, although",,,このアパートはあまり良くないけれど安い。,"This apartment is cheap, though it’s not so nice."
から,kara,p. case from,,,ここからその店までは遠い。,The shop is a long way from here. 
よう,you,aux. inducement,,,一緒に映画を見よう。,Let's watch a movie together.
思う,omou,"v. think, believe, feel, expect",,,私はそう思いません。,I don’t think so.
で,de,"conj. so, then",,,で、あの話はどうなりましたか?,So what happened about the story you mentioned? 
か,ka,p. if; or,,,誰か来たようだ。,It seems that someone has come. 
が,ga,p. conj. adversative,,,いい天気だが、風が冷たい。,It’s a sunny day but the wind is chilly. 
物,mono,"n. thing, object, stuff",,,そんなに高い物は買えません。,I can’t buy such expensive stuff. 
そう,sou,"adv. so, such",,,私もそう思います。,I think so too.
何 ,nani,"pron. what, something, anything, nothing",,,何を考えているんですか?, What are you thinking?
と,to,"p.conj. if, when, with",,,お酒を飲みすぎると、眠くなってしまう。,Drinking too much makes me sleepy.
私,"watashi, watakushi, atashi ",pron. I,,, 私は寿司が好きです。, I like sushi.
