Sentence,Translation
台風の影響で、昨夜から今朝にかけて、激しい雨が降り続いた。,The typhoon brought heavy rain last night and this morning.
この植物は九州北部から中部にかけて見られる。,This plant is found from northern to central Kyushu.
このあたりでは、4月から5月にかけていろいろな花が咲く。,"Around here, various flowers bloom from April to May."
ガス爆発で、彼は肩から腰にかけて大やけどを負った。,The gas explosion left him with severe burns from his shoulders to his waist.
ほこりだらけの部屋。,A room full of dust.
数学の答案は間違いだらけだった。,The math answers were full of mistakes.
苦労した祖父の手は固くてしわだらけだ。,My grandfather's hands are stiff and wrinkled from his hard work.
山頂までの道は石ころだらけだ。,The path to the summit is full of stones.
父の部屋は本だらけで足の踏み場もない。,My father's room was full of books and no place to step.
仕事が早く済んだのは、友達が手伝ってくれたおかげだ。 ,"The work was done quickly, thanks to the help of my friends."
白髪が少ないおかげで若く見られることが多い。,"Thanks to their lack of gray hair, they often look younger."
医療技術の進歩のおかげで平均寿命が伸びた。,"Thanks to advances in medical technology, life expectancy has increased."
彼の言うことを信じたおかげでひどい目にあった。,I had a terrible time because I believed what he said.
あの人のせいでみんなが迷惑している。,Everyone is annoyed because of that man.
景気が悪いせいでボーナスが減った。,Bonuses have been reduced due to the poor economy.
試合に負けたのはミスをした私のせいだ。,I lost the game because I made a mistake.
大気汚染が悪化したのは、政府が何の対策も立てなかったせいだ。,Air pollution has worsened because of the government's failure to take any action.
彼女は何でも人のせいにするから嫌われている。,"She blames others for everything, which is why people hate her."
気のせいか、最近父は元気がないようだ。,"Perhaps it is my imagination, but my father seems to be in low spirits these days."
年のせいか、このごろ物忘れがひどい。,"Perhaps it is because of my age, but I am forgetful these days."
このあたりは気候が温暖なせいか、のんびりしていて暮らしやすい。,"Perhaps because of the mild climate, this area is laid-back and easy to live in."
学生たちは、先生が黒板に書いたとおりにノートに写した。,The students copied the notes as the teacher wrote them on the blackboard.
外国語だと、なかなか思ったとおりに話すことができない。,"In a foreign language, it is difficult to speak as you expect."
父は、私たち家族が父の言うとおりにしないと、きげんが悪い。,"My father is not happy when we, his family, don't do as he says."
勉強がなかなか予定どおりに進まない。,Studies are not going as planned.
幼い弟は思いどおりにならないと大声で泣く。,A young brother cries loudly when he doesn't get his way.
例のとおりに書きなさい。,Write as in the example.
暗くならないうちに山を下りたい。,I want to get off the mountain before it gets dark.
祖父は元気なうちにいろいろな所へ旅行したいと言っている。,My grandfather wants to travel to different places while he is still healthy.
明日は母の日だ。母が寝ているうちに朝ごはんを作って驚かせよう。,Tomorrow is Mother's Day. Let's surprise my mother by cooking breakfast while she is sleeping.
十代のうちに将来の目標を決めたいと思っている。,He hopes to determine his future goals while he is still a teenager.
大事なことは忘れないうちにメモしておいたほうがいいですよ。,You should write down the important things before you forget them.
テレビを見ているうちに寝てしまい、試験勉強ができなかった。,I fell asleep while watching TV and could not study for the exam.
切符を買っているうちに電車が出てしまった。 ,The train left while I was buying a ticket.
しばらく会わないうちに、その子はずいぶん大きくなっていた。 ,"After not seeing him for a while, the boy had grown up a lot."
申し込み手続きに関してお伺いしたいのですが。,I would like to ask you about the application process.
パソコンで環境問題に関する記事を検索した。,I searched for articles on environmental issues on my computer.
