Words,Reading,Meaning
訪問する,ほうもんする,"to call, visit"
手土産,てみやげ,"present, gift"
写真,しゃしん,"photograph, photo, picture"
そっくり,そっくり,"altogether, entirely, exactly like, just like"
髪の毛,かみのけ,hair
リビング,リビング,"living, lifestyle, living room"
仕事,しごと,"work, job"
家族,かぞく,family
よく似ている,よくにている,"very similar, very alike"
お茶の用意,おちゃのようい,tea preparation
ガイド,ガイド,guide
玄関,げんかん,"entrance, entryway"
国,くに,country
お母さん,おかあさん,mother
双子,ふたご,twins
お父さん,おとおさん,father
ほくろがある,ほくろがある,have a mole
チャイム,チャイム,chime
お兄さん,おにいさん,older brother
中国,ちゅうごく,china
香港,ほんこん,hongkong
という,という,"to say, to name, to be called"
旅行会社,りょこうがいしゃ,"travel agent, travel agency"
両親,りょうしん,parents
日本人の家,にほんじんのいえ,japanese house
働いている,はたらいている,working
持っている,もっている,having
ぜひ,ぜひ,certainly
見せる,みせる,"to show, display"
上の兄,うえにあに,older brother
下の兄,したのあに,younger brother
右の目の下,みぎのめのした,under the right eye
仲間,なかま,"companion, fellow, colleague"
渡しました,わたしました,pass to him
それから,それから,and then
飲む,のむ,to drink
話す,はなす,"to say, speak"
来る,くる,to come
住んでいます,すんでいます,lives in
まず,まず,"firstly, first of all, to begin with"
話,はなし,"talk, speech, chat, story"
勤めている,つとめている,work for
行く,いく,to go
横に,よこに,on the side
友達,ともだち,friend
部屋,へや,room
パソコン,パソコン,personal computer
雑誌,ざっし,magazine
会社員,かいしゃいん,company employee
朝日,あさひ,morning sun​
丘,おか,"hill, rising ground"
町,まち,town
車,くるま,car
毎日,まいにち,everyday
銀行,ぎんこう,bank
総合病院,そうごうびょういん,general hospital
レストラン,レストラン,restaurant
オフィス,オフィス,office
コンピューター,コンピューター,computer
バイク,バイク,"motorbike, motorcycle, bike"
医者,いしゃ,doctor
銀行員,ぎんこういん,bank employee
ウェイター,ウェイター,waiter
ウエーター,ウエーター,waiter
