Words,Meaning
おなまえ,name (respectful)
がくせい,student
ごせんもん,"major, speciality (respectful)"
せんせい,teacher
せんもん,"major, speciality"
なまえ,name
にほんご,Japanese language
ひらがな,hiragana
わたし,"I, me"
あそこ,place over there
あなた,you
あの ,that over there
アパート,apartment
あれ,that one
いいえ,no
いしかわ,Ishikawa
いちねんせい,first-year student
ウォン,Wong
えいご,English
エイミー,Amy
エグザミナー,Examiner
えんぴつ,pencil
おとこ,male
おんな,female
かた,person (respectful)
カタカナ,katakana
きょうと,Kyoto
クラス,class
くるま,car
けいざいがく,economics
ここ,here
この,this
これ,this one
コンピューター,computer
サイエンス,science
ざっし,magazine
さんねんせい,third-year student
サンフランシスコ,San Francisco
じしょ,dictionary
ジミー,Jimmy
しゃしん,photograph
しんぶん,newspaper
そこ,there
その,that
それ,that one
ソン,Son
だいがく,"college, university"
だいがくいんせい,graduate student
だいがくせい,undergraduate student
タイムズ,Times
たち,plural marker (people)
だれ,who
テキスト,textbook
どこ,where
としょかん,library
どなた,who (respectful)
どの ,which
どれ,which one
なん,what
なんねんせい,what-year student
にねんせい,second-year student
にほん,Japan
ニューヨーク,New York
バークレー,Berkeley
はい,yes
ひと,person
ビル,building
ブラウン,Brown
ペン,pen
ボールペン,ballpoint pen
ほん,book
ミラー,Miller
も,also
よねんせい,fourth-year student
りょう,dormitory
わたしたち,we
ある,exist (things)
いす,chair
いち,one
いぬ,dog
いぬごや,doghouse
いらっしゃる,exist (respectful)
いる,"exist (people, animals)"
うえ,"on, above"
うしろ,"back, behind"
うち,"house, home"
おてあらい,"toilet, lavatory, restroom"
オフィス,office
かばん,briefcase
カメラ,camera
カリフォルニア,California
きむら,Kimura
きゅう,nine
きょうしつ,classroom
ぎんこう,bank
く,nine
ご,five
こやま,Koyama
さん,three
し,four
シカゴ,Chicago
した,"under, below"
しち,seven
じゅう,ten
せん,thousand
そと,outside
ソファー,sofa
たなか,Tanaka
だれか,someone
だれも,anyone
ちかく,vicinity
つくえ,desk
テーブル,table
てがみ,letter
ドイル,Doyle
とけい,"watch, clock"
どこかに,somewhere
どこにも,anywhere
どなたか,someone (respectful)
どなたも,anyone (respectful)
となり,next to
なか,inside
なな,seven
なに,what
なにか,something
なにも,anything
に,two
ねこ,cat
ノート,notebook
パク,Pak
はち,eight
はやかわ,Hayakawa
ひゃく,hundred
プログラム,program
ベッド,bed
へや,room
ホームズ,Holmes
ほんや,bookstore
まえ,front
やまだ,Yamada
ヤング,Young
ゆうびんきょく,post office
よこ,side
ヨセミテ,Yosemite
よん,four
ラジオ,radio
リン,Lin
ルームメート,roommate
ろく,six
ワトソン,Watson
あう,"meet, run into"
あさごはん,breakfast
あした,tomorrow
あるいて,on foot
いく,go
いつ,when
いっしょに,together
いま,now
うんどうする,exercise
えいが,movie
えき,station
おすし,sushi
おちゃ,tea
おはし,chopsticks
かいものする,shopping
かえる,go home
かく,write
カフェテリア,cafeteria
かようび,Tuesday
から,from
キム,Kim
きょう,today
きんようび,Friday
くる,come
げつようび,Monday
コーヒー,coffee
コーラ,cola
ごご,"afternoon, P.M."
ごぜん,"morning, A.M."
ごはん,"(cooked) rice, meal"
コピーする,copy
これから,"now, from now on"
じ,X o'clock
じてんしゃ,bicycle
ジム,gymnasium
しゅうまつ,weekend
しゅくだい,homework
ジョーンズ,Jones
しんかんせん,Japanese bullet train
すいようび,Wednesday
スーパー,supermarket
すし,sushi
する,do
そして,and then
それから,after that
ダウンタウン,downtown
たのしみにする,look forward to
たべる,eat
テニス,tennis
デパート,department store
テレビ,TV
でんしゃ,train
ともだち,friend
どようび,Saturday
なんか,something
なんじ,what hour
なんぷん,what minute
なんようび,which day of the week
にちようび,Sunday
にほんまち,Japantown
のむ,drink
はし,chopsticks
バス,bus
はん,half
ばんごはん,"dinner, supper"
ビール,beer
ひこうき,airplane
ひとりで,by oneself
ひるごはん,lunch
プラン,plan
ふん,X minute(s)
ぷん,X minute(s)
へえ,Oh
べんきょうする,study
まち,"town, city"
まで,"to, up to"
みる,"see, watch"
もくようび,Thursday
よむ,read
れい,example
わあ,Wow
あさ,morning
アメリカ,America
いちがつ,January
うん,yes (casual)
オークランド,Oakland
おきる,"wake up, get up"
おさけ,"liquor, Japanese sake"
おしえる,teach
かう,buy
がつ,Xth month
から,because
きく,"listen, ask"
きのう,yesterday
くがつ,September
ごがつ,May
こんばん,this evening
さけ,"liquor, Japanese sake"
さんがつ,March
しがつ,April
しちがつ,July
じゃあ,well then
じゅういちがつ,November
じゅうがつ,October
じゅうにがつ,December
ジョギングする,jogging
すぐ,"immediately, soon"
ステーキ,steak
せんしゅう,last week
たいへんな,tough
たくさん,"a lot, many"
タホ,Tahoe
チェン,Chen
チャイナタウン,Chinatown
つかれる,get tired
つくる,make
つもり,intention
テストする,"test, examination"
でも,but
てんぷら,tempura
どうして,why
とる,take
ドル,dollar
とんかつ,pork cutlet
など,etc.
なんがつ,which month
にがつ,February
にほんりょうり,Japanese cuisine
ねる,"go to bed, lie down"
はちがつ,August
ばん,evening
ハンバーガー,hamberger
ぶんがく,literature
マクドナルド,McDonald's
まだ,yet
もう,already
もうすぐ,soon
や,and
りょうりする,"cuisine, cooking"
レストラン,restaurant
ろくがつ,June
ワイン,wine
あそぶ,play
アメリカじん,American people
ううん,no (casual)
おかね,money
おさしみ,raw fish
おみせ,"store, shop"
およぐ,swim
かえす,return
かさ,umbrella
カナダ,Canada
カナダじん,Canadian people
かね,money
かりる,borrow
かんこくご,Korean language
かんこくじん,Korean people
がんばる,do one's best
キャンパス,campus
くつ,shoes
ご,suffix (language)
こうえん,park
ゴルフ,golf
こんど,next time
さかな,fish
さしみ,raw fish
ざんねんな,"regrettable, regret"
しけん,"test, examination"
しつもんする,question
じん,suffix (nationality)
すうがく,mathematics
スキー,ski
すこし,a little
スパゲティ,spaghetti
スペインご,Spanish language
それじゃ,well then (casual)
ちゅうかん,midterm
ちゅうごくご,Chinese language
ちゅうごくじん,Chinese people
つかう,use
テープ,tape
できる,able to (to be)
ですから,"therefore, so"
ドイツご,German language
ドイツじん,German people
なつやすみ,summer vacation
なにご,what language
にほんじん,Japanese people
パーティー,party
はな,flower
はなす,"speak, chat"
ピアノ,piano
ひく,play (musical instrument)
ピクニック,picnic
ふくしゅうする,review
ふゆやすみ,winter vacation
フランスご,French language
フランスじん,French people
また,again
みせ,shop
メキシコじん,Mexican people
もちろん,of course
やまもと,Yamamoto
りゅうがくせい,foreign student
ロシアご,Russian language
あかるい,"bright, cheerful"
あし,"foot, leg"
あたま,head
あたらしい,new
あちら,that direction
あまり,(not) much
いい,good
いかが,how (respectful)
いじわるな,mean
いつも,always
ウィルソン,Wilson
うるさい,noisy
おいしい,delicious
おおきい,"big, large"
