K1,M1,N1,W1,K2,M2,N2,W2,K3,M3,N3,W3,K4,M4,N4,W4,K5,M5,N5,W5
人,person,"JIN, NIN",人工。人気。人生,入,"enter, put in",NYUU,収入。侵入。入札,火,fire,KA,火熱。火山。火災,六,six,ROKU,六月。六角。甚六,八,eight,HACHI,八丁。八月。八面
穴,hole,KETSU,穴隙。墓穴。経穴 ,乙,second part,OTSU,甲乙。乙仲。乙種,己,self,"KO, KI",自己。利己。知己,忌,mourning,KI,忌中。忌憚。忌避,太,fat,"TAI, TA",太鼓。大虚。太陽
犬,dog,KEN,愛犬。畜犬。野犬,大,"big, large","DAI, TAI",大臣。大会。大学,士,gentlemen,SHI,修士。 兵士。武士,土,"ground, earth","DO, TO",土台。風土。土地,仕,serve,"SHI, JI",仕方。仕事。仕様
水,water,SUI,水泳。香水。淡水 ,氷,ice,HYOU,氷山。氷河。流氷,永,eternity,EI,永遠。永別。永住,主,master,SHU,主食。主体。主権,玉,sphere,GYOKU,玉石。玉酒。玉瑛
王,king,OU,王様。国王。王冠 ,未,not yet,MI,未来。未満。未知,末,"end, latter","MATSU, BATSU",始末。結末。末日,抹,"cross-out, wipe-out",MATSU,抹消。抹茶。抹香,日,"day, sun","JITSU, NICHI",期日。祝日。日常
百,hundred,"HYAKU, BYAKU, PYAKU",百倍。凡百 。百難,白 ,white,HAKU,告白。白面。白鳥,可,possible,KA,可能性。不可能。可逆 ,拘,arrest,KOU,拘置。拘引。拘留,句,phrase,KU,語句。俳句。字句
四,four,SHI,四月。四角。四季,匹,head,HITSU,匹偶。匹敵。匹儔,西,west,"SEI, SAI",西洋。関西。東西,矢,arrow,SHI,矢刃。矢石。矢状,医,medicine,I,医学。医者。医師
失,"lose, failure",SHITSU,失望。失礼。失明,冊,"volume, books counter","SATSU, SAKU",別冊。一冊。小冊子,血,blood,KETSU,血液。血圧。輸血,盟 ,alliance,MEI,同盟。連盟。加盟,月,"moon, month","GETSU, GATSU",月末。月額。正月
明,"bright, light",MEI. MYOU,明確。明朗。明朝,凸,convex,TOTSU,凸状。凸面。凸型,凹,concave,OU,凹凸。凹面鏡。凹形,円,"yen, circle",EN,円満。円滑。円柱,全,"whole, entire",ZEN,全部。安全。全快
金,"gold, money","KIN, KON",現金。金融。預金,栓,"cork, stopper",SEN,栓抜き。耳栓。血栓,廷,court,TEI,法廷。宮廷。開廷,艇,boat,TEI,競艇。艦艇。漕艇,庭,"yard, garden",TEI,家庭。校庭。庭園
年,year,NEN,近年。成年。去年,缶,can,KAN,缶詰。薬缶。空き缶,岳,peak,GAKU,山岳。岳人。山岳病,岩,rock,GAN,溶岩。岩石。岩盤,炭,coal,TAN,石炭。炭鉱。炭素
岸,coastal,GAN,海岸。沿岸。岸壁,正,correct,"SEI, SHOU",正確。正解。正直,整,organize,SEI,整理。調整。整備病,征,conquest,SEI,征服。遠征。征伐,波,waves,HA,電波。脳波。波長
婆,old woman,BA,老婆。鬼婆。産婆,渡,cross-over,TO,渡航。過渡。譲渡,忙,busy,BOU,多忙。繁忙。煩忙,忘,forget,BOU,忘年会。忘却。忘失,妄,delusion,"MOU, BOU",盲信。妄想。妄評
画,picture,"GA, KAKU",映画。計画。企画,価,value,KA,価格。評価。価値,面,surface,MEN,面接。面積。斜面,捜,search,SOU,捜索。捜査。博捜,押,push,OU,押収。押印。花押
抽,pull,CHUU,抽出。抽象。抽選,昆,"descendants, insect",KON,昆虫。昆布。昆虫学,混,mixture,KON,混血。混同。混雑,皆,"everyone, all",KAI,皆目。皆無。皆既,革,"leather, reform",KAKU,皮革。改革。変革
