Sentences,Remarks
うえの棚には辞書ばかり置いてあります,⚭ Noun + bakari【only】
りんごだけを買いました,⚭ Noun + dake【only】
花ばかりでなく花瓶も売っています,⚭ Noun + bakari de naku【not only】
洋服だけでなく靴も必要ですう,⚭ Noun + dake de naku【not only】
社長さんでも行きました,⚭ Noun + demo【even】
なおこほど上手ではありません,⚭ Noun + hodo【as much as】
コーラを三本ほど飲みました,"⚭ Noun + hodo【about, approximately】"
歴史上の重要さを考えておきましょう,⚭ Noun + jou【from the standpoint of】
台所は魚くさいです,⚭ Noun + kusai【smell of】
お医者さんは外人みたいです,"⚭ Noun + mitai【look like, appear to be, (noun)-like】"
鈴木さんの主人はとてもおとこらしい人です,"⚭ Noun + rashii【look like, appear to be】"
セーターなしで出かけてしまいました,⚭ Noun + nashi (de)【without】
コンピューターなんてわからないのです,⚭ Noun + nante【such (things) as】
その問題に関する正確な資料が得られない,"⚭ Noun + ni kansuru【as far as, related to, concerning, about】"
鈴木さんは日本の歴史に関して話しました,"⚭ Noun + ni kanshite【as far as, related to, concerning, about】"
経済に対する報告書はまだ読んでいません,"⚭ Noun + ni taisuru【towards, against, regarding, in contrast with】"
彼の意見に対して反対の人は手をあげてください,"⚭ Noun + ni taishite【towards, against, regarding, in contrast with】"
試験の結果について先生に聞いてください,⚭ Noun + ni tsuite【about】
とても好きだったので値段に気がづきませんでした,"⚭ Noun + ni ki ga tsuku【notice, take notice of】"
足元に気をつけてください,"⚭ Noun + ni ki wo tsukeru【pay attention to, watch out for】"
日本における最も有名な歌手です,"⚭ Noun + ni okeru【in, at, on (a specific area)】"
飲み物はアイスコーヒーにします,⚭ Noun + ni suru【decide on】
私にとってゴルフは一番楽しいです,"⚭ Noun + ni totte【(as) for, from the standpoint of】"
みんなの協力によってできました,"⚭ Noun + ni yotte【through, by way of, by means of, depending on】"
新聞によって世界の出来事をなります,"⚭ Noun + ni yotte【through, by way of, by means of, depending on】"
人によって違います,"⚭ Noun + ni yotte【through, by way of, by means of, depending on】"
自転車の代わりにオートバイを借りました,"⚭ Noun + no kawari (ni)【instead of, in place of】"
お父さんお代わりにお兄さんが行ってもいいです,"⚭ Noun + no kawari (ni)【instead of, in place of】"
今日一日中お姉さんのことを考えていました,⚭ Noun + no koto【about (little things of)】
男性のことがわからないのです,⚭ Noun + no koto【about (little things of)】
その情報のなかには大変重要なものもある,"⚭ Noun + no naka【among, (with) in】"
今年のうちに研究所の建築が始まる予定です,"⚭ Noun + no uchi【among, (with) in】"
自分のためにこの新製品を体験することができます,"⚭ Noun + no tame ni【for, in behalf of, for the sake of, because of】"
我々はトマトの上にタマネギを置く,"⚭ Noun + no ue (ni)【in addition to, on top of】"
だが思い出は写真のように時と共に色あせる,⚭ Noun + no you ni【like】
日時をもとにしてアクセスを制限することはできますか,⚭ Noun + o moto ni shite【based on】
そしてホテルを通してタクシーを予約,"⚭ Noun + o tooshite【through, with (by means of, by way of)】"
荷物の２パーセントしか調べません,"⚭ Noun + shika【(nothing, anything) except】"
この意味で科学は本質的に保守的です,"⚭ Noun + teki【-like, -ish, having the qualities of, -ical, ically】"
金属は陶器と違って鉱化するから,"⚭ Noun + to chigatte【unike, differing from】"
