Words,Reading,Meaning,S1,T1
相手,あいて,"companion, partner, opponent",彼女の相手をするのは楽しい。,I enjoy her company.
気温,きおん,air temperature,気温が摂氏10度に上がった。,Temperatures rose to 10 degrees Celsius.
世話,せわ,"looking after, help, aid, assistance",その少年は私の伯母の世話になっている。,The boy is in the care of my aunt.
何とか,なんとか,"somehow, one way or another",何とか宿題を仕上げた。,I managed to finish my homework.
卒業式,そつぎょうしき,graduation ceremony,卒業式は三月二十日に行われます。,The graduation ceremony will take place on March 20.
自信,じしん,"confidence, self-assurance",彼は自分の言葉に自信が無い。,He is not confident in his words.
点,てん,"point, mark, spot",それが重要な点です。,That is an important point.
大都市,だいとし,"big city, metropolis",東京は日本のどの都市にも劣らない大都市だ。,Tokyo is as big a city as any in Japan.
へそくり,へそくり,"secret savings, stash",へそくりでブラウスを買った。,I bought a blouse with the savings I had tucked away.
違い,ちがい,difference,あなたは違いが分かります。,You can tell the difference.
文化,ぶんか,culture,彼は日本の文化に詳しい。,He is an expert on Japanese culture.
節約,せつやく,"savings, economising",自分で服を作ったら節約になりますよ。,You can save money if you make your own clothes.
