Word,Reading,Meaning,S1,T1
ペラペラ,ペラペラ,fluently,日本語がペラペラになるぞ。  ,You will become fluent in Japanese.
すらすら,すらすら,"smoothly, easily, readily",漢字がすらすら読めた。,I can read kanji easily.
どんどん,どんどん,"drumming, pounding, rapidly, continuously, in succession",どんどん日本語で話してみるよ。  ,I'll try to speak more and more in Japanese.  
いやいや,いやいや,"unwillingly, reluctantly",いやいや勉強しても、仕方がない。 ,You can't help it if you study it reluctantly.
ビシビシ,ビシビシ,"stickily, relentlessly​", 厳しい先生が、ビシビシ教えてくれるよ。   , A strict teacher will teach you the lesson.   
ガヤガヤ,ガヤガヤ,"noisily, buzzingly",学校の中はガヤガヤうるさかった。,The school was buzzing with noise.
だんだん,だんだん,"gradually, little by little, more and more",だんだん上手になるからね。,I'm getting better and better at it.
コツコツ,コツコツ,"unflaggingly, steadily, untiringly, knocking, tapping",少しずつコツコツ勉強したからね。,I've learned a little bit of a tricky thing.
ドキドキ ,ドキドキ ,"feeling of excitement or nervousness, sound of pounding heart",胸をドキドキさせながら彼女はドアを開けた。,"With her heart pounding in her chest, she opened the door."
わくわく,わくわく,excitement usually associated with joy ,私たちはその試合を見てわくわくした。,We were thrilled to see that match.
はらはら,はらはら,indicates an uneasy feeling or anxiety,見ていてハラハラさせられた。,Just seeing it made me nervous.
かんかん,かんかん,describes the state of being very sunny or being furious,彼は彼女のことをかんかんに怒っている。,He is very angry with her.
イライラ,イライラ,refers to the feeling of irritation or frustration,イライラした気分で無能さを感じながら帰ります。,I leave feeling frustrated and incompetent.
ムカムカ,ムカムカ,feeling of discomfort due to nausea or anger,胸がムカムカして吐きそう。,I feel sick to my chest and want to throw up.
はっと,はっと,surprised by a sudden happening,彼には本当にはっとさせられた。,He was a real eye-opener.
ぎょっと,ぎょっと,indicates a scared or shocked ,彼はその爆発にぎょっとした。,He was perplexed by the explosion.
ぞっと,ぞっと,shivers going down one’s spine from cold or fear,彼の話は私を恐怖でぞっとさせた。,His story thrilled me with horror.
ごろごろ,ごろごろ,expresses the rumbling sound of thunder,雷がごろごろ鳴っている。,Thunder is rumbling.
ぴかっと,ぴかっと,a flash of light,出来事が彼の記憶を通してぴかっと光る。,Events flash through his memory.
ざあざあ,ざあざあ,sound or state of heavy rainfall,ざあざあ雨が降った。,It rained roughly.
ぽつぽつ,ぽつぽつ,"sound of rain that started not too long ago, bit by bit",館内に画廊がぽつぽつと目につき始めたのは90年代ごろから。,Art galleries began to pop up in the museum around the 1990s.
ぱらぱら,ぱらぱら,sound of it raining lightly,雨がぱらぱら降り出しました。,Rain began to sprinkle.
どんより,どんより,"overcast, dull, sullen",秋の雨に、どんよりとした週末だった。,The weather was a wet and overcast this weekend.
からっと,からっと,"clear up, dry, refreshing",湿気が多い日、からっと晴れた日でも、音質が変わる。,The sound quality varies even on humid and dry sunny days.
じめじめ,じめじめ,damp and humid gloomy,彼らは夏のじめじめした気候に慣れている。,They are used to the humid climate of the summer.
つるつる,つるつる,"very slippery, smooth, sleek, slurping",肌のうるおいを守って洗い上げつるつるの肌へ。,Protects the skin's moisture and washes it clean for smooth skin.
びしょびしょ,びしょびしょ,"soaking wet, drenched, drizzling",びしょびしょに濡ぬれていた。,It was soaking wet.
ぱりぱり,ぱりぱり,"crispy, crusty, crunchy, cracking",滑走面の下からぱりぱりといい音が起こった。,A nice crisp sound occurred under the runway surface.
さくさく,さくさく,"crunchy, crunching",林檎をさくさくと音をたてて食べた。,I ate the apple with a crunching sound.
しゃきしゃき,しゃきしゃき,crisp and juicy,独特な酸味としゃきしゃきした食感を持つ食品として食べられる。,It is eaten as a food with a unique sour taste and crunchy texture.
とろっと,とろっと,"melt smoothly, creamy",とろっとした味わいが楽しめる。,"Enjoy a thicker, more mellow taste."
ふんわり,ふんわり,"fluffy, soft, light",ふんわり優雅な風をお楽しみください。,"Enjoy the soft, elegant breeze."
かちかち,かちかち,"hard, stiff, rigid","こんなかちかちのパン, 食べられないよ","Such a hard bread, I can't eat it."
こちこち,こちこち,"hard, stiff, rigid",餅がこちこちになった。,The rice cake has dried up and gone hard.
ぱさぱさ,ぱさぱさ,"dry, dry out, crisp, hard to touch",ちょっとぱさぱさ感があって軽いので、いくらでも食べられます。,"It is a little crispy and light, so you can eat as much as you like."
しっとり,しっとり,"soft to the touch, calm, gentle, wet, moist",露にしっとり濡れる。,Moist and wet with dew.
ぴりっと,ぴりっと,spicy and hot,私がぴりっとする食糧を好むことを知っている。,They know I prefer spicy foods.
こってり,こってり,"rich, heavy, lingering, fatty, thick",そのこってりラーメンを爽やかなビールで流し込む。,Pour the heavy rich ramen with refreshing beer.
あっさり,あっさり,"not heavy nor lingering, light, plain",長浜ラーメンはあっさりしたスープと細麺が特徴です。,Nagahama ramen is characterised by its light soup and thin noodles.
くよくよ,くよくよ,"fretting, worrying about",間違えても、くよくよしないで。  ,Don't worry if you make a mistake.
いやいや,いやいや,"reluctantly, unwillingly",いやいや勉強しても、仕方がない,You can't help it if you study it reluctantly.
ビシビシ,ビシビシ,"relentlessly, vigorously, mercilessly",厳しい先生が、ビシビシ教えてくれるよ。,A strict teacher will teach you hard.
ペチャクチャ,ペチャクチャ,chattering,みんな、ペチャクチャしゃべっていたし。   ,Everyone was chattering.
シーンと,シーンと,quietly,先生が来たら、シーンと静かになった。,"When the teacher arrived, the scene became quiet."
ソワソワ,ソワソワ,"restlessly, fidgety",ソワソワして落ち着かないね。, I'm so nervous and restless.
ドキドキ,ドキドキ,excitedly,デートなんだ。ドキドキするなあ。," It's a date. I'm so excited,"
ウキウキ,ウキウキ,"exhilarating, thrilled",それでウキウキしてるんだ。 ,That's why I'm so thrilled.
バタバタ,バタバタ,"flurry, rattling",もう行かなきゃ。バタバタだぁ。, I have to go. I'm in a flurry.
ハラハラ,ハラハラ,"thrilling, suspense",危ない。あ～、ハラハラする。,"Dangerous. Oh, I'm on edge."
ガミガミ,ガミガミ,"nagging, griping",そんなにガミガミ言わないで。,Don't be so nagging.
グズグズ,グズグズ,"fumbling around, goofing off, wriggling",グズグズしてるから、時間が無くなるんだよ。   ,"You're goofing off, and you're running out of time."
ねばねば,ねばねば,sticky and slimy,納豆はねばねばしている。,Natto is sticky.
がりがり,がりがり,"scrawny, skinny, skin and bones, thin",彼女はがりがりに痩せている。,She is bitterly thin.
ほっそり,ほっそり,"slim, slender, thin",彼女は背が高くほっそりとした金髪の女性だった。,"She was a tall, slender blonde woman."
