Expression,Translation
例えばですね,For example
つくらない建築,Architecture that doesn't build
みなさんにメッセージ,Message to everyone
送るとともに,Send with
世界にも流れたらいいかなと思って,I thought it would be good if it could be distributed to the world
話をさせていただきます,Let me tell you a story
建築家という言葉から,From the word architect
イメージされるものは,What is imagined is
どんなものがありますか,What kind of things do you have?
一般的には,In general
建築家と言ったら,When I say architect
こんなイメージですね,This is the kind of image
それから東京都庁舎ですね,Then there's the Tokyo Metropolitan Government Building
日本が誇る大建築家の作品,The works of Japan's greatest architects
この近くに県立美術館があって,There is a prefectural art museum near here
これは内部の写真,This is a picture of the interior
かなり凄腕の自分 ,I have a quite remarkable ability
自身が持っている ,I have my own 
個性ある意匠をかたちにしている,Giving shape to unique designs
そういうイメージが,That's the image I have
一般的じゃないでしょうか,Isn't it common?
そして僕も今紹介されたように,And as I was just introduced
結構若い時から,From a fairly young age
建築をやっていまして,I've been doing architecture
俺はこんなん作りたいな,I'd love to make something like this.
ということで やってきました,So here I am
本当に若いときです,I was really young
自分の個性を出せば,If you put your own personality out there
希望者の希望を受け止められる,We can accept the wishes of those who wish to do so
両方できると思っていたが,I thought you could do both
なかなかこれが上手いこといかないんですね,It's not easy to do this
建築家の個性と依頼者の希望の対立,Conflict between the architect's personality and the client's wishes
その対立というのは,The conflict is that
当時の僕の大きな悩みでした,That was my big concern at the time
これをなんとか解決しなかったら,If we didn't manage to fix this
建築家の仕事はやっていけないと思いました,I knew I couldn't do the work of an architect
私の追い求めた,My pursuit of
理想の建築観,Ideal view of architecture
僕が考えた建築というのは,My idea of architecture is
対立ではないところに結果を見出したい,I want to find results where there is no confrontation
結果は共同とか共感ということだったんですね,So the result was about collaboration or empathy
目と手で出来ているんです,It's made of eyes and hands.
この絵を見ていただくと,If you look at this picture.
建築の要素は,The architectural elements are
建築目的と,Building Purpose and
ときどき目で標的をとらえて,Sometimes you have to catch the target with your eyes
こんな贅沢が通用するのは,This kind of luxury is acceptable
大きな屋敷ですが,It's a big mansion.
このようなお祝いがされています,This is what is being celebrated
住みやすい建築を作れば,If we create livable architecture
それを僕たちは応援しています,That's what we are supporting
だから折り合いが要ります,So you have to come to terms with it
個人としての僕もしたいと思います,I as an individual would like to do the same
僕が一生懸命説明しようとしても,I tried my best to explain
初めて夢破れた場所だからです,It's where my dreams were broken for the first time
海外にいきたい,I want to go abroad.
どんな返事だと思いますか,What do you think the reply would be?
どうか子供の夢をお風呂で片付けないでください,Please don't put your children's dreams away in the bathtub
その時のことは,At that time
日本の様々な素晴らしい文化,Various wonderful cultures of Japan
世界に伝えていきたいと思います,I would like to tell the world about it
食と文化の融合という,The fusion of food and culture
脳裏に鮮明かつ斬新に,Vivid and novel in the mind
記憶に残るのではと考えます,We think it will be memorable
そんな思いから,With this in mind
食の提供ができる,Able to provide food 
可能性を秘めている,It has potential
視覚で訴える寿司,Visually appealing sushi
あなたはそんな経験がありますか,Do you have such an experience?
お寿司を塩で食べ,Eat sushi with salt
お茶の渋さを味わう,Taste the bitterness of tea
寿司は味覚の全て,Sushi is all about taste
一度に堪能することができます,You can enjoy it all at once!
その味覚のバランスの良さがあるからこそ,It's the balance of those tastes that makes it so special
全く異なった分野の食材や素材,Ingredients and materials from completely different fields
融合できる可能性秘めているのかも知れません,It may have the potential to be fused
人の想像力は多岐に渡り,People have a wide range of imaginations
そしてそれが本当に美味しい寿司であったとき,And when it is truly delicious sushi
人々は満足感に溢れ,People feel satisfied and
とても幸せな気持ちになります,It makes me very happy
実際にそう答える人が 多いと思います,I think a lot of people would actually answer that way
お寿司に合うワインは何ですか,What wine goes well with sushi?
そして職人はこう答えます,The sushi chef responded
お寿司に合うワインなんてない,There is no such thing as a good wine with sushi
お寿司に合うワインを出す,Serve wine that goes well with sushi
果たして本当にそうなのでしょうか,Is this really the case?
両方が主役となるものを創る,Create something in which both play a leading role
お寿司のネタをこれまでの形に囚われることなく,Sushi items are not bound by conventional forms
世界中の人に届ける旅を続けていきたいと思います,We would like to continue our journey to reach people all over the world
そして秘められた可能性に光を当て形にし,And to shed light on hidden possibilities and give them shape
日本という豊かな国に生まれ,Born in the rich country of Japan
お寿司の美学であり,It is the aesthetics of sushi
最高の贅沢だと考えます,We consider it the highest luxury
一瞬で堪能する,Indulge in a moment
新鮮な魚を食すだけでなく,In addition to eating fresh fish
手間暇かけた芸術と技術の結晶,The fruits of time-consuming art and technology
世界中の様々な文化と共に冒険し続ける,Continuing adventures with various cultures around the world
その可能性や価値を 生み出してくれる食材,Ingredients that create the potential and value
お寿司に秘められた可能性は無限です,The possibilities hidden in sushi are endless!
そして世界に出て行くことにより,And by going out into the world
他国の文化を受け入れ,Acceptance of other cultures
お寿司を進化させたいと思います,I would like to evolve sushi!
僕はこれからもお寿司を通じて,I will continue to work through sushi
世界一小さいお寿司も,And the world's smallest sushi
日本の伝統的な柄である,It is a traditional Japanese pattern
日本の伝統や文化,Japanese traditions and culture
そういう たたずまいのように 思えてきます,It seems like that's the way it looks.
これから僕がみなさんとシェアしたいのは,What I want to share with you from now on is
壁にぶつかったある美大生が,An art college student who hit a wall
表現と祈りの関係を知って,Knowing the relationship between expression and prayer
そうなりますと,If that happens
そうして寒さを防ぐように,So as to keep out the cold
そうして寒さを防ぐように 頑張ろうとしています,And so we try our best to keep the cold out
窓だらけだと,If it's full of windows
斜めに柱が入っています,It has diagonal columns.
これ以上 何が欲しいんだと言います,"I say, what more do you want?"
今、夏の真っ盛りです,Summer is in full swing right now
社会が変化に柔軟に対応できて,Society can respond flexibly to changes
