Rank,Words,Note,Sentences,Translation,Remarks
1,の,"no [p. case] possessive; in, at, for, by, of",これは私の妹の写真です。,This is a picture of my little sister.,"1- の/no [p. case] possessive; in, at, for, by, of"
2,に,"ni [p. case] location; on, in, to, for",ディズニーランドに行きたいです。,I want to go to Disneyland.,"2- に/ni [p. case] location; on, in, to, for"
3,は,wa [p] topic maker,それは 私 のではありません。,That is not mine.,3- は/wa [p] topic maker
4,た,ta [aux] indicates past tense,今日は仕事に行きました。,I went to work today.,4- た/ta [aux] indicates past tense
5,を,"o [p. case] objective, accusative",これを読んでください。,Please read this.,"5- を/o [p. case] objective, accusative"
6,だ,da [aux] copula; be; is,このゲームは君の勝ちだ。,You are the winner in this game.,6- だ/da [aux] copula; be; is
7,が,"ga [p. case] nominative, subjective",これが読みたかった本です。,This is the book I wanted to read.,"7- が/ga [p. case] nominative, subjective"
8,て,te [p. conj] reason,足が痛くて、歩けない。,My feet hurt so I can’t walk.,8- て/te [p. conj] reason
9,と,"to [p. case] and, with",妻とビーチに行きました。,I went to the beach with my wife.,"9- と/to [p. case] and, with"
10,ます,masu [aux] indicates respect for the listener,お荷物は明日お届けします。,We will deliver your package tomorrow.,10- ます/masu [aux] indicates respect for the listener
11,も,"mo [p] too, also",これも明日までの宿 題だ。,This homework is also due tomorrow.,"11- も/mo [p] too, also"
12,で,"de [p. case] location or time; in, at, from, by",あの公 園で会いましょう。,Let’s meet at the park.,"12- で/de [p. case] location or time; in, at, from, by"
13,てる,teru [aux] indicates continuing action or state; be,赤ちゃんが鳥を見てる。,The baby is looking at the bird.,13- てる/teru [aux] indicates continuing action or state; be -ing
14,ている,"te iru [aux, cp] indicates continuing action or state; be",ずっと音 楽が鳴っている。,The music is still playing.,"14- ている/te iru [aux, cp] indicates continuing action or state; be -ing"
15,です,desu [aux] copula,これが私の家です。,This is my house.,"15- です/desu [aux] copula-polite; be, is"
16,れる,reru [aux] indicates passive voice,ふつうに使われる交通機関は電車です。,The transportation normally used is the train.,16- れる/reru [aux] indicates passive voice
17,という,"to iu, to yuu [cp] called, named",これが、マカロンというお菓子です。,This is a confectionary called a macaron.,"17- という/to iu, to yuu [cp] called, named"
18,つう,"tsuu [na-adj] connoisseur, authority",通な人が好む店だ。,This is a shop that connoisseurs are fond of.,"18- つう(通)/tsuu [na-adj] connoisseur, authority"
19,こと,"koto [n] thing, matter",お話ししたい事があります。,I have a matter that I would like to talk about.,"19- こと(事)/koto [n] thing, matter"
20,ええ,"ee [interj] yes, well",ええ、私もそう思います。,"Yes, I think so too.","20- ええ/ee [interj] yes, well"
21,えー,ee [interj] what? eh?,えー、うそでしょ。,"What? Surely, that’s a lie!",21- えー/ee [interj] what? eh?
22,言う,"iu, yuu [v] say, speak, talk",みんなが違う事を言う。,Everyone says something different.,"22- 言う/iu, yuu [v] say, speak, talk"
23,あの、あのう、あのー,"ano, anoo [interj] uh, ah, er",あの、すみませんが、バス停への道を教えてください。,"Er, excuse me. Please show me the way to the bus stop.","23- あの、あのう、あのー/ano, anoo [interj] uh, ah, er"
24,まあ,maa [adv] just,これでまあいいと思うよ。,I think this is just fine.,24- まあ/maa [adv] just
25,まー,"maa [interj] Wow! Oh, my goodness!",まー、 すごい!,Wow! That’s great!,"25- まー/maa [interj] Wow! Oh, my goodness!"
26,ある,"aru [v] be, exist, happen, occur",土曜日にコンサートがある。,There is a concert this Saturday.,"26- ある/aru [v] be, exist, happen, occur"
27,ね,ne [p. disc] sentence ending; request for agreement or confirmation,このバッグはあなたのですよね。,"This is your bag, isn’t it?",27- ね/ne [p. disc] sentence ending; request for agreement or confirmation
28,ない,nai [aux] negative suffix; not,その映画には興味がないです。,I am not interested in that movie.,28- ない/nai [aux] negative suffix; not
29,なる,"naru [v] intransitive; become, get, to be, to result in",大きくなったら、何になる。,What are you going to be when you grow up?,"29- なる/naru [v] intransitive; become, get, to be, to result in"
30,か,ka [p] sentence ending; indicates a question,この電 車はどこに行きますか。,Where does this train go?,30- か/ka [p] sentence ending; indicates a question
31,その,sono [adj] that,その本はもう読みました。,I have already read that book.,31- その/sono [adj] that
32,けれど,"keredo [conj] but, however, although",何度も聞いたけれど、よくわかりません。,"I have asked many times, but I still don’t understand.","32- けれど/keredo [conj] but, however, although"
33,から,kara [p. case] from,駅から学 校まではどのくらいかかりますか。,How long does it take to get to the school from the station?,33- から/kara [p. case] from
34,よう,"yoo [aux] inducement, speculation",お昼ごはんを食べよう。,Let’s eat lunch.,"34- よう/yoo [aux] inducement, speculation"
35,思う,"omou [v] think, believe, feel, expect",それはいいアイディアではないと思う。,I don’t think that’s a good idea.,"35- 思う/omou [v] think, believe, feel, expect"
36,物,"mono [n] thing, object",重い物は棚の上に置かないでください。,Please do not put heavy objects on the shelf.,"36- 物/mono [n] thing, object"
37,そう,"soo [adv] in that way, so, such, that’s right",そうですよね。,"Yes, that’s so right, isn’t it?","37- そう/soo [adv] in that way, so, such, that’s right"
38,何,"nani, nan [pron] what, something, anything, nothing",これは何の料理ですか。,What dish is this?,"38- 何/nani, nan [pron] what, something, anything, nothing"
39,私,"watashi [pron] I, me",私は日本語の教師です。,I am a Japanese teacher.,"39- 私/watashi [pron] I, me"
40,しまう,"shimau [v] transitive; to finish, to close, end up doing",この作 業は早く終わらせてしまうほうがいい。,It is best that we finish up this task quickly.,"40- しまう/shimau [v] transitive; to finish, to close, end up doing"
41,それ,sore [p] that,それをここに持ってきてもらえますか。,Can you please bring that here?,41- それ/sore [p] that
42,とか,"to ka [p conj] and or, such, like, among other things",牛乳やバターとかは後で買おう。,Let’s get things like milk and butter later.,"42- とか/to ka [p conj] and or, such, like, among other things"
43,この,kono [adj] this,このお店に入りましょう。,Let’s go into this store.,43- この/kono [adj] this
44,無い,nai [i-adj] not being there,その書類はこのオフィスには無いです。,The document is not in this office.,44- 無い/nai [i-adj] not being there
45,行く,"iku [v] go, move, come, proceed",このプロジェクトがいい方向に行くといいね。,I hope this project goes in the right direction.,"45- 行く/iku [v] go, move, come, proceed"
46,んだ,n da [cp] assertive expression; it is that; the fact is that,本 当のことを言うと、その花瓶は私が壊したんだ。,"To tell you the truth, I broke the vase.",46- んだ/n da [cp] assertive expression; it is that; the fact is that
47,のだ,no da [cp] assertive expression; it is that; the fact is that,この法 律は19世紀に作られたのだ。,This law was made in the 19th century.,47- のだ/no da [cp] assertive expression; it is that; the fact is that
48,せる,seru [aux] indicates causative or being granted a permission,このゴミは彼に片付けさせるつもりです。,I will make him clean up this mess.,48- せる/seru [aux] indicates causative or being granted a permission
49,これ,kore [pron] this,どうぞ、これをお持ちください。,Please take this with you.,49- これ/kore [pron] this
50,もう,"moo [adv] soon, already, again",もう夏休みは終わりです。,The summer break is already over.,"50- もう/moo [adv] soon, already, again"
51,である,de aru [cp] copula,新消費税率は10%である。,The new consumption tax rate is 10%.,"51- である/de aru [cp] copula-formal be, is"
52,時,"toki [n] time, hour, occasion",景気のいい時は、よく物が売れる。,Goods sell well when the economy is good.,"52- 時/toki [n] time, hour, occasion"
53,な,na [p. disc] sentence ending; indicates emphasized emotion,この映画はつまらないな。,This movie is so boring!,53- な/na [p. disc] sentence ending; indicates emphasized emotion
54,ず,zu [aux] not doing,文句を言わずにいられない。,I cannot stand by without complaining.,54- ず/zu [aux] not doing
55,ので,"node [p. conj] because, since, because of",値段が高かったので、買うのをやめた。,I did not buy it because it was expensive.,"55- ので/node [p. conj] because, since, because of"
56,んで,"n de [p. conj] because, since, because of",金曜日はレストランが混むんで、土曜日に行こう。,"Since the restaurant will be crowded on Friday, let’s go on Saturday.","56- んで/n de [p. conj] because, since, because of"
57,人,"hito [n] person, people, human being",世界には多くの人がいます。,There are a lot of people in the world.,"57- 人/hito [n] person, people, human being"
58,よ,"yo [p. disc] sentence ending; indicates certainty, emphasis, request",急いだほうがいいよ。,We’d better hurry up!,"58- よ/yo [p. disc] sentence ending; indicates certainty, emphasis, request"
59,こう,"koo [adv] so, like this, in this way",その算数の問題はこうすると解けるよ。,The math problem can be solved like this.,"59- こう/koo [adv] so, like this, in this way"
60,ば,"ba [p. conj] if...then, when",このプロジェクトが終われば、休みが取れます。,"When this project is over, I can go on a vacation.","60- ば/ba [p. conj] if...then, when"
61,や,"ya [p] such things as, ... and",赤や黄色の花が咲いている。,Red and yellow flowers are in bloom.,"61- や/ya [p] such things as, ... and/or ..."
62,来る,kuru [v] come,もうすぐ春が来る。,Spring is coming soon.,62- 来る/kuru [v] come
63,まで,"made [p] to, till, until",シフトは5時までです。,My shift is till 5 o’clock.,"63- まで(迄)/made [p] to, till, until"
64,見る,"miru [v] see, look, watch, check",よく見ると、小さな穴があるね。,"If you look closely, there is a small hole.","64- 見る/miru [v] see, look, watch, check"
65,たり,tari [p] -ing and –ing (representative),歌ったり、踊ったりするのが好きです。,I like doing things like singing and dancing.,65- たり/tari [p] -ing and –ing (representative)
66,今,ima [n] now,今はまだお腹が空いていない。,I am not hungry now.,66- 今/ima [n] now
67,良い,"yoi, ii [i-adj] good, nice, fine",この前の試験で良い成績をとりました。,I got a good score on the recent exam.,"67- 良い/yoi, ii [i-adj] good, nice, fine"
68,いい,"ii [i-adj] good, nice, fine",いいレストランを知し っています。,I know a nice restaurant.,"68- いい/ii [i-adj] good, nice, fine"
69,所,"tokoro [n] place, point, site, part, aspect",住むのに一番便利な所はどこですか。,Where is the most convenient place to live?,"69- 所/tokoro [n] place, point, site, part, aspect"
70,自分,"jibun [pron] myself, yourself, oneself, I, me",自分の問 題は自分で解決しなさい。,Solve your own problems yourself.,"70- 自分/jibun [pron] myself, yourself, oneself, I, me"
71,んー,"nn [interj] uh, huh, hmm, yeah",んー、よくわかりません。,"Hmm, I am not so sure.","71- んー/nn [interj] uh, huh, hmm, yeah"
72,あー,"aa [interj] er, uh, um, Ah! Oh!",あー、危ない!,"Ah, watch out!","72- あー/aa [interj] er, uh, um, Ah! Oh!"
73,やはり,"yahari [adv] too, also, still, even so, as expected",やはり、私も同じ気持ちです。,"There you have it, still, I am of that train of thought too.","73- やはり/yahari [adv] too, also, still, even so, as expected"
74,やっぱり,"yappari [adv] too, also, still, even so, as expected",やっぱり、あなたが思った通りになりましたね。,"Ultimately, it turned out just as you expected.","74- やっぱり/yappari [adv] too, also, still, even so, as expected"
75,たい,"tai [aux] want to ..., would like to ...",私も一 緒に行きたいです。,I want to go with you.,"75- たい/tai [aux] want to ..., would like to ..."
76,やる,"yaru [v] transitive do, undertake, make, give",そのゲームをやると楽しいでしょうね。,It would be fun to play that game.,"76- やる/yaru [v] transitive do, undertake, make, give"
