Kanji,NR,KR,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3,W4,R4,M4,W5,R5,M5
耐,TAI,ta,"resistant, proof, endure",耐える,たえる,"to bear, stand, endure",耐久性,たいきゅうせい,durability,耐性,たいせい,"resistance, tolerance",忍耐力,にんたいりょく,perseverance,耐熱性,たいねつせい,heat-resisting property
堪,KAN,"ta, kora","withstand, endure",堪える,たえる,"to bear, stand, endure",堪らない,たまらない,"unbearable, irresistible",堪能,たんのう,"proficient, skillful​, enjoying",持ち堪える,もちこたえる,"to hold out , withstand",堪る,たまる,"to bear, endure"
恒,KOU,.,"constancy, always",恒星,こうせい,star,恒久的,こうきゅうてき,"permanent, perpetual",恒常的,こうじょうてき,"constant, chronic",恒例,こうれい,established practice,恒産,こうさん,fixed property
垣,.,kaki,"hedge, fence, wall",垣根,かきね,"hedge, fence, border",石垣,いしがき,stone wall,生垣,いけがき,hedge,垣間見る,かいまみる,to catch a glimpse of,垣,かき,"fence, hedge, barrier"
宣,SEN,.,"proclaim, say, announce",宣伝,せんでん,"publicity, advertisement",宣言,せんげん,"declaration, proclamation",宣誓,せんせい,"oath, pledge",宣告,せんこく,"sentence, verdict",宣する,せんする,"to declare, announce"
常,JOU,tsune,"usual, ordinary, common",常識,じょうしき,common sense,根拠,つねに,"always, constantly",常用,じょうよう,"habitual use, daily use​",異常,いじょう,"strangeness, abnormality",常習,じょうしゅう,"custom, common practice"
堂,DOU,.,"public chamber, hall",講堂,こうどう,"auditorium, lecture hall​",公会堂,こうかいどう,"town hall, public hall",一堂,いちどう,"one building, same room",議事堂,ぎじどう,assembly hall,食堂,しょくどう,dining room
営,EI,itona,"occupation, camp, perform",営む,いとなむ,to run a business,経営,けいえい,management,営業,えいぎょう,"business, trade",営利,えいり,commercialized,運営,うんえい,management
党,TOU,.,"party, faction, clique",政党,せいとう,political party,与党,よとう,ruling party,野党,やとう,opposition party,民主党,みんしゅとう,democratic party,党首,とうしゅ,party leader
覚,KAKU,"obo, sa","remember, awake",覚える,おぼえる,"remember, memorise",覚める,さめる,"to wake up, sober",覚ます,さます,"to awaken, sober up",感覚,かんかく,"sense, feeling",自覚,じかく,self-consciousness
飛,HI,to,"fly, skip, jump",飛ぶ,とぶ,"to fly, soar, jump",飛び出す,とびだす,"to jump out, rush out",飛躍,ひやく,"leap, jump",飛行時間,ひこうじかん,flight time,低空飛行,ていくうひこう,low-altitude flying
躍,YAKU,odo,"leap, dance, skip",活躍,かつやく,active participation,躍進,やくしん,make rapid progress,躍起,やっき,"desperate, frantic, excited",躍動,やくどう,lively motion,躍る,おどる,to jump up. leap
踊,YOU,odo,"jump, dance, leap, skip",踊る,おどる,to dance ,踊り子,おどりこ,dancer,舞踊,ぶよう,"dancing, dance",盆踊り,ぼんおどり,bon festival dance,踊り場,おどりば,dance floor
促,SOKU,unaga,"stimulate, urge, press",促進,そくしん,"promotion, acceleration",催促,さいそく,"pressing, urging",促す,うながす,"to urge, press, encourage",促成,そくせい,promotion of growth,販促,はんそく,sales promotion
捉,SOKU,tora,"catch, capture",捉える,とらえる,"to catch, capture",捕捉,ほそく,"capture, seizure",把捉,はそく,grasping a meaning,捉え方,とらえかた,interpretation,捕捉剤,ほそくざい,scavenger
