L5,T5,L4,T4,L3,T3,L2,T2,L1,T1
日本人ですか。,Is it Japanese?,昨日東京に来たと彼は言った。,He said he came to Tokyo yesterday.,私の好みにぴったり合う。,It fits my taste perfectly.,軍隊は川のところまで進出した。,The army advanced as far as the river.,彼はタフな野郎だった。,He was a tough son of a bitch.
人がいる。,There are people.,僕は言語を勉強するのが好きだ。,I like to study languages.,合わせていくらになりますか。,How much will it be combined?,彼は軍事予算を増大させようとした。,He sought to increase the military budget.,家の子郎党。,Groomsmen of the house.
わたしは人間です。,I am human.,言葉にできない。,I can't put it into words.,天気の具合が思わしくない。,The weather is not looking good.,軍備が整っている。,The army was well equipped.,次の曲を新郎と新婦に捧げたいと思います。,I would like to dedicate the following song to the bride and groom.
一つえらんで。,Choose one.,手に何をもっていますか。,What do you have in your hand?,その家の内部はとても魅力的だった。,The interior of the house was very attractive.,その命令に嫌々従う兵もいた。,Some soldiers were reluctant to follow his orders.,彼女は銀行員と結婚した。,She married a banker.
一にち。,One day.,彼が私のコピーを手伝ってくれた。,He helped me copy.,値段は全部同じなんですか？,Are all the prices the same?,兵器にあまりお金を使うべきではない。,We should not spend too much money on weapons.,やってはみるが結果は約束できない。,"I'll try, but I can't promise results."
わたしは一人じゃない。,I am not alone.,私のところに手紙が来ていますか。,Have you received a letter from me?,誰も部長をごまかせません。,No one can deceive the manager.,激しい戦いが兵士によってなされた。,Fierce battles were fought by the soldiers.,このバス路線は２都市を結んでいる。,This bus line connects two cities.
日なにしましたか。,What did you do for one day?,自分でピアノを弾きながら歌う。,I play the piano and sing by myself.,彼は私たちと一緒に来たがった。,He wanted to come with us.,天気がいいときはここから島がみえます。,"When the weather is fine, the island can be seen from here.",あなたの氏名は何ですか。,What is your name?
ながい一日がすぎた。,A long day has passed.,この車を自由にお使い下さい。,Please feel free to use this car.,彼女の紹介してもらいたいのですが。,I would like to be introduced to her.,日本は四方を海に囲まれた島国である。,Japan is an island nation surrounded by the sea on all sides.,水は摂氏１００度で沸騰する。,water boils at 100 degrees Celsius.
今日なにしようかな。,What shall I do today?,私は合格する自信がある。,I am confident that I will pass the test.,彼氏がいるって知ってたよ。,I knew she had a boyfriend.,湿気の多い気候はその半島の特色です。,Its humid climate is characteristic of its peninsula.,氏族は多数に及び、各地に広がっている。,The clans are numerous and spread throughout the country.
このビルはとても大きい。,This building is very big.,医者にかかる必要がある。,You need to see a doctor.,彼女は内へ入っていきました。,She went inside.,農村を離れて都会に住む。,They leave their farming villages to live in the cities.,衛星は今軌道に乗っている。,The satellite is now in orbit.
わたしは大学へいきたい。,I want to go to college.,数名の食中どく患者が出た。,Several patients were found to have food poisoning.,私のアパートは駅から歩いて５分以内です。,My apartment is within a five-minute walk from the station.,その村人たちは長い間電気無しでやってきた。,Its villagers have come a long way without electricity.,衛生用品売り場はどこですか。,Where is the hygiene products section?
大切なはなしがあるんです。,I have an important story to tell you.,あなたの大好きな役者はだれですか。,Who is your favorite actor?,料理の内容を見せてもらえますか。,Can you show us what you are cooking?,ここは懐かしい感じのする漁村です。,This is a fishing village with a nostalgic feel.,防衛運転は事故回避に役立ちます。,Defensive driving helps avoid accidents.
年はおいくつですか。,How old are you?,仕事に行きたくない。,I don't want to go to work.,この事実は彼らにほとんど知られていない。,This fact is almost unknown to them.,タクシーが正門のところへきて止まった。,A cab came to the main gate and stopped.,それは完全にあなた次第です。,It is entirely up to you.
今年はあめがおおかった。,It rained a lot this year.,事故というのは起こるものだ。,Accidents happen.,自分達で考えた企画を実行することができます。,We can carry out our own plans.,彼はこういったトラブルを解決する専門家だ。,He is an expert in solving these problems.,第三者に調停を依頼した。,A third party was asked to mediate.
かれは毎年かいがいへいく。,He goes abroad every year.,それは一番大事なことです。,It is the most important thing.,実際私はそれを知らなかった。,In fact I did not know it.,その本は図書館の歴史部門で見つかるよ。,You can find the book in the history department of the library.,案の定、彼は第一位になった。,"Sure enough, he came in first place."
ベッドから出たくない。,I don't want to get out of bed.,彼なら信用できると思っていた。,I knew I could trust him.,適当なときに彼にそれを言いましょう。,Tell him that when it is appropriate.,,,,
ノートを出して下さい。,Please take out your notebook.,思考は言葉によって表現される。,Thoughts are expressed by words.,私たちは学校の勉強に多くの時間を当てた。,We put a lot of time into our schoolwork.,,,,
出口はどこですか。,Where is the exit?,我々は言語で意思を伝える。,We communicate our intentions through language.,それは相当の処置であった。,It was a substantial treatment,,,,
この本は四ドルした。,This book cost four dollars.,昔の友達に会いに行った。,I went to see an old friend.,彼等はその国と戦争中である。,They are at war with that country.,,,,
これが本日のおすすめりょうりです。,This is today's recommended dish.,会計の窓口はどこですか。,Where is the contact person for the account?,あの国の女は自由のために戦っている。,Women in that country are fighting for freedom.,,,,
本棚に本をならべる。,Putting books on the bookshelf.,出来るだけ早急に会談の手配をして欲しい。,I need you to arrange a meeting as soon as possible.,当分の間は柔軟な戦術を取るべきだ。,"For the time being, flexible tactics should be used.",,,,
日本中をたびする。,He traveled all over Japan.,ご家族はいかがですか。,How is your family?,あの人はなんとなく女性的なところがある。,That person is somewhat feminine.,,,,
へやの中央にたっていた。,I was standing in the center of the room.,僕は仕事より家庭の方が大事だ。,My family is more important to me than my work.,手順は男性と女性で若干異なる。,The procedure differs slightly for men and women.,,,,
ここにむかっている途中です。,I am on my way here.,あの部屋には家具が全然なかった。,There was no furniture in that room.,登録カードに性別を記入してください。,Please indicate your gender on the registration card.,,,,
子供にでもそれはできる。,Even a child can do it.,抽象的な思想を具体的に述べる。,He put abstract ideas into concrete terms.,彼女の小説は厳しい批評の対象となった。,Her novels were the subject of harsh criticism.,,,,
女の子のようなしぐさ。,A girlish gesture.,彼の答えは的確だ。,His answer is precise.,事態の処置のために対策を講じる。,Take measures to treat the situation,,,,
男の子らしいいたずら。,Boyish mischief.,彼は知的な人です。,He is an intelligent person.,彼女はどんな客にも愛想よく応対する。,She treats any guest amiably.,,,,
テレビ見てるのですか。,Are you watching TV?,彼はどっちの方向へ行きましたか。,In which direction did he go?,この問題には関わらない方がいい。,You should not get involved in this issue.,,,,
それについてのあなたの意見はなにですか。,What is your opinion about it?,運転の仕方を知っているの？,Do you know how to drive?,この二つの出来事には密接な関係がある。,These two events are closely related.,,,,
ほかのを見せてください。,Show us another one.,あの人たちが昨日あなたが会った方々ですか。,Are those the people you met yesterday?,税関で厳重に荷物を調べられた。,My luggage was searched rigorously at customs.,,,,
ポーランドは大きな国だ。,Poland is a big country.,この地域は雨が続くでしょう。,It will continue to rain in this area.,彼は自然に対する感情を詩に表現した。,He expressed his feelings about nature in poetry.,,,,
外国へ行ったことがありますか。,Have you ever been abroad?,昨日遊園地でばったり先生に会ったよ。,I bumped into the teacher at the amusement park yesterday.,気温の変化に対して感覚が鋭い。,Sensitive to temperature changes.,,,,
アメリカ国民になった。,I became an American citizen.,君はなかなか地理に明るいな。,"You are quite knowledgeable about geography, aren't you?",この病気は接触によって感染する。,The disease is transmitted through contact.,,,,
