Kanji,Words,Reading,Meaning
遺,遺跡,いせき,"remains, ruins, relics"
差,遺伝,いでん,"heredity, genetic inheritance"
義,遺言,ゆいごん,"will, testament​, dying wish"
装,遺書,いしょ,"will, testament, suicide note"
置,文化遺産,ぶんかいさん,cultural heritage​
,遺伝子,いでんし,"gene, genetic"
,遺憾,いかん,"regrettable, unsatisfactory"
,遺産,いさん,"inheritance, bequest, legacy"
,遺族,いぞく,"bereaved family, surviving family"
,遺体,いたい,"corpse, remains"
,遺骨,いこつ,cremated remains 
,遺失物,いしつぶつ,"lost article, lost property"
,交差点,こうさてん,"crossing, intersection"
,差別,さべつ,"distinction, discrimination"
,差す,さす,"to shine, be visible, rise, flow in"
,差異,さい,"difference, disparity, gap"
,差し上げる,さしあげる,"to lift up, raise, give"
,日差し,ひざし,sunlight
,物差し,ものさし,"ruler, measure"
,目指す,めざす,"to aim at, try for, have an eye on"
,交差,こうさ,"crossing, intersection"
,差し支え,さしつかえ,"hindrance, impediment"
,誤差,ごさ,measurement or calculation error
,差額,さがく,"balance, difference, margin"
,時差,じさ,time difference
,格差,かくさ,"qualitative difference, disparity, gap"
,差し出す,さしだす,"to present, submit, tender"
,指差す,ゆびさす,to point at
,差し掛かる,さしかかる,"come near, approach, on the verge"
,偏差値,へんさち,"deviation value, standard score"
,大差,たいさ,big difference
,点差,てんさ,"point spread, point difference"
,差出人,さしだしにん,sender
,差し引く,さしひく,"to deduct, take away"
,小差,しょうさ,slight difference
,個人差,こじんさ,individual differences
,差し当たり,さしあたり,"for the time being, at present​"
,眼差し,まなざし,"look, gaze"
,差し伸べる,さしのべる,"to hold out, extend, stretch"
,差し込む,さしこむ,"to insert, put in, plug in"
,差し支える,さしつかえる,"to interfere, hinder, impeded"
,性差別,せいさべつ,sexual discrimination
,差し引き,さしひき,"deduction, subtraction, balance"
,講義,こうぎ,lecture
,義務,ぎむ,"duty, obligation"
,定義,定義,definition
,正義,せいぎ,"justice, right, righteousness"
,義理,ぎり,"duty, honor"
,主義,しゅぎ,"doctrine, rule, principle"
,意義,いぎ,"meaning, significance"
,民主主義,みんしゅしゅぎ,democracy
,社会主義,しゃかいしゅぎ,socialism
,資本主義,しほんしゅぎ,capitalism
,有意義,ゆういぎ,"significant, useful, meaningful"
,民族主義,みんぞくしゅぎ,nationalism
,道義,どうぎ,"morality, moral principles"
,義母,ぎぼ,mother-in-law
,大義名分,たいぎめいぶん,"just cause, good reason"
,恩義,おんぎ,"obligation, favour"
,義務教育,ぎむきょういく,compulsory education
,服装,ふくそう,"garments, attire"
,包装,ほうそう,"packing, wrapping"
,装飾,そうしょく,"ornament, decoration"
,舗装,ほそう,paving
,装置,そうち,"equipment, device, installation"
,武装,ぶそう,"arms, armament"
,衣装,いしょう,"clothing, costume, outfit"
,装備,そうび,equipment
,塗装,とそう,"coating, painting"
,正装,せいそう,"full dress, formal dress"
,変装,へんそう,"disguise, masquerade"
,装う,よそおう,"to dress oneself, adorn, decorate"
,盛装,せいそう,dressing up in fine clothes
,核武装,かくぶそう,nuclear arms
,内装,ないそう,"interior design, upholstery"
,改装,かいそう,"remodelling, reorganization"
,装い,よそおい,"dress, outfit, equipment"
,安全装置,あんぜんそうち,safety device
,仮装,かそう,"costume, fancy dress"
,包装紙,ほうそうし,wrapping paper
,着陸装置,ちゃくりくそうち,landing gear 
,室内装飾,しつないそうしょく,interior decorating
,装甲,そうこう,armoring
,装具,そうぐ,"equipment, harness, fittings"
,装身具,そうしんぐ,personal accessories 
,新装,しんそう,"redecoration, remodelling"
,装丁,そうてい,book binding
,偽装,ぎそう,"camouflage, disguise, pretense"
,装着,そうちゃく,"equipping, installing, fitting"
,装束,しょうぞく,"costume, dress, attire"
,軽装,けいそう,"light clothing, dressing light"
,位置,いち,"place, position, situation, status"
,置く,おく,"to put, place, leave, establish"
,物置,ものおき,"storage room, storeroom"
,処置,しょち,"measure, step, dealing with"
,配置,はいち,"arrangement, deployment"
,放置,ほうち,leaving as is
,設置,せっち,"establishment, institution, installation"
,前置き,まえおき,"preface, introduction"
,置き去り,おきざり,"leaving behind, desertion"
,拘置,こうち,"detention, confinement"
,置き換える,おきかえる,"to replace, move"
,置き忘れる,おきわすれる,"to leave behind, misplace"
,応急処置,おうきゅうしょち,emergency measure
,買い置き,かいおき,"stock of goods, reserve"
,配置転換,はいちてんかん,"reshuffling, job rotation"
,防音装置,ぼうおんそうち,soundproofing
,倒置,とうち,turning upside down
,留置,りゅうち,detention
,置き場,おきば,storage space
,据え置き,すえおき,"deferment, as it stands"
,置物,おきもの,"ornament, decorative object"
,再配置,さいはいち,"rearrangement, reallocation"
