Kanji,NR,KR,Meaning,W1,R1,M1
秘,HI,hi,"secret, conceal",秘密,ひみつ,"secret, secrecy, confidentiality, privacy"
秘,HI,hi,"secret, conceal",秘書,ひしょ,"private secretary, treasured book, secret book"
秘,HI,hi,"secret, conceal",神秘,しんぴ,"mystery, mysteriousness, secret"
秘,HI,hi,"secret, conceal",密か,ひそか,"secret, private, surreptitious"
秘,HI,hi,"secret, conceal",便秘,べんぴ,constipation
秘,HI,hi,"secret, conceal",極秘,ごくひ,absolute secrecy
秘,HI,hi,"secret, conceal",秘める,ひめる,"to hide, keep to oneself"
秘,HI,hi,"secret, conceal",秘訣,ひけつ,"secret method, key, mysteries of an art, recipe, trick"
秘,HI,hi,"secret, conceal",神秘的,しんぴてき,"mysterious, mystical​"
秘,HI,hi,"secret, conceal",黙秘権,もくひけん,right to silence
秘,HI,hi,"secret, conceal",秘伝,ひでん,"secret recipe, mysteries of an art"
秘,HI,hi,"secret, conceal",秘密結社,ひみつけっしゃ,secret society
秘,HI,hi,"secret, conceal",秘密情報,ひみつじょうほう,confidential information
秘,HI,hi,"secret, conceal",秘密裡,ひみつり,"behind closed doors, behind-the-scenes"
秘,HI,hi,"secret, conceal",秘話,ひわ,"secret story, unknown episode"
秘,HI,hi,"secret, conceal",秘密基地,ひみつきち,"secret base, hideout, hidden position"
秘,HI,hi,"secret, conceal",秘策,ひさく,"secret plan, secret scheme"
秘,HI,hi,"secret, conceal",秘境,ひきょう,"unexplored region, secluded region"
秘,HI,hi,"secret, conceal",秘跡,ひせき,sacrament
秘,HI,hi,"secret, conceal",秘する,ひする,"to keep secret, to conceal"
秘,HI,hi,"secret, conceal",隠秘,いんぴ,"making secret, not revealing, hiding "
