Words,Reading,Meaning
複数,ふくすう,"plural, multiple, several​"
復習,ふくしゅう,"review, revision"
復活,ふっかつ,"revival, restoration"
復興,ふっこう,"revival, reconstruction, restoration"
報復,ほうふく,"retaliation, revenge"
復帰,ふっき,"return, reversion, comeback, reinstate"
修復,しゅうふく,"restoration, repair, mending"
復元,ふくげん,restoration to original state
復讐,ふくしゅう,revenge
復職,ふくしょく,reinstatement
復学,ふくがく,return to school
復唱,ふくしょう,"reciting, repeating"
復調,ふくちょう,"recovery, return to form"
復員,ふくいん,demobilization
復権,ふっけん,rehabilitation
復刻,ふっこく,"republication, reissue"
豊胸,ほうきょう,full breasts
種類豊富,しゅるいほうふ,"rich in variety, diverse"
豊満,ほうまん,"stout, voluptuous"
豊漁,ほうりょう,"good catch, good haul"
旧制,きゅうせい,old system
旧来,きゅうらい,"traditional, formerly"
旧態,きゅうたい,old state of affairs
旧姓,きゅうせい,maiden name
脳波,のうは,brain waves
周波数,しゅうはすう,frequency
防波堤,ぼうはてい,"breakwater, mole"
寒波,かんぱ,cold wave
衝撃波,しょうげきは,shock wave
荒波,あらなみ,raging waves
波紋,はもん,ripple
感触,かんしょく,"feel, touch, sensation"
触発,しょくはつ,detonation by contact
抵触,ていしょく,infringement
触れ合う,ふれあう,to come into contact with
肌触り,はだざわり,"the touch of, texture"
要求,ようきゅう,"demand, firm request"
需要,じゅよう,"demand, request"
主要,しゅよう,"chief, main, principal"
要素,ようそ,"component, factor, item"
要点,ようてん,"gist, main point"
要領,ようりょう,"point, gist, essentials"
要旨,ようし,"point, essentials, gist"
要する,ようする,"to need, demand"
要請,ようせい,"appeal, call for something"
要因,よういん,"main cause, primary factor"
要望,ようぼう,"demand for, request"
要人,ようじん,important person
肝要,かんよう,extremely important
不要,ふよう,unnecessary
必要性,ひつようせい,necessity
強要,きょうよう,"coercion, extortion"
要職,ようしょく,important post
概要,がいよう,"outline, summary, overview"
要約,ようやく,"summary, digest"
要注意,ようちゅうい,need for caution or care
重要性,じゅうようせい,"importance, gravity"
重要視,じゅうようし,regarding highly
大変,たいへん,"very, immense, serious, hard"
変更,へんこう,"change, modification, alteration"
変動,へんどう,"change, fluctuation"
変革,へんかく,"change, transformation"
変遷,へんせん,"change, transition"
一変,いっぺん,"complete change, about-face"
変装,へんそう,"disguise, masquerade"
変数,へんすう,variable
不変,ふへん,"eternal, unchangeable"
変換,へんかん,"change, conversion"
変身,へんしん,"metamorphosis, transformation"
変形,へんけい,transformation
急変,きゅうへん,sudden turn
変貌,へんぼう,transfiguration
変更届,へんこうとどけ,notification of change
変人,へんじん,"eccentric, oddball"
精神,せいしん,"mind, spirit, soul, attitude, mentality"
神話,しんわ,"myth, legend"
神秘,しんぴ,mystery
神様,かみさま,god
神聖,しんせい,holiness
神殿,しんでん,"temple, sacred place"
女神,めがみ,goddess
精神科,せいしんか,psychiatry
神学,しんがく,theology
神経痛,しんけいつう,nerve pain
失神,しっしん,"faint, swoon"
記憶,きおく,"memory, recollection"
記事,きじ,"article, news story"
暗記,あんき,memorization
伝記,でんき,biography
記号,きごう,"symbol, code, sign, notation"
筆記,ひっき,"taking notes, copying"
記入,きにゅう,"entry in a form, filling in"
記者,きしゃ,"reporter, journalist"
記念,きねん,"commemoration, celebration"
記述,きじゅつ,"description, account"
記載,きさい,"mention, record, entry"
記名,きめい,"signature, register"
書記,しょき,"clerk, secretary, writing down"
記念日,きねんび,memorial day
記者会見,きしゃかいけん,press conference
記録的,きろくてき,record-setting
表記,ひょうき,expression in writing
登記,とうき,"registry, registration"
上記,じょうき,above-mentioned
前記,ぜんき,above-mentioned
明記,めいき,"clear writing, specification"
下記,かき,the following​
銘記,めいき,"keep in mind, take note of"
和服,わふく,Japanese clothes
調和,ちょうわ,"harmony, accord"
緩和,かんわ,"relief, mitigation, alleviation"
温和,おんわ,"mild climate, temperate"
中和,ちゅうわ,neutralization
和解,わかい,reconciliation
和菓子,わがし,Japanese confectionery
和牛,わぎゅう,Wagyu beef
和室,わしつ,Japanese-style room
和食,わしょく,Japanese dish
違和感,いわかん,uncomfortable feeling
融和,ゆうわ,"harmony, reconciliation"
和らぐ,やわらぐ,"to soften, calm down, be eased"
飽和,ほうわ,saturation
和議,わぎ,peace negotiations
柔和,にゅうわ,"gentle, mild, meek, tender"
和風,わふう,Japanese style​
