Kanji,NR,KR,Meaning,W1,R1,M1
言,"GRN, GON","i, koto","say, word",言う,いう,"to say, to utter, to declare"
行,"KOU, GYOU","i, okona","going, journey, carry out",行う,おこなう,"to perform, to do, to carry out"
行,"KOU, GYOU","i, okona","going, journey, carry out",行く,いく,"to go, to move, to proceed"
知,CHI,shi,"know, wisdom",知る,しる,"to be aware of, to know"
比,HI,kura,"compare, race, ratio",比べる,くらべる,"to compare, to make a comparison"
問,MON,to,"question, ask, problem",問う,とう,"to ask, to inquire, to charge, to accuse"
選,SEN,era,"elect, select, choose, prefer",選ぶ,えらぶ,"to choose, to select"
思,SHI,omo,think,思う,おもう,"to think, to consider, to believe"
呼,KO,yo,"call, call out to, invite",呼ぶ,よぶ,"to call out, to call, to invoke, to invite, to summon"
使,SHI,tsuka,"use, send on a mission, order",使う,つかう,to use
出,SHUTSU,"da, de","exit, leave, go out, come out, put out",出す,だす,"to take out, to get out, to put out, to submit, to publish, to send, to produce, to serve, to begin"
出,SHUTSU,"da, de","exit, leave, go out, come out, put out",出る,でる,"to leave, to go out, to come out, to appear, to be published"
迫,HAKU,sema,"urge, force, imminent, spur on",迫る,せまる,"to approach, to draw near, to be imminent, to press, to urge"
変,HEN,ka,"unusual, change, strange",変わる,かわる,"to change, to be transformed, to be altered, to vary"
勝,SHOU,"ka, masa","victory, win, prevail, excel",勝る,まさる,"to excel, to surpass, to exceed, to outweigh"
保,HO,tamo,"protect, guarantee, keep, preserve, sustain, support",保する,ほする,to guarantee
保,HO,tamo,"protect, guarantee, keep, preserve, sustain, support",保つ,たもつ,"to keep, to preserve, to hold, to retain, to maintain"
聞,"BUN, MON",ki,"hear, ask, listen",聞かす,きかす,"to inform about, to read to, to sing for"
聞,"BUN, MON",ki,"hear, ask, listen",聞く,きく,"to hear, to listen, to ask, to inquire"
作,"SAKA, SA",tsuku,"make, production, prepare, build",作る,つくる,"to make, to produce, to build, to prepare, to create"
