W1,M1,W2,M2,W3,M3,W4,M4,W5,M5,W6,M6
大人,adult,人形,doll,人口,population,商人,merchant,人間,human being,人生,human life
詩人,poet,個人,individual,人種,race,恋人,lover,職人,craftsman,人差し指,index finger
人文科学,humanities,殺人,murder,人民,citizens,人格,personality,人質,hostage,人体,human body
主人公,protagonist,証人,witness,主人,husband,友人,friend,他人,another person,老人,old person
人気,popular,美人,beautiful woman,婦人,woman,人物,character,犯人,offender,夫人,wife
成人,grownup,本人,said person​,名人,master,役人,government official,知人,acquaintance,男の人,man
人命,life,大人しい,obedient,人通り,pedestrian traffic,人造,man-made,女の人,woman,人柄,personality
新人,newcomer,人材,capable person,当人,person concerned,故人,the deceased,人目,public notice,人情,humanity
玄人,expert,使用人,employee,一人,one person​,支配人,manager,人間関係,human relations,外人,foreigner
人工衛星,artificial satellite,人権,human rights,人生観,view of life,軍人,military personnel,人事,personnel affairs,要人,important person
知識人,intellectual,人工呼吸,artificial respiration,求人,recruiting,人参,carrot,人見知り,shyness,芸能人,performer
人工,man-made,人魚,mermaid,聖人,saint,公証人,notary public,超人,superman,人前,in front of others
職業,occupation,職員,staff member,就職,finding employment,退職,retirement,辞職,resignation,職務,professional duties
役職,official position,教職,teaching profession,汚職,corruption,聖職者,clergy,職場,workplace,転職,change of occupation
管理職,management,免職,dismissal,職権,authority,公職,public office,教職員,teaching staff,総辞職,mass resignation
求職,job hunting,在職,being in office,現職,present post,職歴,work experience,天職,vocation,復職,reinstatement
専攻,major subject,専用,exclusive use,専ら,solely,専門家,specialist,専門店,specialist shop,専門,speciality
専門学校,technical school,専門的,technical,専務,special duty,専属,exclusive,専売,monopoly,専門医,medical specialist
専門用語,technical term,専門職,professional job,専用線,dedicated line,専修,specialization,専制,autocracy,専門知識,expertise
知識,knowledge,意識,consciousness,常識,common sense,認識,recognition,標識,sign,良識,good sense
無意識,unconsciousness,知識人,intellectual,識別,discrimination,面識,acquaintance,見識,views,意識的,intentional
美意識,aesthetic sense,常識的,ordinary,非常識,senselessness,豆知識,trivia,識字率,literacy rate​,予備知識,background knowledge
信頼,reliance,信号,traffic signal,信仰,faith,迷信,superstition,自信,self-confidence,信用,confidence
通信,transmission,信じる,believe,信ずる,believe,確信,conviction,信者,believer,信念,belief
信条,creed,信号機,traffic light,通信販売,online shopping,通信衛星,com-satellite,赤信号,red light,受信,receiving
返信,reply,信頼性,authenticity,送信,transmission,交信,telecommunications,背信,betrayal,不信,distrust
信販会社,credit company,威信,prestige,過信,trusting too much,青信号,green light ,信奉,belief,通信員,correspondent
信望,confidence,無線通信,radio communication,遭難信号,distress signal,信管,fuse,映像信号,video signal,信任,trust
交通信号,traffic signal,信じ込む,believe implicitly,停止信号,stop signal,不信感,distrust,信用度,level of confidence​,通信社,news agency
