Rank,Verbs,Reading,Type,Meaning,S1,T1,S2,T2,S3,T3,Words
10,為る,する,"suru, irreg.","to do, carry out, perform",私がしなければ誰がする。,"If I don't do it, who will?",父は食料品店をしている。,My father runs a grocery store.,熱は水を蒸気にする。,Heat turns water into steam.,行為。無作為。無為
13,居る,いる,intrans.,"to be, exist, stay",ボストンにいるの？,Are you in Boston?,この山には熊がいる。,Bears live in these mountains.,この湖には魚がたくさんいる。,This lake is full of fish.,居間。鳥居。居住。居眠り。同居
14,有る,ある,intrans.,"to be, exist, live, have",机の上に本がある。,There is a book on the desk.,彼は金と暇がある。,He has money and time to spare.,富士山に二度登ったことがある。,I have climbed Mt. Fuji twice.,有名。有能。有効。有利。有料
17,言う,いう,godan,"to say utter, declare, to name, call",もう一度言ってくださいませんか。,"Could you repeat that, please?",彼女は言いたいことを言った。,She said what she wanted to say.,あの子はまだものが言えない。,She still can't say a word.,言葉。言語。方言。証言。宣言
23,成る,なる,intrans.,"to become, get, change into, consist of",この壁画は３人の画家の手に成る。,This mural was done by three artists.,分子は原子から成る。,Molecules are composed of atoms.,この映画は前篇と後篇から成っている。,This movie is made up of two parts.,成功。賛成。成長。成績。完成
38,来る,くる,irreg.,to come,明日客が二人来る。,We will have two guests tomorrow.,バスが来ましたよ。,Here comes the bus.,夏が例年より早く来た。,Summer came earlier than usual.,未来。来週。来年。本来。外来
39,思う,おもう,trans.,"to think, consider",まっすぐ家に帰ろうと思った。,I thought I'd go straight home.,それを思うとわくわくした。,It was exciting to think of it.,思っていることは何でも言いなさい。,Don't hesitate to say whatever you have in mind.,思考。思想。不思議。思い出。意思
41,行く,いく,intrans.,"to go, move, proceed",学校へは歩いて行きます。,I walk to school.,私は明朝大阪へ行きます。,I leave for Osaka tomorrow morning.,この方法で行くことにしよう。,Let’s go with this method.,旅行。飛行機。銀行。行動。急行
44,見る,みる,trans.,"to see, look, watch, view, look over, observe",最近富士山を見ましたか。,Have you seen Mt. Fuji recently?,子供たちは蝶々をよく見た。,The children observed the butterflies carefully.,テレビで映画を見る。,Watch movies on TV,花見。発見。見る。見物。意見
46,出来る,できる,intrans.,"to be able to, be ready, be completed, be made",仕事が出来た。,The work is finished.,バターは牛乳から出来る。,Butter is made from milk.,悪天候のため船は出航出来なかった。,The bad weather prevented the ship from setting sail.,出版。輸出。出る。演出。外出
64,拠る,よる,intrans.,"to be due to, be caused by, depend on, based on",聞くところによると彼は相当できる人らしい。,He's quite capable base from what I hear,この党のよって立つ地盤は労働者だ。,This party has the working class as its base.,所により一時雨でしょう。,Showers will be light at times depending on locations.,証拠。根拠。拠点。論拠。本拠
79,仕舞う,しまう,trans.,"to finish, end, do completely, happen to do, close, keep, store, put away",夕食を食べてしまったところです。,I have just had my supper.,店は７時にしまう。,They close the store at seven.,本を本箱にしまいなさい。,Put the book back in the bookcase.,舞台。舞踏。振る舞い。仕方。仕様
84,分かる,わかる,intrans.,"to understand, comprehend, grasp, know",彼の言っていることは分からない。,I don't understand what he's saying.,答の分かった人は手を挙げなさい。,Raise your hand if you know the answer.,私には到底分からない。,It is beyond my comprehension.,
85,持つ,もつ,trans.,"to hold, take, carry, possess, own, have",彼は本を手に持っている。,He has a book in his hand.,そんな大金を持っていると危ない。,It's not safe to carry so much cash around.,母は小さな店を持っています。,My mother owns a small store.,
86,考える,かんがえる,trans.,"to consider, think, bear in mind",そんな発言をしたらどうなるか考えてみなさい。,Think of the consequences of such a remark!,返事をする前によく考えさせてください。,Let me think it over before I give you an answer.,いつも故郷の両親のことを考えていた。,I always thought about my parents back home.,
91,遣る,やる,trans.,"to do, undertake, perform, send, give, stage, held",今宿題をやっている。,He is doing his homework now.,その展覧会はいつやるのですか。,When will the exhibition be held?,時計は直しにやってあります。,My watch has been sent to be repaired.,
94,出る,でる,intrans.,"to leave, exit, go out, come out",今度の急行は５番ホームから出る。,The next express will depart from platform number five.,何時に家を出ようか。,What time shall we leave home?,今夜は月が出ている。,The moon is out tonight.,
97,就く,つく,intrans.,"to take, assume, be hired, be employed, ascend, commence, set out, study under",彼はやっと職に就いた。,He finally got a job.,彼は欧州旅行の途に就いた。,He set out on a trip to Europe.,彼は会長の地位に就いた。,He took office as president.,
106,取る,とる,trans.,"to take, pick up, grab, pass, hand, give, get, obtain",客から注文を取る。,Take an order from a customer.,これはひどく時間を取る。,This takes so much time.,からしを取ってください。,Will you pass me the mustard?,
107,聞く,きく,trans.,"to hear, listen, ask, enquire, query",聞こうとすれば聞こえる。,"If you listen, you can hear it.",そのことは聞いています。,I have heard about it ,その記事について一つ君に聞きたいことがある。,I want to ask you a question about the article.,
111,下さる,くださる,godan,"to give, confer, bestow, to favor",私にプレゼントをくださった。,He gave me a present.,この本を私にくださるのですか。,Is this book for me?,このお金を私にくださるんですか。,Are you giving me this money?,
113,知る,しる,trans.,"to know, be aware, sense",どこで会があるか知ってますか。,Do you know where we are meeting?,この近くでよいお医者さんを知りませんか。,Do you know a good doctor near here?,僕はそれがごまかしだと知っていた。,I was aware that it was a trick.,
116,呉れる,くれる,trans.,"to give, let one have",彼女は私にペンをくれた。,She gave me a pen.,書くものを貸してくれませんか。,Could you loan me something to write with?,だれが費用を出してくれるのか。,Who will pay for the expenses?,
120,入る,はいる,intrans.,"to enter, go into, break into, join, enrol. contain",砂糖はたくさん入っていますか。,Is there much sugar in it?,裏口から入る。,Enter through the back door.,梅雨に入った。,The rainy season has set in.,
121,置く,おく,trans.,"to put, place, leave behind, establish",本を元の棚に置いておきなさい。,Leave the book on its original shelf.,ここに置いといて。,"Leave it here, please.",世界各地に支店を置いている。,We have branch offices all over the world.,
122,使う,つかう,trans.,"to use, make use",このなべはミルクを温めるのに使っている。,I use this saucepan for heating milk.,どの部屋でも自由に使ってください。,Please make free use of any room you like.,この店で使っていただけませんか。,Could you please use it in this store?,
133,対する,たいする,suru,"to face, be facing, directed toward, be in response to",学校と教会が道をはさんで対している。,The school and the church face each other across the street.,友人に対する思いやり。,Consideration for a friend.,われわれは全力をもって難敵に対した。,We faced a formidable foe with all our might.,
143,出す,だす,trans.,"to take out, get out, put out, submit, publish, send, serve food",駐車場から車を出す。,Drive a car out of a parking lot.,夜は子供を外へ出すな。,Don't let the children go out at night.,事務員を銀行に使いに出した。,I sent a clerk on an errand to the bank.,
153,作る,つくる,trans.,"to make, produce, build, prepare food",この工場ではカメラを作っている。,Cameras are manufactured at this factory.,この工場ではハードディスクを作っている。,This factory produces hard disks.,料理を作って待っていた。,I was waiting for you with a meal all prepared,
159,行う,おこなう,trans.,"to perform, do, conduct, carry out",研究を行う。,Conduct research.,実験を行う。,Conduct experiments.,これからテストを行う。,We're going to test now.,
162,知れる,しれる,intrans.,"to become known, come to light, be known",うわさはうそだとすぐに知れた。,I quickly learned that the rumors were false.,反対派の数は知れている。,The number of opponents is known.,彼の秘密は近所に知れてしまった。,His secret became known in the neighborhood.,
168,書く,かく,trans.,"to write, compose",ここに住所と名前を書きなさい。,Write your name and address here.,今新しい戯曲を書いている。,I'm writing a new play right now.,名前は英語でどう書くのですか。,How do you write your name in English?,
169,付ける,つける,trans.,"to attach, join, add, append, affix, furnish",本には用語解説が付けてある。,A glossary is appended to the book.,履歴書に写真を付ける。,Attach a photo to your resume.,スーツケースに荷札を付ける。,Put a luggage tag on your suitcase.,
175,貰う,もらう,trans.,"to receive, take, accept, get someone to do something",コーヒーを一杯もらえませんか。,Can I have a cup of coffee?,彼女は兄に車を修理してもらった。,She had her brother fix her car.,祖父からだいぶ遺産をもらった。,I received a large inheritance from my grandfather.,
176,教える,おしえる,trans.,"to teach, instruct, tell, inform",高校で化学を教えている。,He teaches chemistry at high school.,このクッキーの作りかたを教えてください。,Can you tell me how to make these cookies?,電話番号を教えて下さい。,Please give me your phone number.,
178,掛ける,かける,trans.,"to hang up, let hang, raise, hoist, put on, cover, make a call, spend, pour",カレンダーを壁に掛ける。,Hang the calendar on the wall.,窓にカーテンを掛ける。,Hang curtains in a window.,テーブルにテーブルクロスを掛ける。,Cover the table with a tablecloth.,
183,得る,える,trans.,"to get, earn, acquire, procure, gain, obtain, understand, be able to",彼はやっと両親の許可を得た。,He at last obtained his parents' permission.,彼の話は何も得る所がない。,I have nothing to gain from his story.,敵の所在を探知し得た。,We were able to locate the enemy.,
196,見える,みえる,intrans.,"to be seen, be in sight, be visible, to look, seem, appears",屋上から町がよく見える。,We have a good view of the town from the roof.,細菌は肉眼では見えない。,Germs are invisible to the naked eye.,水平線上に一隻の船が見えてきた。,A boat came into view on the horizon.,
204,入れる,いれる,trans.,"to put in, let in, take in, insert, install, accept, include",旅行かばんに衣類を入れる。,Put clothing in a travel bag.,コーヒーにクリームを入れますか。,Do you put cream in your coffee?,たらいに湯を入れる。,Fill a tub with hot water.,
214,受ける,うける,trans.,"to receive, get, catch, be struck by, incur, undergo",彼は大学から奨学金を受けている。,He receives a scholarship from the university.,超勤手当の支払いを受けた。,I got extra pay for overtime.,彼らは年２回健康診断を受ける。,They undergo a medical examination twice a year.,
224,付く,つく,intrans.,"to be attached, be connected with, adhere, stick",窓の下に大きな足跡が付いていた。,There were big footprints below the window.,この定食にはコーヒーが付いている。,This set meal comes with coffee.,部屋に火災報知器が付いた。,The room was equipped with a fire alarm.,
232,違う,ちがう,intrans.,"to differ, be different, be distinct, be incorrect",この２枚のドレスは型が違う。,These two dresses are different in style.,僕の意見は君のと違う。,My opinion differs from yours.,計算の答えが違う。,The answer to the calculation is in correct.,
233,始める,はじめる,trans.,"to start, begin, initiate, start up",先生は授業を始めた。,The teacher began his lesson.,彼は商売を始めた。,He started a business.,すぐに食べ始めた。,He started eating right away.,
234,呼ぶ,よぶ,trans.,"to call, call out, invoke, summon, invite, name, brand",ウエーターを呼んで追加注文した。,I called the waiter and added to my order.,名前を呼んだが返事はなかった。,"I called his name, but he didn't answer.",救急車を呼ぶ。,Call an ambulance.,
236,上げる,あげる,trans.,"to raise, elevate, launch, deep-fry, give",彼は帽子を上げて婦人にあいさつした。,He raised his hat to the lady.,彼は箱を棚の上に上げる。,He raises the box onto the shelf.,彼女はオーブンの温度を上げる。,She raises the oven temperature.,
243,過ぎる,すぎる,intrans.,"to pass through, pass by, go beyond, elapse, expired, exceed, surpass",トンネルを過ぎて車は海岸に出た。,The car drove past the tunnel and onto the beach.,この荷物は20キロを過ぎている。,This baggage exceeds twenty kilograms.,夏休みが過ぎた。,Summer vacation has passed.,
255,感じる,かんじる,ichidan,"to feel, sense, experience",家が揺れるのを感じた。,I felt the house shake.,彼は生命の危険を感じた。,He sensed that his life was in danger.,この機械は振動を敏感に感じる。,This instrument is very sensitive to vibrations.,
257,続ける,つづける,trans.,"to continue, keep up, keep on",地震の最中も彼は講義を続けた。,He proceeded with his lecture even during the earthquake.,その日もいつもどおり仕事を続けた。,We continued working as usual that day.,日曜ごとのテニスを欠かさず続けている。,He continues to play tennis every Sunday without fail.,
