Words,Reading,Meaning,Type,S1,T1,S2,T2,S3,T3,W1,W2,W3
言う,いう,"to say, utter, declare, to name, call",godan,もう一度言ってくださいませんか。,"Could you repeat that, please?",彼女は言いたいことを言った。,She said what she wanted to say.,あの子はまだものが言えない。,She still can't say a word.,,,
行く,いく,"to go, move, head towards, proceed",intrans.,一緒に行きます。,I'm coming with you.,私は明朝大阪へ行きます。,I'm going to Osaka tomorrow morning.,学校へは歩いて行きます。,I walk to school.,,,
見る,みる,"to see, look, watch, view, observe",trans.,じろじろ見る。,You're staring at me.,子供たちは蝶々をよく見た。,The children saw a lot of butterflies.,語の授業を見に行った。,I went to watch his language class.,,,
来る,くる,"to come, approach, arrive, come back",intrans.special,バスが来ましたよ。,The bus is here.,夏が例年より早く来た。,Summer has come earlier than usual.,いつ来るか来るかと待っていたんだ。,I was waiting to see when he would come.,,,
思う,おもう,"to think, consider, believe",trans.,それを思うとわくわくした。,I'm excited to think about it.,まっすぐ家に帰ろうと思った。,I thought I'd go straight home.,彼が本当に理解するかしらと思った。,I wondered if he'd really understand.,,,
持つ,もつ,"to hold, take, carry, possess, have, own",trans.,彼は本を手に持っている。,He's got a book in his hand.,このすばらしい収集物はだれが持っているの。,Who has this wonderful collection?,彼は激しい気質を持っている。,He's got a violent temperament.,,,
取る,とる,"to take, pick up, harvest, earn, choose, have",trans.,お手に取ってご覧ください。,Please take a look at it.,紙を取ってくださいますか。,"Could you pass me the paper, please?",箱のふたを取る。,Take the lid off the box.,,,
受ける,うける,"to receive, get, catch, struck by, sustain damage, incur loss",trans.,彼は大学から奨学金を受けている。,He's on scholarship from the university.,彼は帽子でその球を受けた。,He caught the ball in his hat.,家の修理代金の請求を受けた。,I got a bill for the house repairs.,,,
考える,かんがえる,"to think about, think over, ponder, reflect, consider",trans.,そんな発言をしたらどうなるか考えてみなさい。,Think about what would happen if you made a statement like that.,この問題はもっとよく考える必要がある。,We need to think about this issue more carefully.,もっと気楽に考えなさい。,You should take it easier on yourself.,,,
過ぎる,すぎる,"to pass through, go beyond, pass, elapse, to exceed",intrans.,眠っている間に列車は名古屋を過ぎた。,"While I slept, the train passed Nagoya.",この荷物は20キロを過ぎている。,This package is over 20 kilos.,夏休みが過ぎた。,Summer vacation is over.,,,
