Words,Reading,Meaning,Type,Sentence,Translation
会う,あう,"to meet, encounter, see",intrans.,昔の友達に会いに行った。,I went to see an old friend.
合う,あう,"to come together, merge, unite, fit, match, suit",intrans.,この服は私に合わない。,These clothes don't fit me.
遭う,あう,"to meet, encounter",intrans.,ひどい目に遭った。,I had a horrible experience.
言う,いう,"to say, utter, name, call, tell",godan,昨日東京に来たと彼は言った。,He told me he came to Tokyo yesterday.
追う,おう,"to chase, run after, follow, drive out, be pressed",trans.,その男の子は母親の後を追ってばかりいる。,The little boy just follows his mother all the time.
負う,おう,"to bear, carry on one's back, take responsibility, be injured",trans.,彼は重要な任務を負っていた。,He was charged with an important duty.
買う,かう,"to buy, purchase",trans.,ワインを買って来てください。,Please go get a bottle of wine.
飼う,かう,"to keep, raise, feed",trans.,犬を２匹飼っている。,He has two dogs.
請う,こう,"to request, ask, beg, invite ",trans.,その部屋の使用許可を請うた。,They requested permission to use the room.
吸う,すう,"to smoke, suck, breathe in, inhale ",trans.,大きく息を吸う。,Take a deep breath.
沿う,そう,"to run along, follow, comply with",trans.,海岸に沿ってホテルが並んでいる。,Hotels line the seashore.
添う,そう,"to meet expectations, comply, satisfy, accompany, go with, associate with, mix with, marry, be added",intrans.,結果はわれわれの期待に添わなかった。,The results did not meet our expectations.
問う,とう,"to ask, inquire, question, charge, accuse, not matter",trans.,彼の意図を問う。,Ask his intentions.
縫う,ぬう,"to sew, stitch, weave one's way",trans.,上着のほころびを縫う。,Sew up a tear in a jacket.
這う,はう,"to creep, crawl",intrans.,赤ちゃんは部屋に這ってきた。,The baby crawled into the room.
舞う,まう,"to dance, flutter about, revolve ",intrans.,花びらが風に舞っていた。,Petals were dancing in the wind.
酔う,よう,"to get drunk, become nauseated",intrans.,彼はすでに十分酔っていた。,He was already drunk enough.
開く,あく,"to open, become open",intrans.,戸が開かない。,The door will not open.
空く,あく,"to open, become empty",intrans.,机と机の間が空いている。,There is an empty space between the desks.
行く,いく,to go,intrans.,私は明朝大阪へ行きます。,I will go to Osaka tomorrow morning.
浮く,うく,"to float, become merry, become loose",intrans.,木片が水に浮いている。,A piece of wood is floating on the water.
置く,おく,"to put, leave",trans.,本を元の棚に置いておきなさい。,Put the book on its original shelf.
書く,かく,to write,trans.,雑誌に小説を書く。,Write a novel for a magazine.
描く,かく,"to draw, paint, sketch, depict, describe ",trans.,美しい風景を心に描く。,Painting beautiful landscapes in your mind
掻く,かく,"to scratch, perspire, shovel, rake",trans.,馬が前脚で地面を掻いている。,The horse is scratching the ground with its forelegs.
欠く,かく,"to chip, break, crack, lack ",trans.,刃物を欠く。,Chip the blade of a knife.
嗅ぐ,かぐ,"to sniff, smell",trans.,焼肉のにおいを嗅いで空腹を覚えた。,The smell of barbecued meat made me hungry.
聞く,きく,"to hear, listen to, ask",trans.,熱心に話を聞く。,Listen intently.
効く,きく,"to be effective, take effect, be good for, work",intrans.,この薬は頭痛によく効く。,This medicine works well for headaches.
漕ぐ,こぐ,"to row, scull, pedal",trans.,自転車を漕ぐ。,Pedal a bike.
咲く,さく,to bloom,intrans.,チューリップは春に咲く。,Tulips bloom in spring.
裂く,さく,"to tear, split",trans.,丸太を二つに裂く。,Split the log in two.
敷く,しく,"to spread out, lay out",godan,鉄道を敷く。,Lay a railway.
炊く,たく,"to boil, cook",trans.,ご飯を炊く。,cook rice
焚く,たく,"to burn, kindle, build a fire ",trans.,私の母は毎朝パンを焼く。,My mother bakes bread every morning.
着く,つく,"to arrive, reach, sit on, sit at",intrans.,暗くならないうちに目的地に着いた。,We reached our destination before dark.
付く,つく,"to be attached, be connected, adhere, stick, scar, stain, accompany",intrans.,洋服にインキの染みが付いた。,My dress was stained with ink.
就く,つく,"to take (seat, position), get a job",intrans.,彼は教職に就いた。,He got a teaching job.
点く,つく,"to catch fire, (electricity) comes on ",intrans.,カーテンに火が点いた。,The curtains were set on fire.
突く,つく,"to thrust, strike, poke ",trans.,針で親指を突いてしまった。,I poked my thumb with a needle.
注ぐ,つぐ,"to pour (into), irrigate, pay ",trans.,彼にビールを一杯注いであげてください。,Please pour him a glass of beer.
次ぐ,つぐ,"to rank next to, come after ",intrans.,きれい好きは敬神に次ぐ美徳。,A love of cleanliness is a virtue second only to godliness.
接ぐ,つぐ,"to join, pice together, set (bones), graft (tress)",trans.,医者は彼の折れた足をついだ。,The doctor picked up his broken leg.
継ぐ,つぐ,to succeed,trans.,彼に家業を継ぐようにときつけた。,I told him to take over the family business.
解く,とく,"to unfasten, solve",trans.,靴ひもを解く。,Untie the shoelace.
溶く,とく,to dissolve (paint),trans.,塩を水で溶く。,Dissolve the salt in water.
説く,とく,"to explain, advocate, preach, persuade ",godan,先生はこの点を詳細に説いた。,The teacher explained the point at length.
退く,どく,"to retreat, recede, withdraw ",intrans.,じゃまにならないようにわきへどきなさい。,Move to the side so you'll be out of the way.
研ぐ,とぐ,"to sharpen, grind, scour, hone, polish, wash(rice) ",trans.,包丁を砥石で研ぐ。,Sharpen a kitchen knife on a whetstone.
泣く,なく,"to weep, cry",godan,その映画館で観客は皆泣いた。,Everyone in that cinema cried.
抜く,ぬく,"to extract, omit, surpass, draw out, unplug ",trans.,ぶどう酒の栓を抜く。,Uncorking the grape wine
脱ぐ,ぬぐ,to take off clothes,trans.,洋服を脱いでゆかたを着た。,She undressed and put on a yukata.
履く,はく,"to wear, put on (lower body) ",trans.,普段はジーンズを履いてるね。,You usually wear jeans.
吐く,はく,"to vomit, emit, make comment, tell",trans.,食べたものをみんな吐いてしまった。,I threw up all I had eaten.
掃く,はく,"to sweep, brush, gather up ",trans.,ごみを掃いて捨てる。,Sweep the dirt away out.
剥ぐ,はぐ,"to tear off, peel off, rip off, strip off, disrobe, deprive of ",trans.,彼らは木の皮を剥いだ。,They peeled the bark off the trees.
引く,ひく,"to pull, tug, lead, draw, attract, catch, deduct",trans.,ボートを綱で引く。,Pulling a boat with a rope
弾く,ひく,"to play an instrument with strings, including piano ",trans.,彼女はピアノを弾きます。,She plays the piano.
轢く,ひく,"to run somebody over, knock someone down ",trans.,電車に轢かれて死ぬ。,Run over by a train and die.
吹く,ふく,to blow,trans.intrans.,風が激しく吹いている。,The wind is blowing hard.
拭く,ふく,"to wipe, to dry",trans.,手ぬぐいで手をふく。,Wipe one's hands with a towel.
巻く,まく,"to wind, coil, roll, envelope",trans.,スカーフを首に巻く。,Wrap a scarf around your neck.
蒔く,まく,"to sow (seeds), plant",trans.,とうもろこしの種を畑に蒔いた。,Corn seeds were sown in the field.
撒く,まく,"to scatter, to sprinkle, to sow ",trans.,私は息子に芝生に水を撒かせた。,I made my son water the lawn.
向く,むく,"to turn toward, look, face, point, be suited, fit for, go towards",trans.intrans.,壁のほうを向いて立つ。,Stand facing the wall.
剥く,むく,"to peel, skin, pare, hull, open wide",trans.,オレンジを剥いてあげよう。,I'll peel you an orange.
焼く,やく,"to bake, grill, roast, broil, burn",trans.,ステーキはよく焼いてください。,Please grill the steak to well done.
行く,いく,"to go, move, head towards, proceed",intrans.,学校へ自転車で行きます。,I go to school by bicycle.
沸く,わく,"to boil, grow hot, get excited ",intrans.,湯が沸いている。,The water is boiling.
湧く,わく,"to well up, gush forth, spring out, surge, appear, hatch, feel emotions",intrans.,彼の畑から温泉が湧いた。,Hot springs sprang up from his fields.
押す,おす,"to push, press, stamp something ",trans.,荷車を押す。,Push a cart.
貸す,かす,"to lend, loan, rent out, hire out",trans.,その本を彼に貸してもらった。,I borrowed that book from him.
消す,けす,"to erase, delete, extinguish, turn off power",trans.,水をかけて火を消す。,Pour water over the fire to extinguish it.
越す,こす,"to go over (audience), cross over (mountain), pass time (winter)",godan,川を越す。,Cross a river.
超す,こす,"to cross, pass, tide over, surpass",godan,出費が予算を超している。,Expenses are exceeding the budget.
差す,さす,"to shine, be visible, tinged with, rise, stretch out hands, raise up, insert, put in, put on",trasns.intrans.,父は毎朝鉢植えに水を差している。,My father waters his potted plants every morning.
指す,さす,"to point, nominate, select someone, identify, indicate",trans.,時計の針は10時５分を指していた。,The clock was pointing to 10:05.
刺す,さす,"to pierce, stab, prick, thrust ",trans.,指にとげを刺した。,I got a thorn in my finger.
挿す,さす,"to insert, put in, graft, wear in belt, arrange",trans.,髪にかんざしを挿す。,Put a hairpin in one's hair
注す,さす,"to pour (drink), serve (drinks) ",trans.,車輪には油を注したばかりだ。,I've just oiled the wheels.
射す,さす,"to shine, strike",intrans.,木が多すぎると家に光が射さない。,Too many trees do not allow light to shine on the house.
足す,たす,"to add numbers, add something, top up with something",trans.,三に二を足すと五になる。,"Add two to three, and you get five."
出す,だす,"to put out, take out, get out, show, submit, publish, send",trans.,そろそろ夏服を出す季節だ。,It's about time to get out my summer clothes.
為す,なす,"to accomplish, do, build up, establish, form",trans.,私の考えはまだ形をなしていない。,My idea has yet to take shape.
干す,ほす,"to air, dry, desiccate, drain (off), drink up ",trans.,洗たく物を干す。,hang out the laundry to dry
増す,ます,"to increase, grow",trans.,すばらしい天気は私達の楽しさを増した。,The wonderful weather added to our enjoyment.
蒸す,むす,"to steam, poultice, be sultry ",trans.,ムール貝とハマグリを加え7分間蒸す。,Add mussels and clams and steam for 7 minutes.
召す,めす,"to call, send for, put on, wear, take a bath, ride in, buy, eat, drink, consume, utilize, do",trans.,コートをお召しください。,Please put on your coat.
