Words,Reading,Meaning,Type,S1,T1,S2,T2,S3,T3,W1,W2,W3
会う,あう,"to meet, encounter, see",intrans.,昔の友達に会いに行った。,I went to see an old friend.,今日彼女と会う約束がある。,I have a date with her today.,本屋で彼にばったり会った。,I bumped into him at a bookstore.,,,
合う,あう,"to come together, merge, unite, fit, match, suit",intrans.,この服は私に合わない。,These clothes don't fit me.,このサラダはほとんど何にでも合う。,This salad goes with almost anything.,彼の到着と私の出発の日が偶然合った。,His arrival and my departure date coincided.,,,
遭う,あう,"to meet, encounter",intrans.,ひどい目に遭った。,I had a horrible experience.,台風でたいへんな被害に遭った。,We suffered great damage because of the typhoon.,交通渋滞に遭って遅れた。,We were late because we got caught in a traffic jam.,,,
言う,いう,"to say, utter, name, call, tell",godan,昨日東京に来たと彼は言った。,He told me he came to Tokyo yesterday.,あの子はまだものが言えない。,The child cannot talk yet.,私が言ったと言わないでくれ。,Don't tell anybody I said so.,,,
追う,おう,"to chase, run after, follow, drive out, be pressed",trans.,その男の子は母親の後を追ってばかりいる。,The little boy just follows his mother all the time.,私は全速力で彼の後を追った。,I followed him at full speed.,ダム建設のために私たちは父祖の地を追われた。,We were driven from the land of our fathers to build a dam.,,,
負う,おう,"to bear, carry on one's back, take responsibility, be injured",trans.,彼は重要な任務を負っていた。,He was charged with an important duty.,それはとても私の手に負えない。,That's more than I can deal with.,私は重傷を負った。,I was seriously injured.,,,
買う,かう,"to buy, purchase",trans.,ワインを買って来てください。,Please go get a bottle of wine.,昨日銀座へ買い物に行った。,I went shopping in Ginza yesterday.,あの店で安く花を買った。,I bought flowers cheap at that store.,,,
飼う,かう,"to keep, raise, feed",trans.,犬を２匹飼っている。,He has two dogs.,牛を飼って生計を立てている。,He makes his living by raising cattle.,この魚は小さなみみずで飼えばよい。,You can feed this fish on small earthworms.,,,
請う,こう,"to request, ask, beg, invite ",trans.,その部屋の使用許可を請うた。,They requested permission to use the room.,彼はわたしに赦しを請うた。,He asked my pardon.,恩恵を請うのは私の威厳に関わる。,It is beneath my dignity to beg for favors.,,,
吸う,すう,"to smoke, suck, breathe in, inhale ",trans.,大きく息を吸う。,Take a deep breath.,私はたばこは吸いません。,I do not smoke.,このスポンジはよく水を吸う。,This sponge absorbs water well.,,,
沿う,そう,"to run along, follow, comply with",trans.,海岸に沿ってホテルが並んでいる。,Hotels line the seashore.,鉄道はしばらく川に沿って走っていた。,The railroad ran parallel to the river for some distance.,この赤い線に沿って進んでください。,Please follow the red line.,,,
