Sentences,Remarks
サッカーを見るのが好きです,⚭ Vdict + no ga suki desu【I like to】
自転車に乗るのが嫌いです,⚭ Vdict + no ga kirai desu【I don’t like to】
ピアノを弾くのが得意です,⚭ Vdict + no ga tokui desu【I am good at (one’s forte)】
ピアノを弾くのが上手です,⚭ Vdict + no ga jouzu desu【I am good at】
絵を描くのが苦手です,⚭ Vdict + no ga nigate desu【I am not good at】
絵を描くのが下手です,⚭ Vdict + no ga heta desu【I am bad at】
パーティーに行くつもりです,⚭ Vdict + tsumori【I intend to】
寝る前に本を読みます,⚭ Vdict + mae ni【Before doing】
荷物を持ちましょうか,"⚭ Vnoun + mashouka【Shall I, Shall we】"
新宿に映画を見に行きます,⚭ Vnoun + ni ikimasu【Go to do】
昨日ケーキを食べすぎました,⚭ Vnoun + sugiru【Too much】
ラーメンが食べたいです,⚭ Vnoun + tai【I want to】
ラーメンが食べて欲しいです,⚭ Vte + hoshii【I want you to】
ゆっくり話してください,⚭ Vte + kudasai【Please do】
ひらがなで書いてもらえませんか,⚭ Vte + moraemasen ka【Could I have you】
渋谷に行ってご飯を食べる,⚭ Vte + .. Verb【do and do】
今日早く帰ってもいいですか,⚭ Vte + mo ii desu ka【May I】
充電器を借りってもいいですか,⚭ Vte + mo ii desu ka【Is it ok to】
今日本語を勉強している,⚭ Vte + iru【-ing (continuous action)】
埼玉に住んでいる,⚭ Vte + iru【-ing (continuous state)】
昨日の夜８時ごろお風呂に入っていた,⚭ Vte + ita【I was -ing (continuous action in the past)】
１０年前パリに住んでいた,⚭ Vte + ita【I used to (continuous state in the past)】
まだ昼ごはんを食べていません,⚭ mada ~ Vte + imasen【I haven’t yet】
富士山位登ったことがあります,"⚭ Vta + koto ga arimasu【I have been to, have done】"
駅まではバス行ったほうがいいですよ,⚭ Vta + hou ga ii desu【Its better to】
映画を見たり、買い物をしたりします,"⚭ Vtari + .. Vtari shimasu【I do things like -ing, -ing】"
お金があったら、世界中旅行します,⚭ Vtara【If I Verb (conditional form)】
駅に着いたら、電話して下さい,⚭ Vtara【When you Verb (conditional form)】
時間に遅れないでください,⚭ Vnai + de kudasai【Please do not】
今日は早めに帰らなきゃいけません,"⚭ Vnakya + ikemasen【I should, must, have to】"
無理しないほうがいいです,⚭ Vnai + hou ga ii desu【It's better not to】
日本語で書きなくてもいいです,⚭ Vnakute + mo ii desu【You don’t have to】
いいえ、予約しなくてもいいです,⚭ Vnakute + mo ii desu【It’ok not to】
田中さんは会社にいると思います,⚭ Vplain-nonpast + to omou・to omoimasu【I think..】
明日は雨が降るかもしれません,⚭ Vplain-nonpast + kamoshiremasen【It might..】
この曲は人気があるみたいです,⚭ Vplain-nonpast + mitai desu【Seems to be..】
部長はもう帰ったと思います,⚭ Vplain-past + to omou・to omoimasu【I think..】
セールは昨日までだったかもしれません,⚭ Vplain-past + kamoshiremasen【Might have been..】
じょんさんは恣意ごとを辞めたみたいです,⚭ Vplain-past + mitai desu【Seems to have been..】
ギターが弾けます,⚭ Vpot【I can (potential form)】
まいにちれんしゅうすれば、およげるようになります,⚭ Vpot + you ni naru【To be able to】
漢字が読めるようになりました,⚭ Vpot + you ni narimashita【I became able to】
ここから富士山が見えます,"⚭ Vpot【Can be seen, heard (potential form - see, hear)】"
部長はまだ会議室にいるはずです,⚭ Vplain + hazu desu【Should Verb (expectation)】
仕事が遺書がしのでレッスンを休みます,"⚭ Vplain + node【Since, Because】"
これは沖縄で撮った写真です,⚭ Vplain + Noun【(Noun modifation)】
試験を受けるかどうかわかりません,⚭ Vplain + kadouka wakaranai【I don’t know whether or not to】
近藤さんの送別会に行くかどうかまだ決めていません,⚭ Vplain + kadouka kimeteinai【I haven’t decided whether or not to】
出かける前に鍵をかけましたかどうか覚えていない,⚭ Vplain + kadouka oboeteinai【I don’t remember whether or not】
何時に来るか分からない,"⚭ Vplain + ka wakaranai【I don't know (what, where, who)】"
いつ帰るかまだ決めていません,⚭ Vplain + ka (mada) kimeteimasen【I haven’t decided to (yet) (QW)】
ここまでどうやって来ましたか覚えていません,⚭ Vplain + ka oboeteimasen【I don’t remember (QW)】
自分で作ってみます,⚭ Vte + miru・mimasu【Try to】
予約しておきます,⚭ Vte + oku・okimasu【Do in advance】
桜が咲いています,⚭ Vte + iru・imasu【Has been -ing】
財布を落としてしました,"⚭ Vte + shimaishita・chatta・jatta【Ended up, Unfortunately doing】"
タクシーに乗れば、間に合います,⚭ Vcond【If (conditional form)】
もっと勉強すればよかった,"⚭ Vcond + yokatta【I should, must, have to】"
どうやって注文すればいいですか,"⚭ Vcond + ii desu ka【How, when, what should I 】"
私は友達に花をあげました,⚭ Ageru【I give (give to someone)】
友達が私にお菓子をくれました,⚭ Kureru【Gives me (someone gives me )】
友達に映画のチケットをもらいました,⚭ Morau【I receive (receive from someone)】
私は友達に英語教えてあげました,⚭ Vte + ageru【I do (to someone)】
