Words,Meaning,Sentence
あきれる,"dumbfounded, scandalized, disgusted",また?ほんと、あきれるなあ。
焦った,i got flustered,さっきレジで財布忘れたことに気づいて焦ったよ。
当たり前で,"of course, obviously, nothing unusual",まだ新人なんだから、当たり前だよ。
あっという間,it was over in the blink of an eye,うん。あっという間に時間が過ぎたよ。
あと一歩,just a step away,合格まであと一歩なんだから、がんばって。
あやしい,that sounds fishy,あの二人、最近あやしいと思わない?
あり得ない,out if the question,ほんと。あり得ないよ。
あわてなくていい,you don't have to rush,あわてなくていいよ。ゆっくり覚えれば。
いい加減だなあ,"you’re irresponsible, careless",いい加減だなあ。時間くらい調べて行こうよ。
いい加減にして,"cut it out, that’s enough",知りませんよ。甘えるのもいい加減にしてください。
