Sentence,Translation
駅の前に喫茶店があります。,There is a coffee shop in front of the station.
そのデパートの前に書店がある。,There is a bookstore in front of that department store.
目の前に手を差し出す。,Hold out your hand in front of you.
ラジオを聞くのが好き。,I like to listen to the radio.
日本企業は戦略を発表するのが好きだ。,Japanese companies like to announce their strategies.
余りに長い記事を書いてはいけない。,Do not write too long an article.
主題を見失ってはいけない。,Do not lose sight of the subject matter.
わかめご飯が食べられるからうれしいよ。,I'm happy because I can eat wakame rice.
過不足があるから、資金は循環する。,"Because of excesses and deficiencies, funds circulate."
何であんな場所に戻りたいんだ？,Why would you want to go back to that place?
何でこんな事に関与した？,Why did you get involved in this?
何でみんな俺を狙うんだ？,Why is everyone after me?
次の駅で降りるつもりだ。,I'm going to get off at the next stop.
私はまだ残りの家族に会うつもりだ。,I still intend to see the rest of my family.
あなたはキャラメルフレーバーにする？,Would you go for the caramel flavor?
もっと馴染みのある表現にします。,I will use a more familiar expression.
