Words,Meaning,Sentences,Translation,Level
来る,come,雨天の後には晴天が来る。,After rain comes fair weather.,1
見る,see,映画でも見ていこうか。,Let's stop off and see a movie.,1
居る,exist,彼は昨年北海道にいましたか。,Was he in Hokkaido last year?,1
くれる,give,彼女は私たちに食べるものをくれた。,She gave us something to eat.,1
要る,needed-wanted,この家は家賃がいらない。,This house is free of rent.,1
それ,that,誰がそれを知ろうか。,Who'd know that?,1
時,time-hour,私の家に来れる時は、まず電話をして下さい。,"When you can come to my house, please call me first.",1
される,be doing,奨学金が交付された。,I got a grant for my tuition.,1
から,from,ここから歩いて２時間もの距離だ。,It is no less than two hours' walk from here.,1
僕,i-me,僕の声は届いていますか。,Can you hear I'm calling?,1
板,board-plank,私はその板をインチで計った。,I measured the board in inches.,1
前,ago-before-in front,駅に着く前に列車は発車していた。,The train started before we got to the station.,1
ではない,is not,能力がすべてではない。,Ability alone is not enough.,1
よう,appearing-like,こういう機器では買いたくなるような値段です。,"It's an attractive price, for this sort of device.",1
中,inside,なぜ森の中で道に迷ったのか。,Why did you get lost in the woods?,1
言う,say,私に一回だけ言わせてくれ。,Let me say it once for all.,1
先生,teacher,彼は駅で英語の先生にばったり会った。,He met his English teacher at the station by accident.,1
見える,be seen,あちらに富士山が見えます。,We can see Mt. Fuji over there.,1
私,i-me,正確に言うと私は大学講師です。,"Specifically, I'm a university lecturer.",1
べき,should,君は彼に本当のことを言うべきだった。,You should have told him the truth.,1
積もり,intention-plan,私は外国へ行くつもりだったが。,I intended to have gone abroad.,1
年,year,私がここへ来てから二年になる。,It is two years since I came here.,1
という,called-named-said,それは何という動物だ。,What an animal it is!,1
有る,exist,私たちの学校には１０の学級がある。,Our school has ten classes.,1
男,man-male,農場で一人の男が働いている。,There is a man working on the farm.,1
この,this,このスカーフはすべすべする。,This scarf feels soft.,1
行けない,wrong-must not do,あなたはこの部屋で眠ったらいけません。,You are not to sleep in this room.,1
思う,think,彼は彼女をとても魅力的だと思います。,He thought her very charming.,1
には,for-in regard to,この国には外国人の観光客が大勢いる。,Foreign tourists in this country are numerous.,1
んです,it is that,あの、本当は、ちょっと具合が悪いんです。,"Well... actually, I'm sick.",1
させる,make do-let do,医者は少女に抗生物質を服用させた。,The doctor dosed the girl with antibiotics.,1
方,direction-way-side,どっちの方に行くとよいかな。,Which way shall we go now?,1
悪い,bad-poor,彼女はいつも体の具合が悪いと不平を言っている。,She is always complaining of her poor health.,1
にも,also-too-as well,この規則はいくとおりにも解釈できる。,This rule reads several ways.,1
ので,because-since,私は非常に早く起きたのでその列車に間に合った。,"Because I got up so early, I caught the train.",1
鳴る,sound-ring,突然ベルが鳴った。,The bell rang suddenly.,1
学生,student,ここの本は学生が誰でも利用できます。,These books are accessible to all students.,1
立つ,stand-rise-stand up,あの建物の前に立っている人は誰ですか。,Who is the man standing in front of the building?,1
よりも,in comparison to-rather than-than,彼女は彼よりも優れた指導者だ。,She is a more proficient leader than he is.,1
や,and,賃金や給料は定期的に受け取る給与のことです。,Wages and salary are pay received at regular times.,1
考え,thought-idea,彼の考えは私の考えと一致しない。,His ideas do not fit in with mine.,1
自分,oneself,自分のすらっとした姿を得意に思っています。,She is vain about her slender figure.,1
って,says that-as for,楽しい時って、あっと言う間に時間過ぎちゃうんだよね。,"When you're enjoying yourself, the time seems to fly by.",1
である,be-is,それらの街の交通法は同じである。,Those cities have uniform traffic laws.,1
酔う,get drunk,彼は多かれ少なかれ酔っていた。,He was more or less drunk.,1
あの,that,あのお店ではおいしいリンゴが販売中です。,There are some nice apples on sale in that shop.,1
他,other-the rest,彼は他の事に気を取られている。,He is preoccupied with something else.,1
無い,nonexistent,私は忙しいし、それには興味もない。,"I am busy, and I'm not interested in that, either.",1
決して,never,あなたのご親切を私はけっして忘れません。,I shall never forget your kindness.,1
積極的,positive-proactive,何事にも積極的な態度を取るようにしなさい。,Try to have a positive attitude about everything.,1
凍結,freezing,冬は道路を凍結するのでよく滑って転びます。,It is easy to slip and fall during icy winters.,1
道,road-path-street,暗い道では足元に気をつけなさい。,Watch your step in dark alleys.,1
あれ,that,質ではこれはあれよりはるかに勝っている。,This one is of much higher quality than that one.,1
でも,but-however,楽しく遊んできなさい。でも道に迷わないように。,"Have fun, but don't get lost.",1
いただける,able to receive-take-accept,部屋を見せていただけますか。,Could I see the room please?,1
尾,tail-tail end,魚は尾を動かして泳ぐ。,A fish swims by moving its tail.,1
人間,human being,すべての人間は法律的には対等である。,All human beings are legally equal.,1
物,thing-object,地震ほど怖い物はない。,Nothing is so terrible as an earthquake.,1
まで,until-up to,市内までいくバス乗り場は、どこですか。,Where's the bus for the city?,1
やめる,stop-cease,今日は雨降りなので、買い物はやめよう。,"It being rainy today, let's cancel our shopping.",1
だけ,only-just-merely,店にあるのは、これ一つだけです。,It is the only one there is in the shop.,1
しか,only-nothing but,彼はせいぜい１０ドルしか持っていない。,He has not more than 10 dollars.,1
うち,inside-within-while-among,若いうちに海外へ行かれることをお勧めします。,I advise you to go abroad while young.,1
ながら,while,私は食事をしながら本を読みました。,I read a book while eating.,1
知らせ,news-notice,彼はその知らせにすっかり失望した。,He was very much disappointed at the news.,1
知る,know-notice,彼はその結果を知って満足した。,He was satisfied to know the result.,1
顔,face-visage,なんとすてきな顔をしているのだろう。,What a nice face she has!,1
です,be-is,日本では、月給です。,"In Japan, we are paid by the month.",1
では,then-well-so,では明日その事について彼に尋ねてみます。,"I will ask him about it tomorrow, then.",1
市,city-market,当市には大気汚染はありません。,Our city is free from air pollution.,1
わかる,understand,おっしゃる意味がわかりませんが。,What you said does not make sense.,1
上手,skillful,夫は私より上手に料理する。,My husband is better able to cook than I.,1
彼女,she-her-girlfriend,彼は彼女をとても魅力的だと思います。,He thought her very charming.,1
とは,indicates word or phrase being defined,社会と個人とは不可分である。,Society and the individual are inseparable.,1
強い,strong,きみの腕や足は十分に強くなった。,Your arms and legs have grown strong enough.,1
渡す,ferry across-carry across,それじゃあこのメモを渡してください。緊急です。,"Then, please give him this note. This is urgent.",1
ホテル,hotel,その町で最高のホテルはどこですか。,Which is the best hotel in the town?,1
返る,return-come back,今度日本に返って来られるのはずっと先のことでしょう。,I guess it will be a long time before I can return to Japan.,1
蛇,snake,私は蛇など全然怖くない。,I'm not in the least afraid of snakes.,1
クラス,class,そのクラスは５０人の学生から成っている。,The class consists of fifty students.,1
として,as a,彼女は音楽家として初めて世に出た。,She made her first appearance as a musician.,1
担う,carry-bear-take upon,この梱包材が断熱機能を担っている。,This packaging material provides heat insulation.,1
しかし,however-but,しかしその答えはすべて間違っていた。,But the answers were all wrong.,1
出る,leave-exit-go out,あなたの乗る電車は１０番線から出ます。,Your train leaves from Platform 10.,1
女,female-woman,彼の娘は美しい女になった。,His daughter grew to be a beautiful woman.,1
入る,get in-go in-come in,私が部屋に入ると彼らは拍手した。,"As I entered the room, they applauded.",1
でしょうか,don't you think,東京は今何時でしょうか。,What's the local time in Tokyo now?,1
考える,think about-consider,その問題は解決したものと考えた。,I considered the problem as settled.,1
山,mountain,私は若い頃よく山に行っていたものだ。,I would go to the mountains when young.,1
違う,differ-vary,制服は学校によって違う。,Uniforms differ from school to school.,1
そして,and-and then,そして何時間もいっしょに話したからです。,And we had spent hours talking together.,1
また,again,ミニスカートがまた流行している。,Mini-skirts are back in fashion again.,1
夜,evening-night,夜になって、家へ帰った。,"When night came on, we returned home.",1
夏,summer,日本では夏は非常に暑い。,"In Japan, it is very hot in summer.",1
娘,daughter-young girl,その娘はわっと泣き出した。,The girl burst into tears.,1
声,voice,彼女の声は震えていた。,There was a tremble in her voice.,1
舌,tongue,熱いスープで彼女の舌がやけどした。,Hot soup burned her tongue.,1
間違い,mistake-error-blunder,彼の結論は完全な間違いであることが明らかになった。,His solution turned out to be a complete mistake.,1
そんな,such-like that,そんな些細な事は問題外だ。,Such a trivial thing is out of the question.,1
など,et cetera-and so forth,私はよい野菜や米、果物などを栽培したいのです。,"I want to grow good vegetables, rice, fruit and so on.",1
今,now,東京は今何時でしょうか。,What's the local time in Tokyo now?,1
妹,younger sister,私の妹は昨日神戸に行った。,My sister went to Kobe yesterday.,1
生まれる,born,彼は大阪で生まれた。,He was born in Osaka.,1
目,eye,彼女の目の色は青です。,The color of her eyes is blue.,1
暮れる,get dark,冬の日は速く暮れる。,The night falls fast in winter.,1
出す,take out-put-submit,外に出してやってくれませんか。,Could you let him out?,1
あなた,you,あなたはその規則を守らなければならない。,You must keep to the rules.,1
聞く,hear-listen-ask,試合の結果について聞きましたか。,Have you heard about the result of the game?,1
円,yen,私は昨日２０万円の利益を得た。,"I profited 200,000 yen yesterday.",1
手,hand-arm,彼は彼女の手をつかまえた。,He caught her hand.,1
そう,so-really-seeming,喜んでそういたしましょう。,I'll do it with pleasure.,1
ちょうど,exactly-precisely-just,次の新幹線は９時ちょうどに出ます。,The next Shinkansen train leaves at just nine o'clock.,1
すれば,if so-in that case,さらに研究すればその理論が正しいことがわかるだろう。,Further study will prove that the theory is right.,1
出会う,meet by chance-come across,たまたま私は彼女と東京で出会った。,It happened that I met her in Tokyo.,1
家,house-residence,私の家の庭には昔菜園があった。,There used to be a vegetable garden in our yard.,1
認める, recognize-notice-acknowledge,誰もがその少年を本物の天才と認めている。,Everyone recognizes the boy as a real genius.,1
いい,good-excellent-nice,いい考えが心に浮かんだ。,A good idea entered my mind.,1
これ,this,これ以上まけられませんか。,Is this the last price?,1
なに,what,病院の後ろにあるあの建物はなんですか。,What's that building at the back of the hospital?,1
雨降り,rainfall-rainy,今日は雨降りなので、買い物はやめよう。,"It being rainy today, let's cancel our shopping.",1
運転免許,driver's license,君は運転免許を取るには、まだ若すぎる。,You're still too young to get a driver's license.,1
目下,now-at present,その家は目下建築中である。,The house is now under construction.,1
日本経済,japanese economy,今年の日本経済の成長率は０.７％を超えるだろう。,The growth rate of the Japanese economy will top 0.7% this year.,1
チェックアウト,check-out,チェックアウトしたいのですが。,I'd like to check out.,1
思想,thought-idea,言葉は思想を表すのに役立つ。,Words serve to express ideas.,1
断る,refuse-reject-decline,彼女は私の依頼を断った。,She refused my request.,1
にかけて,till-over a period-through,週末にかけて雨が降るだろう。,Rain is expected through the weekend.,1
調査,investigation,彼はその問題について調査している。,He is investigating the issue.,1
絡む,entangle-entwine-involve,この問題には金が絡んでいる。,There is money involved in this issue.,1
吐く,breathe out-vomit,一息吐いてからまた始めよう。,Let's take a breath and start again.,1
北,north,北海道は日本の北に位置しています。,Hokkaido is located in the north of Japan.,1
手に入れる,obtain-procure,この季節にりんごを手に入れるのは楽ではない。,Getting apples this season is not easy.,1
荷物,luggage-baggage-package,荷物を預けることができますか。,Can I leave my luggage with you?,1
皿,plate-dish-platter,彼女は皿を洗い、それから乾かした。,She washed the dishes and she dried them.,1
中心,center-middle,その町は成長して経済の中心となった。,The town developed into the center of the economy.,1
ごめん,sorry,ごめん。道が混んじゃって。,Sorry. Traffic was heavy.,1
米,rice,私はよい野菜や米、果物などを栽培したいのです。,"I want to grow good vegetables, rice, fruit and so on.",1
嬉しい,happy-glad-pleased,君に会うのはいつだってうれしいことです。,To see you is always a great pleasure.,1
の,of,これは私の妹の写真です。,This is a picture of my little sister.,1
に,on-in-to-for,ディズニーランドに行きたいです。,I want to go to Disneyland.,1
は,topic maker,それは 私 のではありません。,That is not mine.,1
た,past tense,今日は仕事に行きました。,I went to work today.,1
を,object,これを読んでください。,Please read this.,1
だ,copula,このゲームは君の勝ちだ。,You are the winner in this game.,1
が,subject,これが読みたかった本です。,This is the book I wanted to read.,1
て,connective-form,足が痛くて、歩けない。,My feet hurt so I can’t walk.,1
と,and-with,妻とビーチに行きました。,I went to the beach with my wife.,1
も,too-also,これも明日までの宿題だ。,This homework is also due tomorrow.,1
で,in-at-from-by,あの公園で会いましょう。,Let’s meet at the park.,1
てる,continuous action-state,赤ちゃんが鳥を見てる。,The baby is looking at the bird.,1
ている,continuous action-state,ずっと音楽が鳴っている。,The music is still playing.,1
です,copula,これが私の家です。,This is my house.,1
れる,passive voice,ふつうに使われる交通機関は電車です。,The transportation normally used is the train.,1
という,called-named,これが、マカロンというお菓子です。,This is a confectionary called a macaron.,1
つう,authority,通な人が好む店だ。,This is a shop that connoisseurs are fond of.,1
こと,thing-matter,お話ししたい事があります。,I have a matter that I would like to talk about.,1
言う,say-speak-talk,みんなが違う事を言う。,Everyone says something different.,1
あの,ah,あの、すみませんが、バス停への道を教えてください。,"Er, excuse me. Please show me the way to the bus stop.",1
まあ,just,これでまあいいと思うよ。,I think this is just fine.,1
ある,"be, exist, happen, occur",土曜日にコンサートがある。,There is a concert this Saturday.,1
ね,sentence ender-agreement,このバッグはあなたのですよね。,"This is your bag, isn’t it?",1
ない,not,その映画には興味がないです。,I am not interested in that movie.,1
なる,become,大きくなったら、何になる。,What are you going to be when you grow up?,1
