Dialogue,Translation
お飲み物は何になさいますか?  ,What would you like to drink?  
かしこまりました。こちらがメニューです。,Certainly. Here is the menu.
それでは、お水をお持ちします。,And I'll get you some water.
お水です。ご注文はお決まりですか?  ,Here is the water. Have you decided what to order?  
いえ、まだです。もう少し時間をください 。,"No, not yet. Just give me a little more time."
もちろんです。ごゆっくりどうぞ。 ,Of course. Please take your time.
もう少し後の方がよろしいですか?  ,Would you like me to do it a little later?  
それでは、ご注文は何になさいますか?  ,What would you like to order?  
チキンのスプリング、グリーンサラダをください 。,"Chicken springs, green salad, please."
かしこまりました。こちらのサラダにはスープが付きます。,Certainly. This salad is served with soup.
クリーミー、トマトスープとミネストローネ、どちらになさいますか?  ,Would you like creamy tomato soup or minestrone?  
