Dialogue,Translation
アイスクリームをお試しになりますか?  ,Would you like to try some ice cream?  
はい。でも、何にしようか迷っています。,Yes. But I'm not sure what to choose  
何かお好きなお味はありますか?  ,Do you have a favorite flavor?  
チョコレートとストロベリー、バニラを試食してみませんか?  ,"Why don't you try chocolate, strawberry and vanilla?  "
私には少し甘すぎるみたいです。,It’s a little too sweet for me  
次はバニラを試してみてもいいですか?  ,Can I try the vanilla next?  
チョコレートよりこちらのほうが好みです。,"Than the chocolate, I prefer this one  "
ストロベリーが一 番 人気なんですよ。,Strawberry is the most popular  
良かったです!どれになさいますか?  ,Great! Which one would you like?  
コーンとカップ、どちらになさいますか?  ,Would you like a cone or a cup?  
