Expression,Translation
My mother wears glasses when she reads.,母は本を読むときめがねをかけます。
I always cook from cookbooks.,わたしはいつも料理の本を見ながら料理を作ります。
I have been in Hokkaido all summer.,わたしは夏の間、ずっと北海道にいました。
I want to move during the summer vacation.,夏休みの間に引っ越ししたいです。
It is almost 3 o'clock.,時刻は間もなく３時になるところです。
I will tell you more about this the next time I see you.,このことは今度お目にかかった折に詳しくお話しいたします。
"In case of emergency, please use the stairs instead of the elevator.",非常の際はエレベーターを使わずに、階段をご利用ください。
The ceremony will be held in the 4A hall.,式典は４あ会館において行われる予定。
I would like to say something to all of you at the beginning of the new semester.,新学期にあたって、皆さんに言っておきたいことがあります。
"Even if you cannot speak well now, you will get better with practice.",今は上手に話せなくても練習を重ねるうちに上手になります。
"Mr. Kobayashi, a new employee, started to doze off during a meeting.",新入社員の小林さんは、会議の最中にいねむりを始めてしまった。
He slept for a good two hours while being rocked by the train.,電車に揺られつつ、２時間ほどいい気持ちで眠った。
"The country is now in a period of economic growth, and people look lively.",今、国は経済成長期にあって、人々の表情も生き生きとしている。
Let's wash our hands before eating.,食事の前に手を洗いましょう。
"After dinner, why don't we take a short walk?",食事の後で、少し散歩しませんか。
Turn off the lights and leave the room.,電気を消して、部屋を出ます。
I'm going to do all this work and then I'm going to have a beer.,この仕事をぜんぶやってからビールを飲みます。
Have you seen this movie yet?,今うちに帰ってきたばかりなのでもう見ましたか。
I'm going back to my country for the summer vacation.,夏休みになったら、国へ帰ります。
I want to do many things while I am still single.,独身のうちに、いろいろなことをやってみたいです。
"If there is an earthquake, put out the fire immediately.",地震のときはすぐに火を消しなさい。
I studied Japanese by listening to pronunciation tapes.,発音のテープを聞きながら、日本語の勉強をした。
"While my parents were traveling, I cooked meals every day.",両親が旅行をしている間、ぼくが毎日食事を作りました。
I would put away the books in my spare time.,暇な間に本だなをかたづけてしまおう。
"While I was eating, I received a phone call.",ご飯を食べているところに電話がかかってきた。
Please write to me if you remember me at any time.,何かの折にわたしのことを思い出したら手紙をくださいね。
"When I left the country, I borrowed a lot of money from friends and acquaintances.",国を出る際に、友人、知人からたくさんのお金を借りたのです。
This plant flowers only in certain environments.,この植物は、ある一定の環境においてしか花を咲かせない。
I need to be well prepared to present my research.,研究発表をするにあたって、しっかり準備をすることが必要だ。
