Expression,Reading,Meaning,Sentences,Translation,Pitch,Picture,Audio
人,ひと,person,,,,,
一,いち,one,,,,,
日,"ひ, にち",day,,,,,
大きい,おおきい,big,,,,,
年,とし,year,,,,,
出る,でる,"to leave, exit",,,,,
本,ほん,book,,,,,
日本中,にほんじゅう,all over Japan,,,,,
子供,こども,child,,,,,
見る,みる,to see,,,,,
国,くに,country,,,,,
上,ue,"up, above",,,,,
分かる,わかる,to understand,,,,,
生,なま,"raw, fresh",,,,,
行く,いく,to go,,,,,
二,に,two,,,,,
間,あいだ,between,,,,,
一時,いちじ,"one o’clock, for a time",,,,,
気,き,"spirit, mind, heart",,,,,
十,じゅう,ten,,,,,
女,おんな,"female, women",,,,,
三,さん,three,,,,,
前,まえ,"before, in front of",,,,,
入る,はいる,"to enter, to contain",,,,,
小さい,ちいさい,"small, little, tiny",,,,,
後,あと,"behind, rear, later, after",,,,,
長い,ながい,long,,,,,
下,した,"below, down, under",,,,,
学ぶ,まなぶ,to study,,,,,
月,つき,moon,,,,,
何,なに,what,,,,,
来る,くる,come,,,,,
話す,はなす,"to talk, speak, tell, converse",,,,,
山,やま,mountain,,,,,
高い,たかい,"tall, expensive",,,,,
今,いま,now,,,,,
書く,かく,to write,,,,,
五,ご,five,,,,,
名所,めいしょ,famous place,,,,,
金曜日,きんようび,Friday,,,,,
男,おとこ,"man, male",,,,,
外,そと,outside,,,,,
四,し・よん,four,,,,,
先,さき,"point, tip, first, before",,,,,
川,かわ,river,,,,,
東,ひがし,east,,,,,
聞く,きく,"to hear, to ask, to listen",,,,,
語 ,ご,language,,,,,
九,きゅう,nine,,,,,
食事,しょくじ,meal,,,,,
八,はち,eight,,,,,
水,みず,water,,,,,
天気 ,てんき,weather,,,,,
木,き,tree,,,,,
六,ろく,six,,,,,
一万円,いちまんえん,ten thousand yen,,,,,
白い,しろい,white​,,,,,
七,しち・なな,seven,,,,,
円,えん,"yen, circle",,,,,
電話,でんわ,telephone call,,,,,
父,ちち,father,,,,,
北,きた,north,,,,,
車,くるま,car,,,,,
母,はは,mother,,,,,
半分,はんぶん ,half,,,,,
百,ひゃく,hundred,,,,,
