Japanese,Korean,English,Spanish
こんにちは,안녕하세요,"hello, good afternoon",Buenas tardes.
いらっしゃい,어서 오세요,welcome,Hola.
お待ちしていました,기다리고 있었습니다,we have been waiting for you,Le estábamos esperando.
さあ、どうぞ,어서 오세요,"well, please do","Pase, pase."
おじゃまします,어서 오세요,excuse me for disturbing,Siento molestarle.
はじめまして,처음 뵙겠습니다,nice to meet you,Mucho gusto.
どうぞよろしく,よろしくお願いします,pleased to meet you,Mucho gusto.
いつもお世話になっております,항상 신세를 지고 있습니다,thanks you for all your help,Siempre es un placer conocerte.
いいえ、こちらこそ,"아뇨, 제가 먼저","no, it's my pleasure","No, es un placer."
これ、どうぞ,이거 드세요,here you go,Aquí tiene.
どうぞご心配なく,아무쪼록 걱정하지 마세요,please don't worry about it,No te preocupes.
ほんの気持ちです,그냥 마음입니다,it's just a thought,Es sólo un pensamiento.
じゃ、遠慮なく,"그럼, 부담없이","well, feel free","Bueno, no seas tímido."
ありがとうございます	,감사합니다	,thank you,Muchas gracias.	
どうぞ、おかけください,어서 오십시오,"please, have a seat","Por favor, siéntese."
失礼します,실례합니다,excuse me,Con permiso.
お茶をどうぞ,차 한잔하세요,have some tea,"Por favor, tome un té."
いただきます,맛있게 드세요,expression of gratitude before meals,Buen provecho.
どうぞ,어서 드세요,go ahead,Aquí tiene.
どうも,안녕하세요,thanks,"Gracias, señor."
