Script.EP1,Meaning.EP1,Script.EP2,Meaning.EP2,Script.EP3,Meaning.EP3,Script.EP4,Meaning.EP4,Script.EP5,Meaning.EP5,Script.EP6,Meaning.EP6,Script.EP7,Meaning.EP7,Script.EP8,Meaning.EP8,Script.EP9,Meaning.EP9,Script.EP10,Meaning.EP10,Script.EP11,Meaning.EP11,Script.EP12,Meaning.EP12
シャンランランラン空を飛んで,"Shan lan lan lan, flying through the sky",,,,,,,,,,,,,,,,,,,,,,
この街を見渡すの,I look around this city,,,,,,,,,,,,,,,,,,,,,,
みんなといると違って見える,I see it differently when I'm with you all,,,,,,,,,,,,,,,,,,,,,,
きっと忘れられないOhMyFriends,I'll never forget OhMyFriends,,,,,,,,,,,,,,,,,,,,,,
アタフタ迷っちゃって,I'm so lost and confused,,,,,,,,,,,,,,,,,,,,,,
遅れそうなのごめんね！,"I'm going to be late, sorry!",,,,,,,,,,,,,,,,,,,,,,
行こうと思ってたお店,I was going to go to this restaurant.,,,,,,,,,,,,,,,,,,,,,,
定休日だったみたいなの,"I was going to go there, but it was closed.",,,,,,,,,,,,,,,,,,,,,,
またドジしちゃったな,I guess I messed up again.,,,,,,,,,,,,,,,,,,,,,,
こんな私だけど,I know I'm like this.,,,,,,,,,,,,,,,,,,,,,,
友達でいてくれて,But thank you for being my friend.,,,,,,,,,,,,,,,,,,,,,,
本当にありがとう,Thank you so much.,,,,,,,,,,,,,,,,,,,,,,
シャンランランラン空を飛んで,"Chan-chan-chan, I'm flying through the sky",,,,,,,,,,,,,,,,,,,,,,
この街を見渡すの,I look around this city,,,,,,,,,,,,,,,,,,,,,,
みんなといると違って見える,I see things differently when I'm with you all,,,,,,,,,,,,,,,,,,,,,,
不思議なくらいに,It's so strange,,,,,,,,,,,,,,,,,,,,,,
トッピングスパイシーな魔法でカラフルな毎日,Topping spicy magic and colorful every day,,,,,,,,,,,,,,,,,,,,,,
ちょっと変わってるくらいがいいエッセンス,A little bit different is a good essence,,,,,,,,,,,,,,,,,,,,,,
きっと忘れられないOhMyFriends,OhMyFriends you'll never forget,,,,,,,,,,,,,,,,,,,,,,
次止まります,Next stop,,,,,,,,,,,,,,,,,,,,,,
チトさん見てください,"Look at this, Tito!",,,,,,,,,,,,,,,,,,,,,,
四月なのにこんなに残ってますよ雪,It's April and there's still so much snow!,,,,,,,,,,,,,,,,,,,,,,
冷たい,It's cold!,,,,,,,,,,,,,,,,,,,,,,
これ食べても大丈夫かな,I wonder if it's safe to eat this,,,,,,,,,,,,,,,,,,,,,,
真琴,Makoto.,,,,,,,,,,,,,,,,,,,,,,
やっば真琴だ,"Oh, it's Makoto",,,,,,,,,,,,,,,,,,,,,,
久しぶり,Long time no see,,,,,,,,,,,,,,,,,,,,,,
もしかして圭くんですか,"Kei-kun, by any chance?",,,,,,,,,,,,,,,,,,,,,,
大きくなったから誰かわかりませんでしたよ,"You've grown up, I didn't know who you were",,,,,,,,,,,,,,,,,,,,,,
でなんで雪持っての,So why do you have snow?,,,,,,,,,,,,,,,,,,,,,,
これは…,This is...,,,,,,,,,,,,,,,,,,,,,,
なんでもないです,It's nothing.,,,,,,,,,,,,,,,,,,,,,,
ようチト元気してたかぁ,"Hey, Tito, how are you?",,,,,,,,,,,,,,,,,,,,,,
おまえもでかけなったなぁ,You've been gone a long time.,,,,,,,,,,,,,,,,,,,,,,
迎えに来てくれたんですか,You came to pick me up?,,,,,,,,,,,,,,,,,,,,,,
あぁ真琴方向音痴だったろ,"Yeah, Makoto was directionally challenged.",,,,,,,,,,,,,,,,,,,,,,
ウチまで辿り着けないじゃないかと思ってな,I didn't think you'd make it to our house.,,,,,,,,,,,,,,,,,,,,,,
そんな昔の話をしないで下さいよ,Don't talk about the past like that.,,,,,,,,,,,,,,,,,,,,,,
これくらいの道は覚えてますよ,I remember this much of the way.,,,,,,,,,,,,,,,,,,,,,,
さぁ行きましょ千夏ちゃんにも早く会いたいです,"Let's go, I can't wait to see Chika",,,,,,,,,,,,,,,,,,,,,,
おーいウチはそっちじゃないぞ,"Hey, we're not that way.",,,,,,,,,,,,,,,,,,,,,,
千夏ちゃん,Chika!,,,,,,,,,,,,,,,,,,,,,,
こんにちは,Hello.,,,,,,,,,,,,,,,,,,,,,,
こんにちは,"Hello, Chika.",,,,,,,,,,,,,,,,,,,,,,
お久しぶりです千夏ちゃん,"Long time no see, Chika.",,,,,,,,,,,,,,,,,,,,,,
私のことわかりますか？,Do you know who I am?,,,,,,,,,,,,,,,,,,,,,,
お兄ちゃんの女,I'm your brother's girl.,,,,,,,,,,,,,,,,,,,,,,
ち…違いますよ,"No, I'm not.",,,,,,,,,,,,,,,,,,,,,,
ニャンコだ,She's a pussy.,,,,,,,,,,,,,,,,,,,,,,
千夏覚えてないだろ,"You don't remember me, Chinatsu.",,,,,,,,,,,,,,,,,,,,,,
最後に会ったは３つの時だもんな,You were three the last time you saw her.,,,,,,,,,,,,,,,,,,,,,,
この人はお前のお母さんだ,She's your mother.,,,,,,,,,,,,,,,,,,,,,,
は…,Ha...,,,,,,,,,,,,,,,,,,,,,,
おかーさん,Mom...,,,,,,,,,,,,,,,,,,,,,,
えー違いますよ違いますよ,"No, she's not... she's not...",,,,,,,,,,,,,,,,,,,,,,
いそーろう,I'll be living in this house from today.,,,,,,,,,,,,,,,,,,,,,,
そ今日からこの家に住むことになった木幡真琴,Makoto Kibata will be living in this house starting today.,,,,,,,,,,,,,,,,,,,,,,
オレたちの又いとこにあたる親戚だ,He's our second cousin.,,,,,,,,,,,,,,,,,,,,,,
よろしくおながいします,Nice to meet you,,,,,,,,,,,,,,,,,,,,,,
もしかしてこないだお母さんが言ってた人,Is that who your mom was talking about the other day?,,,,,,,,,,,,,,,,,,,,,,
そうそう,That's right...,,,,,,,,,,,,,,,,,,,,,,
方向音痴の？,The directionless one?,,,,,,,,,,,,,,,,,,,,,,
そうそう,That's right.,,,,,,,,,,,,,,,,,,,,,,
でここが真琴の部屋,And this is Makoto's room,,,,,,,,,,,,,,,,,,,,,,
ちゃんと荷物届いてますね,I see you got my stuff,,,,,,,,,,,,,,,,,,,,,,
ああ…そうなんだけど多くね？,"Yeah, but there's a lot, isn't there?",,,,,,,,,,,,,,,,,,,,,,
いやいや女の子はこんなモンですよ,"No, no, no, girls are like this.",,,,,,,,,,,,,,,,,,,,,,
そうなん？,Really?,,,,,,,,,,,,,,,,,,,,,,
ん,Yeah.,,,,,,,,,,,,,,,,,,,,,,
じゃ昼飯の準備してくっから一段落したら来て,"I'm going to get lunch ready, so come back when you're done.",,,,,,,,,,,,,,,,,,,,,,
はーい,Okay.,,,,,,,,,,,,,,,,,,,,,,
少し疲れましたねチトさんは大丈夫ですか,You look a little tired.,,,,,,,,,,,,,,,,,,,,,,
けっこう体力ありますね,"You have a lot of energy, don't you?",,,,,,,,,,,,,,,,,,,,,,
じゃ後で買い物行きますけど一緒に行きませんか,I'm going shopping later.,,,,,,,,,,,,,,,,,,,,,,
もー本当に出不精なんだから,I'm so lazy.,,,,,,,,,,,,,,,,,,,,,,
また太っちゃいますよ,You'll get fat again.,,,,,,,,,,,,,,,,,,,,,,
じゃあ何が買ってきましょか,Let's buy something.,,,,,,,,,,,,,,,,,,,,,,
お兄ちゃん,Big brother!,,,,,,,,,,,,,,,,,,,,,,
布団持ってった？,Did you bring the futon?,,,,,,,,,,,,,,,,,,,,,,
うん,"Yes, I did.",,,,,,,,,,,,,,,,,,,,,,
ねお兄ちゃん,"Hey, big brother.",,,,,,,,,,,,,,,,,,,,,,
あの人っていつまでウチにいるの,How long is he staying with us?,,,,,,,,,,,,,,,,,,,,,,
詳しいことは聞いてないけど一人前になるまでかな,"I haven't heard the details, but until he's on his own.",,,,,,,,,,,,,,,,,,,,,,
一人前？,On his own?,,,,,,,,,,,,,,,,,,,,,,
何だよ嫌なのか？,"What, you don't like it?",,,,,,,,,,,,,,,,,,,,,,
そうじゃないけど,It's not that.,,,,,,,,,,,,,,,,,,,,,,
あの人危ない人だなって思った,I just think he's dangerous.,,,,,,,,,,,,,,,,,,,,,,
だってだってあの人さき猫とね話してたんだ,Because he was talking to that cat.,,,,,,,,,,,,,,,,,,,,,,
いいにおいお昼はカレーですか,Curry for lunch?,,,,,,,,,,,,,,,,,,,,,,
そう昨日の残りものだけどな,"Yes, leftovers from yesterday.",,,,,,,,,,,,,,,,,,,,,,
カレーは一日置いた方が美味しいですもんね,Curry tastes better after a day.,,,,,,,,,,,,,,,,,,,,,,
あれチトは？,Where's Tito?,,,,,,,,,,,,,,,,,,,,,,
ダイエット中だからお昼いらないって,"He's on a diet, so he doesn't want lunch.",,,,,,,,,,,,,,,,,,,,,,
どうかしましたか千夏ちゃん,"Is something wrong, Chika?",,,,,,,,,,,,,,,,,,,,,,
なんだあいつ,What's with that guy?,,,,,,,,,,,,,,,,,,,,,,
どうかしましたか千夏ちゃん,"What's wrong, Chika?",,,,,,,,,,,,,,,,,,,,,,
なんでもないよテレビ見てるだけだよ,"Nothing, I'm just watching TV",,,,,,,,,,,,,,,,,,,,,,
テレビあっちですよ,TV's over there,,,,,,,,,,,,,,,,,,,,,,
そーだ圭くん,"That's right, Kei",,,,,,,,,,,,,,,,,,,,,,
近くに雑貨屋さんか何がありませんか,Is there a general store or something nearby?,,,,,,,,,,,,,,,,,,,,,,
