Word,Level,Freq.Rank
の,basic,1
て,basic,2
に,basic,3
は,basic,4
だ,basic,5
た,basic,6
を,basic,7
が,basic,8
と,basic,9
する,basic,10
も,basic,11
で,basic,12
いる,basic,13
ある,basic,14
ます,basic,15
です,basic,16
いう,basic,17
か,basic,18
こと,basic,19
ない,basic,20
から,basic,21
れる,basic,22
なる,basic,23
ない,basic,24
よう,basic,25
その,basic,26
一,basic,27
ず,basic,28
もの,basic,29
人,basic,30
それ,basic,31
お,basic,32
この,basic,33
二,basic,34
的,basic,35
ば,basic,36
や,basic,37
来る,basic,38
思う,basic,39
年,basic,40
いく,basic,41
三,basic,42
何,basic,43
見る,basic,44
よい,basic,45
できる,basic,46
わたし,basic,47
時,basic,48
者,basic,49
そう,basic,50
十,basic,51
られる,basic,52
これ,basic,53
よ,basic,54
方,basic,55
さん,basic,56
など,basic,57
ね,basic,58
中,basic,59
まで,basic,60
へ,basic,61
五,basic,62
ところ,basic,63
よる,basic,64
たち,basic,65
四,basic,66
ため,basic,67
だけ,basic,68
どう,basic,69
自分,basic,70
日本,basic,71
てる,basic,72
日,basic,73
せる,basic,74
って,basic,75
また,basic,76
等,basic,77
あと,basic,78
しまう,basic,79
彼,basic,80
千,basic,81
たい,basic,82
つ,basic,83
わかる,basic,84
持つ,basic,85
考える,basic,86
二十,basic,87
今,basic,88
六,basic,89
月,basic,90
やる,basic,91
な,basic,92
目,basic,93
出る,basic,94
場合,basic,95
前,basic,96
つく,basic,97
八,basic,98
たり,basic,99
七,basic,100
さ,basic,101
うえ,basic,102
しかし,basic,103
より,basic,104
第,basic,105
とる,basic,106
聞く,basic,107
けれど,basic,108
家,basic,109
ながら,basic,110
下さる,basic,111
気,basic,112
知る,basic,113
九,basic,114
性,basic,115
くれる,basic,116
うち,basic,117
九百,basic,118
三十,basic,119
入る,basic,120
置く／おく,basic,121
使う,basic,122
他,basic,123
子ども,basic,124
そして,basic,125
間,basic,126
し,basic,127
ほど,basic,128
もう,basic,129
そこ,basic,130
問題,basic,131
わけ,basic,132
対する,basic,133
必要,basic,134
度,basic,135
同じ,basic,136
ここ,basic,137
手,basic,138
多い,basic,139
時間,basic,140
くらい,basic,141
おく,basic,142
出す,basic,143
人間,basic,144
化,basic,145
わたし,basic,146
あなた,basic,147
万,basic,148
こう,basic,149
関係,basic,150
話,basic,151
国,basic,152
つくる,basic,153
男,basic,154
百,basic,155
社会,basic,156
そんな,basic,157
僕,basic,158
行う,basic,159
顔,basic,160
五十,basic,161
知れる,basic,162
次,basic,163
よく,basic,164
べし,basic,165
言葉,basic,166
円,basic,167
書く,basic,168
つける,basic,169
子,basic,170
四十,basic,171
意味,basic,172
まま,basic,173
力,basic,174
もらう,basic,175
教える,basic,176
心,basic,177
かける,basic,178
