Verbs,Pattern,Translation
拠る,校則に従う。,Follow school rules.
履く,忠告に従う。,Follow the advice.
響く,判決に従うほかない。,Have no choice but to abide by the ruling.
迎える,慣例に従う。,Follow convention.
振る,行列に従う。,Follow the procession.
従う,川に従って行く。,Follow the river.
聞こえる,指示に従ってください。,Please follow the instructions.
掴む,ルールに従わざるを得なかった。,Had to follow the rules.
解く,食事療法に従う。,Follow the diet.
挙げる,命令に従う。,Obey orders.
防ぐ,法律に従う。,Obey the law.
当てる,手順に従うことにより可能です。,Can be done by following the procedure.
立てる,修正に従うはずです。,Should follow the modification.
耐える,ハイヒールを履く。,Wear high heels.
据える,靴を履く。,Put on shoes.
治る,スカートを履くこととされていた。,Were required to wear skirts.
突き付ける,喜んで迎えるつもりです。,Gladly welcome them.
加える,空港に人を迎える。,Welcome people at the airport.
済む,客を笑顔で迎える。,Greet customers with a smile.
泊まる,医者を迎える。,Meet the doctor.
,温かく迎えられた。,Were warmly welcomed.
,駅で迎える。,Meet at the station.
,正月を迎える。,Greet the new year.
,新しい時代を迎える。,Entering a new era.
,交渉も大詰めを迎えた。,Negotiations reached a critical point.
,終盤を迎えている。,Approaching the final stage.
,クラスに迎えて嬉しい。,Glad to welcome you to the class.
,先生を迎えに走っていった。,Ran off to meet the teacher.
,ホテルに車で迎えてください。,Please pick me up at my hotel by car.
,よく響かない。,It doesn't resonate well.
,音がここまで響いてきた。,The sound echoed up here.
,音は神経に響く。,Sound strikes a nerve.
,仕事に響く。,It affects the work.
,ボトルを振る。,Shake the bottle.
,首を振る。,Shake your head.
,腕を振る。,Wave your arms.
,バットを振る。,Swing the bat.
,魚に塩を振る。,Sprinkle salt on the fish.
,犬が尾を振った。,The dog wagged its tail.
,要点を掴む。,Get to the point.
,性格を掴む。,Grasp the personality.
,彼の手を掴んだ。,I grabbed his hand.
,泥棒を防ぐ。,Prevent thieves.
,腐敗を防ぐ。,Prevent spoilage.
,誤解を防ぐ。,Prevent misunderstandings.
,発生を未然に防ぐ。,Prevent outbreaks before they occur.
,トラブルを防ぐ。,Prevent trouble.
,敵の侵略を防ぐ。,Prevent enemy invasion.
,危険を防ぐ。,Prevent hazards.
,再発を防ぐ。,Prevent recurrence.
,食中毒を防ぐ。,Prevent food poisoning.
,計画を立てるつもりだった。,I was going to make a plan.
,波風を立てる。,Make waves.
,戦略を立てるなら。,If you want to make a strategy.
,証人を立てる。,Put up a witness.
,予定を立てる。,Make plans.
,見通しを立てる。,Make a prediction.
,生計を立てる。,Making a living.
,解決策を立てる。,Formulate a solution.
,特に焦点を当てる。,Special focus on.
,真ん中に当てた。,Hit it right in the middle.
,２等賞を当てた。,I won the second prize.
,答えを当てた。,I guessed the answer.
,パッチを当てる。,Apply a patch.
,傷口にガーゼを当てる。,Apply gauze to the wound.
,激痛に耐える。,Endure intense pain.
,運命の試練に耐える。,Endure the trials of fate.
,過酷な訓練に耐え抜く。,Endure harsh training.
,苦痛に次第に耐えきれなくなる。,The pain gradually becomes unbearable.
,悲しみに耐えきれず。,Unable to bear the grief.
,刺すような視線に耐えきれず。,I couldn't bear the stinging stares.
,列車の荷重に耐える。,Withstands train loads.
,高温に耐える服。,Clothing that withstands high temperatures.
,地震にも耐える建築物。,Buildings that can withstand earthquakes.
,水中での使用に耐えるカメラ。,Cameras that can withstand underwater use.
,敵の猛攻に耐える。,Withstand the onslaught of the enemy.
,苦境に耐える。,Withstand adversity.
,暴風に耐える。,Withstand storms.
,精神的重圧に耐える。,Withstand the mental pressure.
,校長に据える。,Install as principal.
,仕事に腰を据えている。,I am sitting down to work.
,目を据える。,Set your eyes.
,腰を据えて研究する。,Sit down and research.
,薬で君の風邪は治る。,The medicine will cure your cold.
,軽い運動で腰痛が治った。,Light exercise cured my back pain.
,風邪は治りましたか。,Have you recovered from a cold?
,現代医学でも治らない。,Even modern medicine cannot cure it.
,人に無理な要求を突き付ける。,Make unreasonable demands on people.
,彼に証拠を突き付ける。,Confront him with the evidence.
,チームに新たな課題を突き付ける。,Poses new challenges to the team.
,考え方に疑問を突き付けることを試みます。,We will attempt to challenge the way of thinking.
,仕上げの筆を少し加える。,Add a few finishing touches.
,他のメンバを会話に加える。,Add other members to the conversation.
,オリーブオイルを加える。,Add olive oil.
,修正を加える。,Make corrections.
,2 に 3 を加えると 5 だ。,Adding 3 to 2 yields 5.
,新版には索引が加えてある。,An index has been added to the new edition.
,仕事は済んだ。,Job done.
,試験が済んだ。,The test was done.
,少しの損で済んだ。,It was only a small loss.
,話は済んだ。,We're done talking.
,準備は１日で済んだ。,Preparation took only one day.
,買わなくて済む。,You don't have to buy it.
,どこに泊まるか。,Where to stay.
,神社に泊まる。,Stay at the shrine.
,ホテルに泊まるつもりです。,I plan to stay in a hotel.
,今晩泊まってもいいですか。,Can I stay over tonight?
,神戸に泊まる。,Stay in Kobe.
