Script,Sound,Meaning
안,an,
녕,nyeong,
하,ha,
세,se,
요,yo,
히,hi,
주,ju,
무,mu,
어,eo,
게,ke,
가,ga,
나,na,
다,da,
라,ra,
마,ma,
바,ba,
사,sa,
자,ja,
카,ka,
타,ta,
파,pa,
차,cha,
아,a,
학,hak,
창,chang,
학창,hakchang,school
시절에,sijeore,in the days
알,al,
알려,allyeo,inform
려,ryeo,
갸,gya,
냐,nya,
댜,dya,
랴,rya,
먀,mya,
뱌,bya,
샤,sya,
야,ya,
쟈,jya,
챠,chia,
캬,kya,
탸,tya,
퍄,pya,
햐,hya,
하다,hada,do-make
가다,gada,go-get to
오다,oda,come-arrive
주다,juda,give
타다,tada,ride
앉다,antda,sit
일어나다,ireonada,stand up-get up
싸우다,sauda,fight
웃다,utda,laugh-smile
읽다,ikda,read
놀다,nolda,play
듣다,deutda,listen-hear
걷다,geotda,walk
달리다,dalida,run
놓다,nohda,put-lay
가져가다,gajyeogada,take-get
요리하다,yorihada,cook
찾다,chatda,find-look for-locate
관찰하다,gwanchalhada,watch-observe
고르다,goreuda,choose-select
좋아하다,jeohahada,like-favor
생각하다,saenggakhada,think
느끼다,neukkida,feel
이해하다,ihaehada,understand
가지다,gajida,have-own
기대하다,gidaehada,expect
동의하다,donguihada,agree
믿다,midda,believe
추측하다,chucheukhada,guess
상상하다,sangsanghada,imagine
알다,alda,know
알아보다,araboda,recognize-explore-learn about
기억하다,gieokhada,remember
사랑하다,saranghada,love
의심하다,uishimhada,suspect-doubt
죄송하다,joesaonghada,sorry
정말,jeongmal,really-truly
우리는,urineun,we
사용하죠,sayonghajyo,let’s use it
