Expression,Reading,Meaning,Japanese
안녕하세요,annyeonghaseyo,hello,こんにちは
여기요,yeogiyo,here you go,どうぞ
감사함니다,gamsahamnida,thank you,ありがとうございました
네,ne,yes,はい
아니요,anniyo,no,いいえ
커피 좋아하세요,keopi joahaseyo,do you like coffee?,コーヒーが好きですか
커피 안좋아하세요,keopi anjoahaseyo,don’t you like coffee?,コーヒーが好きではないですか
네 좋아하세요,ne joahaseyo,yes i like it,はい、あなたはそれが好きです
아니요 안좋아하세요,anniyo anjoahaseyo,no i don’t like it,いいえ、あなたはそれが好きではありません
커피 좋아해요,keopi joahaeyo,i like coffee,コーヒーが好き
커피 안좋아해요,keopi anjoahaeyo,i don’t like coffee,コーヒーは好きじゃない
네맞아요,nemajayo,"yes, that's right",はいそうです
안녕히 계세요,annyeonghi gyeseyo,goodbye,さようなら
안녕히 가세요,annyeonghi gaseyo,goodbye,さようなら
잠시만요,jamsimanyo,wait a minute,ちょっと待ってください
잠깐만요,jamkkanmanyo,wait a minute,ちょっと待ってください
죄송함니다,joesonghamnida,sorry,ごめんなさい
