W1,T1,W2,T2,W3,T3,W4,T4
する,do,入手する,obtain,努める,strive for,奏でる,play
居る,"be, exist, stay",及ぼす,affect,映る,be reflected,号する,name
有る,"be, exist, have",減少する,decrease,落下する,fall,護る,protect
使用する,use,変えられる,can be changed,賭ける,bet on,伸長する,extend
要る,"need, want",許可する,allow,培養する,cultivate,退ける,remove
表示する,indicate,疑う,doubt,養う,nourish,命ずる,command
異なる,"differ, vary",飛ぶ,fly,興奮する,excite,発散する,diverge
得る,obtain,協力する,cooperate,関わる,get involved,配達する,deliver
設定する,set,困る,get in trouble,移転する,relocate,高まる,be promoted
対応する,handle,成長する,grow,交渉する,negotiate,論争する,argumentative
なる,become,承継する,succession,対峙する,confront,葬る,bury
思う,think,気づく,notice,見捨てる,abandon,分別する,separate
定める,"decide, determine",考慮する,consider,留める,keep,訊く,ask
制御する,control,任せる,delegate,選別する,sorting,溺れる,drown
実行する,execute,透過する,transparent,着ける,attach,接地する,grounding
行く,go,誘導する,guide,飛べる,fly,防ぐ,prevent
指定する,"specify, designate",消費する,consume,回避する,avoid,目指す,aim
使う,use,吸う,suck,掘る,dig out,回答する,answer
追加する,add,中継する,relay,出席する,attendance,摂取する,ingest
言う,to tell,逮捕する,arrest,曲がる,bend,定着する,establish
送信する,send,聴く,listen,現像する,develop,反発する,repel
出力する,output,観察する,observe,晴れる,clear up,制する,control
用いる,use,数える,count,溶融する,melting,祈願する,prayer
削除する,delete,施行する,enforce,分布する,distribute,可視化する,visualize
存在する,exist,近接する,proximity,勤める,work (for),差し引く,subtract
入力する,input,延長する,prolong,調達する,procure,積み重ねる,accumulate
見る,look,覆う,cover,捕らえる,capture,後退する,backtracking
化する,change into,配布する,distribute,優る,be superior,欺く,deceive
違う,wrong,照合する,collate,曲げる,bend,燃焼する,combustion
行う,conduct,頼る,rely on,引っ張る,pull,介入する,intervene
供給する,supply,降りる,get off,生息する,inhabit,購読する,subscribe
開く,open,告げる,tell,付け加える,add,離陸する,take off
接続する,connecting,暗号化する,encrypt,増大する,increase,浸入する,infiltrate
適用する,apply,否定する,deny,適合する,conform,挨拶する,greetings
保持する,hold,警告する,warning,抱える,hold,圧入する,press-in
移動する,moving,解釈する,interpret,成し遂げる,accomplish,発揮する,demonstrate
属する,belong to,発光する,luminescence,巻き込む,involve,探索する,explore
関連する,related,笑う,laugh,敵対する,antagonize,逃亡する,escape
発生する,occur,注意する,attention,指揮する,command,履行する,fulfill
判定する,judge,開設する,open,習う,learn,省略する,omit
出来る,can do,作動する,operate,思いつく,come up with,沸騰する,boil
保存する,save,果たす,fulfill,区分する,classify,満了する,expire
割り当てる,assign,命じる,command,解明する,clarify,寄付する,donate
管理する,manage,捉える,capture,閉める,close,衰える,fade away
来る,come,出会う,encounter,やり遂げる,accomplish,完結する,complete
作る,make,同意する,agree,亡くなる,die,殺菌する,sterilize
掲げる,raise,経過する,pass,前進する,moving forward,務める,serve (as)
話す,talk,縮小する,reduce,剥がす,peel off,駐在する,stationed
考える,think,把握する,grasp,発熱する,fever,擁立する,retain
知る,know,満たす,fulfill,発信する,transmit,抵触する,conflict with
死ぬ,die,掛ける,multiply,発つ,emit,搬入する,bring in
調整する,adjust,消える,disappear,苦しめる,torment,加温する,heating
変換する,convert,組み立てる,assemble,隔離する,isolate,煮る,boil
見える,appear,成す,"form, build up",崇拝する,worship,広まる,spread
入る,come in,訴える,appeal to,逃す,let go,延期する,postpone
分かる,understand,記す,describe,建設する,construct,打ち明ける,confide in
有する,have,営む,run a business,貼る,affix,即位する,enthronement
記憶する,remember,焼く,"burn, grill, bake",進入する,entering,染色する,stain
一致する,match,尽くす,devote,飛散する,scatter,点滅する,flashing
更新する,update,伝播する,propagate,卒業する,graduation,解読する,decipher
除去する,remove,報知する,inform,溢れる,overflow,済ませる,get it over with
処理する,process,苦しむ,suffer,入れ替える,replace,補給する,replenish
やる,do,燃える,burn,償う,compensate for,解雇する,dismiss
伴う,accompany,抱く,embrace,粉砕する,smash,暴露する,expose
示す,show,耐える,withstand,熱する,heat,プレスする,press
見つける,find,記載する,describe,折る,break,混在する,mixed
切り替える,switch,消滅する,extinguish,再開する,reopen,釈放する,release
呼ぶ,call,確かめる,ascertain,持って行く,take,単純化する,simplify
製造する,manufacture,上る,go to (the capital),費やす,spend,告白する,confess
隣接する,adjacent,獲得する,acquire,泊まる,stay overnight,耕す,cultivate
生じる,occurs,投入する,put in,遭遇する,encounter,蹴る,kick
利用する,use,踊る,dance,流れ込む,flow into,断つ,decline.
殺す,kill,拘束する,restraints,磨く,polish,辞退する,decline
聞く,listen,建てる,erect,検証する,verify,ワクワクする,exciting
変更する,change,挟む,pinch,発電する,generate,差す,point
格納する,store,組み合わせる,combine,要約する,summarize,慕う,adore
置く,put,外す,remove,締める,fasten,伺う,visit
支持する,to support,競合する,compete,決する,decide,輸出する,export
記録する,record,中断する,interrupt,配る,distribute,爆破する,blow up
送る,send,限定する,limit,実在する,exist,開発する,develop
検索する,search for,引き出す,withdraw,相違する,differ,受容する,accept
配置する,deploy,公表する,publicize,供える,offer,立ち直る,recover
行なう,do,洗う,wash,痛む,hurt,溜める,accumulate
編集する,to edit,期待する,expectations,贈る,send,下りる,descend
続ける,continue,抑制する,suppress,堆積する,deposit,見上げる,look up
出る,get out,修復する,repair,比例する,proportional,越す,go over
判断する,to decide,襲う,attack,吐く,breathe out,切削する,cutting
居る,be there,組織する,organize,巻く,wind,生み出す,produce
含める,include,演奏する,perform,諦める,give up,訳す,translate
提供する,offer,照明する,lighting,運用する,operate,崩す,destroy
入れる,put in,計測する,measuring,追放する,banish,退避する,evacuate
駆動する,drive,演じる,perform,要る,need,迂回する,bypass
印刷する,print,収まる,fit,成立する,be established,呼吸する,breathe
含む,include,破棄する,discard,迷う,hesitate,削減する,reduce
抽出する,extract,除く,exclude,脅す,threaten,受け持つ,take care of
出す,put out,設立する,establish,着陸する,landing,復活する,revive
挿入する,insert,重ねる,pile up,妨害する,interrupt,発注する,ordering
作成する,create,乾燥する,dry,殴る,strike,感心する,admire
取る,take,遅れる,delay,感知する,sense,見送る,forsake
調べる,investigate,繋ぐ,connect,規制する,regulate,閉まる,close
維持する,maintain,特定する,identify,計る,measure,減速する,decelerate
形成する,form,泣く,cry,固める,solidify,同行する,accompanying
向上する,improves,嫌う,hate,廃棄する,discard,衰退する,fades away
選択する,select,滅ぼす,destroy,受け止める,catch,解ける,be solved
食べる,eat,気付く,notice,濾過する,filter,公示する,publicize
要する,need,失う,lose,高める,enhance,隠蔽する,hide
書く,write,複製する,replicate,視聴する,watch,埋葬する,burial
動作する,operate,向ける,turn toward,経つ,pass,誘惑する,seduce
流れる,flow,発見する,discover,録画する,record,歩む,walk
会う,meet,測る,measure,賛成する,i agree.,決断する,make a decision
帰る,go home,作り出す,create,反抗する,defy,占う,divine
説明する,explain,直面する,face,統括する,supervise,取り掛かる,set about
始める,start,破る,break,連れて来る,bring someone along,上回る,surpass
守る,protect,統合する,integrate,絞り込む,narrow it down,拭く,wipe
対向する,opposite,引き渡す,hand over,やがる,be annoyed by,斬る,cut down
計算する,calculate,研究する,research,所望する,request,独立する,independent
該当する,applicable,防止する,prevent,替える,change,試みる,try
感じる,feel,逃れる,escape,旅する,travel,征服する,conquer
向かう,heading,予防する,prevent,噛む,chew,助け合う,help each other
停止する,stop,委任する,delegate,挑戦する,challenge,希釈する,dilute
扱う,deal,改める,change,通う,commute,据える,set up
頼む,ask,改善する,improvement,観測する,observe,策謀する,plan
通知する,notice,覚える,remember,離間する,estrangement,鎮圧する,subdue
発行する,issue,循環する,circulate,絞る,narrow down,稼動する,operate
伝える,inform,接着する,adhesive,雇用する,hire,謝罪する,apologize
閉じる,close,連なる,be in a row,招待する,invite,割れる,crack
住む,live,転写する,transfer,見張る,keep a watchful eye on,狙う,aim at
要求する,request,併用する,use together,邪魔する,interfere with,働かせる,put to work
読む,read,上昇する,ascending,係る,concern,温める,warm
変える,change,載せる,place on top of,超える,exceed,通学する,commute to school
固定する,fix,侵入する,get in,注文する,order,申し込む,apply for
働く,work,収める,fit,没する,submerge,引かれる,be drawn to
補正する,to correct,計画する,plan,貫く,penetrate,実践する,practice
起動する,to start,怒る,get angry,向かい合う,face each other,出くわす,come across
渡す,hand over,交わる,mingle with,生かす,make use of,連想する,associate
照射する,irradiate,輝く,shine,触る,touch,防御する,defend
構成する,configure,憎む,hate,放電する,discharge,砕く,break into pieces
望む,want,剥離する,detach,奉仕する,serve,やっつける,defeat
動く,move,衝突する,clash,停車する,stop,寄与する,contribute
戻す,return,謝る,apologize,振り返る,look back,騒ぐ,make a fuss
分離する,separate,遂行する,carry out,開催する,held,腐る,rot
取得する,get,硬化する,harden,裁く,judge,辿り着く,arrive at
共有する,share,済む,finish,掴む,seize,引き起こす,cause
付ける,wear,添付する,attach,開閉する,open and close,忠告する,advice
信じる,believe,壊す,destroy,手放す,let go of,中止する,discontinue
買う,buy,借りる,borrow,熟す,"digest, break down",怠る,neglect
制限する,restrict,下す,take down,集約する,consolidate,発症する,develop
修正する,fix,復帰する,return to,見逃す,overlook,蒸留する,distill
待つ,wait,沈む,sink,貰う,get,平行する,parallel
変わる,change,唱える,recite,免除する,exempt,探求する,explore
終了する,finish,署名する,signature,運搬する,transport,乗り換える,change one's ride
受け取る,receive,留まる,stay,隔てる,separate,駐車する,parking
比較する,compare,流出する,flow out,収縮する,shrink,焼ける,burn
続く,continue,効く,be effective,下降する,descend,挿す,insert
役立つ,useful,食う,eat,到達する,reach,曝す,expose
接する,contact,並べる,arrange,遅刻する,delay,告示する,announce
残る,remain,吸引する,sucking,封入する,encapsulate,浸す,soak
保護する,protect,調査する,investigate,加水分解する,hydrolyze,操縦する,maneuvering
繰り返す,repeat,想像する,imagine,占領する,occupy,軽減する,mitigate
至る,"reach, arrive at",救う,save,投資する,invest,終る,finish
生成する,generate,育つ,grow,片付ける,clean up,主導する,lead
回転する,rotate,造る,build,準備する,prepare,直通する,direct
登録する,register,心配する,worry,分断する,divide,発明する,invent
助ける,help,学習する,learning,遂げる,accomplish,育む,nurture
連結する,connect,内蔵する,built-in,創造する,create,上陸する,landing
上げる,increase,押す,push,恥じる,be ashamed,拠る,rely on
接触する,contact,回る,turn,控える,refrain from,報復する,retaliate
転送する,forward,指す,point,間違える,make a mistake,対抗する,counteract
決める,decide,伸ばす,extend,崩壊する,collapse,使い分ける,use properly
再生する,reproduce,当てる,"apply, patch",納付する,deliver,指導する,leading
実施する,implement,抜ける,get out of the way,導出する,derive,服従する,obey
結合する,join,犯す,commit,録音する,recording,引退する,retire
進む,move on,集中する,concentrate,似合う,suit,清掃する,clean up
加熱する,to heat,依頼する,request,エスケープする,escape,送金する,remittance
指示する,instruct,対立する,confrontation,用意する,prepare,見抜く,see through
解除する,unlock,引き受ける,undertake,確立する,establish,口論する,arguing
回収する,to recover,貼り合わせる,paste together,見つめる,gaze at,生まれ変わる,be reborn
含有する,contains,変動する,vary,悟る,realize,侵攻する,invade
受け入れる,accept,責める,blame,解説する,explain,陥れる,trap
学ぶ,learn,断る,refuse,推薦する,recommendation,分担する,share
合う,fit,噴出する,erupt,配分する,distribute,相関する,correlate
起こる,occur,倒れる,fall down,苦労する,toil,招く,invite
飲む,drink,乗せる,give a ride to,従事する,engage,乗り切る,get through
止める,stop,排気する,exhaust,連動する,interlocking,刻む,carve
冷却する,cooling,届ける,deliver,おっしゃる,say,会話する,conversation
保つ,keep,止まる,stop,降伏する,surrender,決済する,settlement
取り付ける,install,富む,become rich,自殺する,suicide,出土する,unearthed
設置する,install,負ける,lose,震える,tremble,解体する,dismantle
操作する,manipulate,込む,include,避ける,avoid,参拝する,visit a shrine or temple
戻る,return,編成する,organize,意味する,mean,侮辱する,insult
取り出す,take out,叫ぶ,shout,寄る,come close to,告訴する,charge
理解する,understand,急ぐ,hurry,咲く,bloom,替わる,replace
変化する,change,換算する,convert,引っ越す,move to a new location,辞職する,resign
始まる,begin,信用する,trust,執行する,execute.,冷やす,cool down
延びる,extend,隠れる,hide,見極める,discern,屈曲する,bend
通過する,pass,区画する,compartmentalize,支援する,support,入学する,admission
成功する,success,読める,read,欲する,want,出世する,get ahead in life
囲む,surround,完成する,complete,持続する,sustain,救出する,rescue
検出する,detect,閉塞する,block,料理する,cooking,表わす,reveal
導く,guide,宣言する,declare,共用する,share,バレる,be exposed
述べる,state,流通する,circulate,見直す,look again,縛る,bind
分割する,divide,溶解する,dissolve,履く,put on (or wear) footwear,巡る,go around
選ぶ,choose,延伸する,extend,体験する,experience,気化する,vaporize
展開する,expand,臨む,face,引用する,quote,担ぐ,carry
使える,can be used,残存する,remaining,依存する,depend on,携帯する,carrying
持つ,have,取れる,be taken,受け継ぐ,inherit,暗殺する,assassinate
完了する,complete,説く,preach,結び付ける,tie,浸透する,permeate
評価する,evaluate,浄化する,purify,感染する,infect,黙る,shut up
伝達する,introduce,次ぐ,come after,称える,praise,兼任する,concurrently hold a position
