Words,Reading,Meaning
寝台特急,しんだいとっきゅう,limited express train with sleeping berths
廃止,はいし,"discontinue, abolish"
各社,かくしゃ,each company
ダイヤ,ダイヤ,train schedule
改正,かいせい,revision
登場,とうじょう,"appearance. appear, entry to stage"
新型,しんがた,new type
客車,きゃくしゃ,passenger car
導入される,どうにゅうされる,to be introduced
初めて,はじめて,for the first time
全室,ぜんしつ,all rooms
冷暖房,れいだんぼう,air conditioning and heating
完備,かんび,being fully equipped
個室寝台,こしつしんだい,single room
連結する,れんけつする,"to attach, connect, link"
連結し,れんけつし,"attach, connect"
食堂車,しょくどうしゃ,dining car
備えて,そなえて,to equip with
走る,はしる,to run
最近,さいきん,recently
新幹線,しんかんせん,"shinkansen, bullet train"
飛行機,ひこうき,airplane
押されて,おされて,to be overwhelmed
乗車率,じょうしゃりつ,percentage of passengers
減少する,げんしょうする,"to decrease, reduce"
減少し,げんしょうし,"decrease, reduce"
ここ数年,ここすうねん,over the past few years
約,やく,about
上り列車,のぼりれっしゃ,"train going to tokyo, up-train"
首都圏,しゅとけん,tokyo and its vicinity
乗り入れる,のりいれる,"to enter into, ride into"
朝,あさ,morning
ラッシュ持,ラッシュじ,rush hour
重なり,かさなり,"be at the same time, overlapping, stacking"
遅れた,おくれた,got delayed
場合,ばあい,case
通勤電車,つうきんでんしゃ,commuter train
過密,かみつ,"congested, overcrowded"
影響する,えいきょうする,"to affect, influence, impact, have an effect"
考えられて,かんがえられて,to be considered
