Words,Reading,Meaning
あちらのほう,achira no hou,that direction over there
あちら,achira,over there
あげなさい,agenasai,lift up (command)
あっけにとられて,akke ni torarete,taken aback; dumbfounded; caught off-guard
雨が降っても,ame ga futtemo,even when it rains
雨が降りました,ame ga furimashit,it rained
雨が降ると,ame ga furu to,when it rains
雨の日には,ame no hi ni wa,as for on rainy days
雨,ame,rain
あなた様,anata sama,you (polite)
あんなもの,anna mono,such a thing [あんな (such) is used for far away things]
あの傘,ano kasa,that umbrella
現れました,arawaremashita,appeared
ありませんでした,arimasen deshita,wasn’t; didn’t (open)
ありません,arimasen,wasn’t (a demand to pay the bill)
あること,aru koto,something
あるところに,aru tokoro ni,in a certain place [theある adds uncertainty or generalization
ある春,aru haru,one spring
遊び相手,asobi aite,playmate
遊んでばかり,asonde bakari,all (he did was) play [～ばかり nothing but]
与えた,ataeta,gave; bestowed
後の子供,ato no kodomo,the other children [the ato here means “other” and not “later”]
あと,ato,after
びっくり,bikkuri,surprised
貧乏くじ,binbou kuji,a losing lottery ticket; the short straw
知恵,chie,wisdom
ちょっと,chotto,"a little “[here,” this versatile word is used to soften the request.]"
だ,da,copula; plain form ofです
大繁盛,dai hanjou,great prosperity; (selling) very well
だまされたと知った天狗,damasareta to shitta tengu,Goblin who understood he was tricked
だまされた,damasareta,duped; tricked
だました,damashita,tricked
だめです,dame desu,that won’t do
だれもいない,dare mo inai,no one around
誰にも,dare ni mo,to no one; nobody
で,de,and [shows a relationship between the two phrases]
出かける支度,dekakeru shitaku,preparations for leaving
でも,demo,but; however
でも,demo,even (the retainers)
で,de,particle used to indicate cause and effect
でしょう,deshou,wouldn’t I?; don’t you agree?
ですから,desu kara,therefore
でた～,deta,appeared
ではありませんか,dewa arimasen ka,wasn’t it?
ではありませんでした,dewa arimasen deshita,wasn’t [notice theは is the particle and therefore pronounced wa]
ではなかったか,dewa nakatta ka,wasn’t it?
どこに,doko ni,where to
どこにも,doko ni mo,"no where; “wherever,” there wasn’t [used with a negative verb at the end]"
どんな～でも,donna ~ demo,no matter how… (Difficult)
どんな難しい問題でも,donna muzukashii mondai demo,no matter how difficult the problem (he still solved it)
どの子,dono ko,which child
どの子も,dono ko mo,each and every child
どれ,dore,well
どうでしょう,doudeshou,what do you think happened?
道具,dougu,instruments; tools
どうじゃ,douja,"well, then"
どうせ,douse,at any rate; in any case
どうしても,doushitemo,by all means; at any cost; must have
どうしよう,doushiyou,what should be done?; what to do?
選んで,erande,chose
筆,fude,pen; brush
降りません,furimasen,didn’t fall; didn’t rain
風呂敷,furoshiki,furoshiki; a cloth for carrying things
降ると,furu to,upon falling; when raining (ran falls:雨が降る) [theと adds the “upon” or “when (it rains)”]
二人,futari,two people
ふところ,futokoro,inside the bosom of kimono
がおりました,ga orimashita,there was…
が,ga,but; however
がりました,garimashita,feeling (of regret)
が,ga,subject marker
ごちそうも,gochisou mo,also delicious meals; banquet; festivities
ごみと一緒に,gomi to issho ni,together with the trash
５人もの,gonin mono,five people [the mono shows surprise at a large number]
五人,gonin,five people
ご覧ください,goran kudasai,please look (polite)
ご覧になって,goran ni natte,seeing (the mountains)…
グーグー,gu-gu,slept well; snoring
仰天,gyouten,being amazed; taken aback
裸になって,hadaka ni natte,became naked
裸の彦一,hadaka no hikoichi,a naked Hikoichi
灰を体に,hai wo karada ni,ashes to his body
灰を塗ったところ,hai wo nutta tokoro,part that had spreaded ashes
灰,hai,ashes
入りました,hairimashita,entered [idiomatic use for hearing something; lit
入ると,hairu to,upon entering (the mountain)
入っていない,haitte inai,nothing inside
入っておいで,haitte oide,enter and come here
入ってくる,haitte kuru,entered in
入ってしまいました,haitte shimaimashita,entered completely
入っている,haitteiru,is inside
はい,hai,yes; well…
始めました,hajimemashita,began
始めると,hajimeru to,upon beginning (the cleaning)
運び始めました,hakobi hajimemashita,began to carry
運んでもらう,hakonde morau,I will have (everyone) carry
花見,hanami,(cherry blossom) flower viewing
払います,haraimasu,will pay
晴れると,hareru to,upon becoming sunny
晴れた日,hareta hi,sunny day
日,hi,day
ひいた,hiita,pulled (the short straw)
引き換えに,hikikae ni,in exchange
彦一さん,hikoichi san,Hikoichi (name)
彦一さんに,hikoichi san ni,(ask) to Hikoichi
彦一さんのところに,hikoichi san no tokoro ni,to where Hikoichi was
彦一さんの住んでいる村,hikoichi san no sunde iru machi,the town Hikoichi lived in
