K1,M1,W1,K2,M2,W2,K3,M3,W3,K4,M4,W4,K5,M5,W5
日,"day, sun",日光。日中。当日,一,one,一般。一流。一回,国,country,国境。外国。国産,会,meet,機会。出会う。会計,人,person,人間。個人。他人
年,year,青年。定年。翌年,大,big,大事。大切。大会,十,ten,十分。十日。二十歳,二,two,二階。第二。二枚,本,"book, main, origin",基本。本来。本気
中,"Inside, middle",集中。中心。途中,長,"long, leader",長期。社長。身長,出,"leave, go out",出す。出る。輸出,三,three,再三。第三者。三振,同,same,共同。同じ。同意
時,"time, hour",定時。時機。時差,政,government,政治。政策。財政,事,"thing, matter, fact",事務。事業。事件,自,oneself,自然。自信。自覚,行,"go, carry out",流行。実行。旅行
社,company,会社。社交。社員,見,see,見る。見当。意見,月,"month, moon",正月。先月。月給,分,"part, minute",自分。部分。分類,議,deliberation,会議。論議。議定書
後,"behind, later",後ろ。最後。午後,前,"in front, before",名前。午前。当たり前,民,"people, citizen",国民。農民。庶民,生,life,生産。生活。発生,連,"take along, connect",連れる。関連。連絡
五,five,五分。五感。五日,発,departure,開発。発表。発音,間,"interval, space",狭間。空間。昼間,対,opposite,対応。対策。対象,上,"above, up",上げる。以上。上級
部,"section, part",部屋。全部。部員,東,east,東京。東部。東方,者,"someone, person",医者。患者。役者,党,"party, faction",野党。政党。与党,地,"ground, earth",地球。地元。地図
合,"fit, suit, join",総合。複合。合う,市,"market, city",市場。市民。市長,業,business,営業。工業。職業,内,"inside, within",案内。内側。内科,相,"inter-, mutual",相手。相談。首相
方,"direction, person",地方。仕方。見方,四,four,四つ。四季。四月,定,"fix, establish",特定。安定。確定,今,now,今日。今まで。今朝,回,"times, round",回す。回復。回転
新,new,,場,"location, place",,金,gold,,員,"employee, member",,九,nine,
入,"enter, insert",,選,select,,立,"stand up, erect",,開,"open, unfold",,手,hand,
米,"rice, usa",,力,power,,学,learn,,問,"question, ask",,高,"tall, expensive",
代,"substitute, replace",,明,"bright, light",,実,"truth, reality",,円,"circle, yen",,関,"connection, barrier",
決,decide,,子,child,,動,move,,京,capital,,全,"whole, entire, all",
目,"eye, insight",,表,"surface, table",,戦,"war, battle",,経,"thru, via",,通,"traffic, avenue",
外,outside,,最,most,,言,"say, word",,氏,surname,,現,present,
理,logic,,調,"tune, tone",,体,"body, object",,化,change,,田,rice field,
当,"hit, right",,八,eight,,六,six,,約,promise,,主,"lord, chief",
題,"topic, subject",,下,"below, down",,首,neck,,意,"idea, mind, thought",,法,"method, law",
不,"non-, negative",,来,come,,作,make,,性,"sex, gender",,的,"mark, target",
要,"need, main point",,用,"utilize, use",,制,"system, law, rule",,治,"cure, govt",,度,"degrees, occurence",
務,"task, duties",,強,strong,,気,"mind, mood",,小,"little, small",,七,seven,
成,become,,期,"period, time",,公,"public, official",,持,"hold, have",,野,"plains, field",
協,cooperation,,取,take,,都,"metropolis, all",,和,japanese style,,統,"overall, ruling",
以,by means of,,機,"mechanism, machine",,平,"flat, peace",,総,"general, whole",,加,"add, join",
山,mountain,,思,think,,家,"house, home",,話,"talk, story",,世,"world, society",
受,"accept, receive",,区,"ward, district",,領,jurisdiction,,多,many,,県,prefecture,
続,continue,,進,advance,,正,"correct, justice",,安,"relax, cheap",,設,"establish, provision",
保,"protect, keep",,改,reform,,数,"number, amount",,記,"scribe, account",,院,institution,
女,"woman, female",,初,"first time, beginning",,北,north,,午,noon,,指,"finger, indicate",
権,"authority, rights",,心,heart,,界,"world, boundary",,支,"branch, support",,第,"no., residence",
