Verbs,Reading,Type,Meaning,S1,T1,S2,T2,S3,T3,Words
比べる,くらべる,ichidan-trans.,"to compare, make a comparison, compete, vie",日本語の発音は英語に比べればやさしい。,The pronunciation of Japanese is rather easy compared to that of English.,去年に比べて今年は収穫量が少ない。,The harvest totals are relatively meager compared with last year.,ロンドンはパリに比べると大きい。,"When compared to Paris, London is large.",較べる。競べる
生きる,いきる,ichidan-trans.,"to live, exist, make a living, be in effect, be in use, function, come to life",この肖像画はまるで生きているようだ。,This portrait looks as if it were alive.,この法律は生きている。,This law is still in effect.,彼女はお花の先生をして生きている。,She earns her living by teaching flower arrangement.,
抑える,おさえる,ichidan-trans.,"to keep, within limits, restrain, control, curb, hold in check, hold back, suppress",輸出を抑える。,Restrict exports.,これは胃酸の分泌を抑える薬です。,This is a drug that suppresses the secretion of stomach acid.,お客様の立場に立って値段を抑えてあります。,We keep our prices low from the customer's point of view.,
分ける,わける,ichidan-trans.,"to divide, split, part, separate, share, distribute, break up, distinguish, differentiate",費用を半分ずつに分ける。,Split the cost in half.,衣類を夏物と冬物に分ける。,Separate clothing into summer and winter,仕事と遊びはきっちり分けて考えている。,I make a clear distinction between work and play.,別ける
離れる,はなれる,ichidan-intrans.,"to be separated, be apart, be distant, leave, go away, quit, give up, drift away",親から離れて暮らす。,Live away from parents.,大学を離れて企業で研究する。,Leaving the university to do research in a company.,家が 2 軒離れて建っている。,Two houses are built two houses apart.,
踏まえる,ふまえる,ichidan-trans.,"to be based on, take into account, build upon, have origin in, firmly planted on",経験を踏まえた助言。,Advice based on experience.,事実を踏まえた考察。,Consideration based on facts.,過去のデータを踏まえて予測する。,Forecasting based on historical data,
応じる,おうじる,ichidan-intrans.,"to respond, satisfy, accept, comply with, apply for",呼びかけに応じてにっこり笑う。,Smile in response to a call.,申し入れに快く応じる。,Accept a proposal with pleasure.,私は喜んで彼女の招待に応じた。,I gladly accepted her invitation.,
努める,つとめる,ichidan-trans.,"to endeavour, try, strive, make an effort, exert oneself, be diligent, be committed",妻としての務めを果たそうと努めた。,She endeavored to do her duty as a wife.,会社の発展に努める。,Make an effort to expand the company.,国は社会福祉の向上に努めなければならない。,The State must strive to improve social welfare,勉める。力める
控える,ひかえる,ichidan-trans.-intrans.,"to be temperate in, refrain, abstain, hold back, restrain, be prepare for, wait for, be in close relationship",車内での通話はお控えください。,Please refrain from talking on the phone in the train.,双方の言い分を聞くまで判断を控えます。,I'll reserve judgment until I hear both sides of the story.,彼の後ろに看護師が控えていた。,He had a nurse standing behind him.,扣える
終える,おえる,ichidan-trans.,"to finish, graduate",大学の課程を終える。,Finish the university course.,その日の日程を終える。,Finish the day's itinerary.,首脳会談はその 3 日間の日程を無事に終えた。,The summit successfully completed its three-day schedule.,了える。卒える
