K1,M1,K2,M2,K3,M3,K4,M4,K5,M5,K6,M6,K7,M7,K8,M8
一,one,音,sound,学,study,金,gold,五,five,山,mountain,耳,ear,出,exit
右,right,下,below,気,spirit,空,empty,口,mouth,子,child,七,seven,女,woman
雨,rain,火,fire,九,nine,月,"moon, month",校,exam,四,four,車,car,小,little
円,"circle, yen",花,flower,休,rest,犬,dog,左,left,糸,thread,手,hand,上,above
王,king,貝,shellfish,玉,jewel,見,see,三,three,字,character,十,ten,森,forest
人,person,夕,evening,先,before,大,large,町,town,日,"day, sun",百,hundred,目,eye
水,water,石,stone,早,early,男,man,天,heavens,入,enter,文,sentence,立,stand up
正,correct,赤,red,草,grass,竹,bamboo,田,rice field,年,year,木,tree,力,power
生,life,千,thousand,足,leg,中,in,土,earth,白,white,本,book,林,grove
青,blue,川,stream,村,village,虫,insect,二,two,八,eight,名,name,六,six
引,pull,何,what,画,brush stroke,外,outside,丸,round,帰,homecoming,強,strong,計,plot
羽,feathers,科,department,回,-times,角,angle,岩,boulder,弓,bow,教,teach,元,beginning
雲,cloud,夏,summer,会,meeting,楽,music,顔,face,牛,cow,近,near,言,say
園,park,家,house,海,sea,活,lively,汽,vapor,魚,fish,兄,elder brother,原,meadow
遠,distant,歌,song,絵,picture,間,interval,記,scribe,京,capital,形,shape,戸,door
