K1,M1,S1,W1,K2,M2,S2,W2,K3,M3,S3,W3,K4,M4,S4,W4,K5,M5,S5,W5,K6,M6,S6,W6,K7,M7,S7,W7,K8,M8,S8,W8
一,one,"ICHI, ITSU",一致。一応,音,sound,"ON, IN",音楽。音質,学,study,GAKU,学習。学術,金,gold,"KIN, KON",金属。料金,五,five,GO,五月。五輪,山,mountain,SAN,山脈。山腹,耳,ear,JI,耳順。耳目,出,exit,"SHUTSU, SUI",出演。出納
右,right,"U, YUU",右折。右方,下,below,"KA, GE",下線。下宿,気,spirit,"KI, KE",気候。気配,空,empty,KUU,空港。空想,口,mouth,KOU,口実。口述,子,child,SHI,子宮。帽子,七,seven,SHICHI,七月。七時,女,woman,"JO, NYO, NYOU",女性。女房
雨,rain,U,雨天。雨季,火,fire,KA,火災。火事,九,nine,"KYUU, KU",九州。九月,月,"moon, month","GETSU, GATSU",月末。四月,校,exam,"KOU, KYOU",校長。校庭,四,four,SHI,四季。四角,車,car,SHA,車庫。車掌,小,little,SHOU,小説。小数
円,"circle, yen",EN,円満。円滑,花,flower,KA,花瓶。花壇,休,rest,kYUU,休暇。休憩,犬,dog,KEN,猟犬。愛犬,左,left,"SA, SHA",左右。左折,糸,thread,SHI,糸雨。糸状,手,hand,SHU,握手。拍手,上,above,JOU,上手。上達
王,king,OU,王様。王室,貝,shellfish,BAI,貝貨。貝葉,玉,jewel,GYOKU,玉酒。玉瑛,見,see,KEN,発見。見物,三,three,SAN,三振。三枚,字,character,JI,文字。数字,十,ten,JUU,十分。十字,森,forest,SHIN,森林。森々
人,person,"JIN, NIN",人格。人気,夕,evening,SEKI,一夕。日夕,先,before,SEN,先生。先着,大,large,"DAI, TAI",大変。大学,町,town,CHOU,町民。町内,日,"day, sun","JITSU, NICHI",定日。毎日,百,hundred,HYAKU,百難。百姓,目,eye,"MOKU, BOKU",目的。目標
水,water,SUI,香水。水圧,石,stone,"SEKI, SHAKU, KOKU",岩石。石鹸,早,early,"SOU, SA",早急。 早速,男,man,"DAN, NAN",男女。長男,天,heavens,TEN,天気。天才,入,enter,"NYUU, JU",収入。入浴,文,sentence,"BUN, MON",文化。文句,立,stand up,"RITSU, RYUU",独立。中立
正,correct,"SEI, SHOU",正解。正直,赤,red,"SEKI, SHAKU",赤道。赤面,草,grass,SOU,草原。草案,竹,bamboo,CHIKU,爆竹。竹林,田,rice field,DEN,田園。油田,年,year,NEN,年間。年齢,木,tree,"MOKU, BOKU",木材。木造,力,power,"RYOKU, RIKI",電力。力学
生,life,"SEI, SHOU",生活。一生,千,thousand,SEN,千里。千鈞,足,leg,SOKU,足趾。足浴,中,in,CHUU,中心。中止,土,earth,"DO, TO",土地。土台,白,white,"HAKU, JAKU",告白。白状,本,book,HON,本棚。本能,林,grove,RIN,林立。林道
青,blue,"SEI, SHOU",青年。青春,川,stream,SEN,河川。山川,村,village,SON,村民。村長,虫,insect,"CHUU, KI",昆虫。害虫,二,two,"NI, JI",二部。 二階,八,eight,HACHI,八丁。八幡,名,name,"MEI, MYOU",名所。 名声,六,six,ROKU,六月。六十
