Question,A,B,C,D
駅前におしゃれなレストランが【開店】したから、早速行ってみた。,🅰 へいてん,🅱 かいたん,🅲 かいとん,🅳 かいてん
洗濯機が故障したので、選択できなくて、【困り】ました。,🅰 こわり,🅱 こまり,🅲 こめり,🅳 こらり
私はまだ学生だが、兄は大学病院で【医者】として働いている。,🅰 いしゃ,🅱 いちゃ,🅲 いしょ,🅳 いじゃ
【郵便局】の近くに引っ越したので便利です。,🅰 ゆうびんきょく,🅱 ゆびんきょく,🅲 ようべんきょく,🅳 よべんきょく
荷物が届きましたが、それは私が注文したのと＿＿。,🅰 ちがかったです,🅱 まちがったです,🅲 ちがっていました,🅳 まちがえていました
子供のころ、この公園で遊んだ＿＿。,🅰 ことか,🅱 ことだ,🅲 ものか,🅳 ものだ
初めまして。リンと【もうします】。,🅰 由します,🅱 曲します,🅲 申します,🅳 直します
夫とは大学のとき＿＿、卒業後すぐに結婚した。,🅰 出会って,🅱 出会して,🅲 出会で,🅳 出会にして
ゲムを＿＿ばかりいないで、自然に親しんだらどうですか。,🅰 し,🅱 して,🅲 した,🅳 する
財布が落ちていたので、交番に【届けた】。,🅰 つづけた,🅱 あずけた,🅲 とどけた,🅳 ほどけた
うそを＿＿はいけません。,🅰 ひいて,🅱 とって,🅲 うつして,🅳 ついて
＿＿ありがとう。,🅰 手伝って,🅱 手伝う,🅲 手伝ったのは,🅳 手伝ってくれて
