W1,W2,W3,W4,W5
切開,日光。日中。当日,切る,国民。農民。庶民,踏切
比例,青年。定年。翌年,比べる,狭間。空間。昼間,比較的
乗用車,集中。中心。途中,乗客,医者。患者。役者,乗務員
再度,定時。時機。時差,再開 ,営業。工業。職業,再来
復活,会社。社交。社員,復旧,特定。安定。確定,復職
順番,後ろ。最後。午後,順序,金属。現金。金融,順位
収容する,五分。五感。五日,収納,独立。立つ。献立,収穫
一件,部屋。全部。部員,用件,学習。学期。学ぶ,人件費
冷気,総合。複合。合う,冷水,事実。現実。実際,冷房
価値,地方。仕方。見方,数値,行動。行動。動く,絶対値
修養する,新鮮。新た。新築,修了,機会。出会う。会計,修行
意味,入学。収入。入る,注意,二階。第二。二枚,意志
検討,玄米。米国。米価,討つ,再三。第三者。三振,討論
訓練,代理。代わり。時代,教訓,自然。自信。自覚,特訓
訂正,解決。決める。決定,訂す,自分。部分。分類,改訂
記録,目的。目標。注目,記す,生産。生活。発生,記憶
免許,郊外。外交。海外,許す,対応。対策。対象,許可
変化,料理。理解。調理,変わる,野党。政党。与党,変更
着替え,弁当。適当。相当,替わる,案内。内側。内科,為替
代表,宿題。議題。放題,代わり,今日。今まで。今朝,現代
乗り換え,一般。一流。一回,換える,職員。店員。員数,交換
相続,大事。大切。大会,相手,開く。開始。開発,首相
相互,長期。社長。身長,お互い,訪問。疑問。問う,交互
改札,政治。政策。財政,名札,円満。円滑。円柱,荷札
定期券,見る。見当。意見,回数券,上京。京都。東京,旅券
投票,名前。午前。当たり前,伝票,人間。個人。他人,開票
切符,開発。発表。発音,終止符,基本。本来。本気,符号
漁業,東京。東部。東方,漁法,共同。同じ。同意,漁場
魚介類,市場。市民。市長,魚屋,流行。実行。旅行,熱帯魚
愛犬,四つ。四季。四月,子犬,会議。論議。議定書,猟犬
莫大,工場。広場。場所,大通り,連れる。関連。連絡,大使
兵士,選択。選ぶ。選別,同士,上げる。以上。上級,博士
土地,電力。体力。魅力,風土,地球。地元。地図,土産
仕事,説明。証明。透明,仕様,相手。相談。首相,奉仕
日給,子供。帽子。椅子,本日,回す。回復。回転,日の出
白い,国境。外国。国産,面白い,九つ。九州。九重,真っ白
百貨店,十分。十日。二十歳,何百,手袋。握手。拍手,八百屋
疑問,出す。出る。輸出,疑う,高い。高校。最高,疑惑
模擬,事務。事業。事件,擬態,玄関。関係。税関,模擬店
凝固,正月。先月。月給,凝る,全然。完全。全体,凝った
