Kanji,Meaning,W1,R1,M1,W2,R2,M2,W3,R3,M3
人,person、man,人,ひと,person,日本人,にほんじん,Japanese,人間,にんげん,human being
一,one,一,いち,one,一つ,ひとつ,one,一人,ひとり,one person
日,day,日,ひ、にち,day,一日,いちにち,"one day, all day long",今日,きょう,today
大,big、large,大きい,おおきい,big,大学,だいがく,university,大切,たいせつ,important
年,year,年,とし,year,今年,ことし,this year,毎年,まいとし,every year
出,take out、go　out,出る,でる,"to leave, exit",出す,だす,"to take out, put out, submit",出口,でぐち,exit
本,book、main、origin、this,本,ほん,book,本日,ほんじつ,today,本棚,ほんだな,bookshelves
中,book、main、origin、this,日本中,にほんじゅう,all over Japan,中央,ちゅうおう,center,途中,とちゅう,"en route, on the way"
子,child、sign,子供,こども,child,女の子,おんあのこ,girl,男の子,おとこのこ,boy
見,see、show、visible,見る,みる,to see,意見,いけん,"opinion, view",見せる,みせる,to show
国,country,国,くに,country,外国,がいこく,foreign country,国民,こくみん,citizen
上,top、upper、rise、raise,上,ue,"up, above",上がる,あがる,"to rise, to come up",上げる,あげる,"to raise, elevate"
分,portion、minute、divide、understand,分かる,わかる,to understand,分ける,わける,"to devide, to split",気分,きぶん,"feeling, mood"
生,life、live、birth、born、raw、pure,生,なま,"raw, fresh",生きる,いきる,"to live, to exist",生まれる,うまれる,to be born
行,go、perform、carry out,行く,いく,to go,旅行する,りょこうする,travel,飛行機,ひこうき,airplane
二,two,二,に,two,二つ,ふたつ,two,二人,ふたり,two person
間,space、interval、between,間,あいだ,between,時間,じかん,time、hour,昼間,ひるま,daytime
時,time、hour,一時,いちじ,"one o’clock, for a time",日時,にちじ,date and time,時計,とけい,clock、watch
気,spirit、soul、mood,気,き,"spirit, mind, heart",元気,げんき,"lively, full of spirit",病気,びょうき,illness
十,ten,十,じゅう,ten,十分,じゅうぶん,enough,十日,とおか,"10th day of the month, 10 days"
女,woman、feminine,女,おんあ,"female, women",女性,じょせい,"women, female",少女,しょうじょ,little girl
三,three,三,さん,three,三人,さんにん,three people,三つ,みっつ,three
前,before、in front of、earlier,前,まえ,"before, in front of",以前,いぜん,"ago, previously",名前,なまえ,name
入,put in、get in、enter,入る,はいる,"to enter, to contain",入れる,いれる,"to put in, to let in",入学,にゅうがく,entry to school
小,little、small,小さい,ちいさい,"small, little, tiny",小説,しょうせつ,"novel, short story",小学校,しょうがっこう,primary school
後,after、later、behind、back,後,あと,"behind, rear, later, after",後ろ,うしろ,"back, behind, rear",午後,ごご,"afternoon, p.m."
長,long、chief (head),長い,ながい,long,校長,こうちょう,"principal, headmaster",社長,しゃちょう,company president
下,lower、below、down、get off、give,下,した,"below, down, under",下さい,ください,please,下がる,さがる,"come down, go down, hang"
学,learn、study,学ぶ,まなぶ,to study,学校,がっこう,school,大学,だいがく,"university, college"
月,month、moon,月,つき,moon,今月,こんげつ,this month,来月,らいげつ,next month
何,what,何,なに,what,何も,なにも,(not) anything,何で,なんで,"why, what for, how"
来,come、bring about,来る,くる,come,将来,しょうらい,"future, prospect",以来,いらい,"since, henceforth"
話,speak、talk、conversation,話す,はなす,"to talk, speak, tell, converse",会話,かいわ,conversation,話し合う,はなしあう,"to discuss, to talk"
山,mountain,山,やま,mountain,火山,かざん,volcano,登山,とざん,mountain climbing
高,"tall, high, expensive",高い,たかい,"tall, expensive",高校,こうこう,senior high school,最高,さいこう,"most, highest"
今,now,今,いま,now,今朝,けさ,this morning,今回,こんかい,"this time, now"
書,write,書く,かく,to write,読書,どくしょ,reading (books),図書館,としょかん,library
五,five,五,ご,five,五つ,いつつ,five,五日,いつか,"5th day of the month, 5 days"
名,"name, reputation",名所,めいしょ,famous place,名物,めいぶつ,famous product,有名,ゆうめい,"famous, fame"
金,"gold, metal, money",金曜日,きにょうび,Friday,現金,げんきん,cash,代金,だいきん,"price, cost, charge"
男,man,男,おとこ,"man, male",男の人,おとこのひと,man,男性,だんせい,"man, male"
外,outside,外,そと,outside,海外,かいがい,"foreign, abroad",外出,がいしゅつ,"going out, leaving (home)"
四,four,四,し・よん,four,四つ,よっつ,four,四人,よにん,four person
先,earlier、ahead、before,先,さき,"point, tip, first, before",先輩,せんぱい,"senior, superior",先生,せんせい,teacher
川,river,川,かわ,river,小川 ,おがわ ,"stream, brook, creek ",川瀬,かわせ,rapids
東,east,東,ひがし,east,東京 ,とうきょう,Tokyo,東側 ,ひがしがわ,east side
聞,"hear, listen, ask",聞く,きく,"to hear, to ask, to listen",聞こえる,きこえる,"to be heard, to be audible ",新聞 ,しんぶん,newspaper
語 ,language,語 ,ご,language,英語 ,えいご,English,語る,かたる,"to talk about, to speak of"
九,nine,九,きゅう,nine,九つ,ここのつ,nine ,九日 ,ここのか,"9th day of the month, 9 days"
食,"food, eat",食事,しょくじ,meal,食堂,しょくどう ,"dining room, dining hall",食べる,たべる,to eat
八,eight,八,はち,eight,八つ,やっつ,eight,八人,はちにん,eight people
水,water,水,みず,water,水泳 ,すいえい ,swimming ,水道 ,すいどう ,water supply
天,"heavens, sky",天気 ,てんき,weather,天才 ,てんさい ,"genius, prodigy",天候,てんこう ,weather
木,tree,木,き,tree,木曜日,もくようび ,Thursday ,並木,なみき ,roadside tree
六,six,六,ろく,six,六つ,むっつ,six,六日,むいか ,"6th day of the month, 6 days"
万,"ten thousand, many",一万円,いちまんえん,ten thousand yen,万能 ,ばんのう,"all-purpose, utility",万人,ばんにん ,"all people, everybody "
白,white​,白い,しろい,white​,告白,こくはく,"confession, acknowledgement",真っ白 ,まっしろ,pure white
七,seven,七,しち・なな,seven,七つ,ななつ,seven,七人,しちにん,seven people
円,"yen, circle",円,えん,"yen, circle",円高,えんだか ,appreciation of the yen,円柱,えんちゅう ,"column, shaft"
電,electricity,電話,でんわ,telephone call,電車,でんしゃ,"train, electric train",電気,でんき,electricity
父,father,父,ちち,father,父親,ちちおや,father,祖父,そふ,grandfather
北,north,北,きた,north,北海道,ほっかいどう,Hokkaido,北口,きたぐち,north entrance 
車,"car, vehicle",車,くるま,car,列車,れっしゃ ,"train, railway train",駐車場,ちゅうしゃじょう ,parking lot
母,mother,母,はは,mother,母親 ,ははおや,mother,祖母,そぼ,grandmother
半,half,半分,はんぶん ,half,半島,はんとう,peninsula,半径,はんけい,radius
百,hundred,百,ひゃく,hundred,数百,すうひゃく,several hundreds ,百均,ひゃっきん,hundred-yen store
土,"earth, ground, soil",土,つち,"earth, soil, dirt, clay",土地,とち,"plot of land, lot",土台,どだい ,"foundation, base, basis "
西,west,西,にし,west,関西,かんさい,Kansai region,西側,にしがわ,west side
読,read,読む,よむ,to read,解読,かいどく,"deciphering, decoding ",秒読み,びょうよみ,countdown
千,thousand,八千,はっせん,eight thousand,千倍,せんばい,thousand-fold,千円札,せんえんさつ ,one thousand yen bill
校,school,学校,がっこう,school,校舎,こうしゃ,school building,高校生,こうこうせい,senior high school student 
右,right,右,みぎ,right,左右,さゆう,left and right,右手,みぎて,right hand
南,south,南,みなみ,south,南口,みなみぐち,south exit,南側,みなみがわ,south side
左,left,左,ひだり,left,左手,ひだりて,left hand,左折,させつ,turning to the left
友,friend,友人,ゆうじん,friend,友達,ともだち,"friend, companion",旧友,きゅうゆう,old friend
