Sentence,Meaning
今日はすばらしい日でした。,It was a nice day today.
今日天気は良かったです。,The weather was nice today.
まあまあ良い天気でした。,We had a fairly nice day.
今日は実に良い天気でした。,It was truly a nice day today.
天気は１週間ずっと良いはずです。,The weather should be nice all week.
今週末は天気が良くなります。,There is good weather coming this weekend.
今日の朝は、良い天気でした。,It was fine in the morning today.
明日天気になればいいな。,I hope it’s fine tomorrow.
素晴らしい天気でした。,It was a beautiful day.
すばらしい快晴でした。,It was a beautiful sunny day.
今日は一日中、晴れ渡っていました。,It was sunny all day today.
今日は穏やかな日でした。,It was a calm day today.
外はすばらしい天気でした。,It was lovely weather outside.
今日はゴージャスな天気です。,It’s gorgeous today.
今朝は素晴らしい天気でした。,The weather was gorgeous this morning.
今日はとても気持ちのよい天気でした。,The weather was comfortable today.
最近の天気は、とても心地良いです。,The weather is really pleasant these days.
今日は晴れ渡った日でした。,It was a clear day today.
すぐに晴れるでしょう。,It will clear up soon.
雲ひとつありません。,Not a cloud in the sky.
青い空には、雲一つありませんでした。,There was not a cloud in the blue sky.
空には雲ひとつない快晴でした。,It was a beautiful sunny day without a cloud in the sky.
晴天は土曜日まで続くでしょう。,The sunny weather will continue until Saturday.
始めは曇っていましたが、昼下がりまでに晴れました。,"The day started out cloudy, but cleared by early afternoon."
晴れた日に散歩をするほど嬉しいことはないです。,Nothing is more fun than taking a walk on a fine day.
一日中曇りでした。,It was cloudy all day.
今日は薄曇りでした。,It was a bit cloudy today.
曇ってきました,It's getting cloudy.
今日はすごく曇っています。,It's really cloudy today.
最近はずっと曇りです。,It has been cloudy lately.
今朝の天気は曇りでした。,The weather was cloudy this morning.
この一週間は曇りです。,We have had a cloudy week.
曇っていて、それから後で雨になりました。,"It was cloudy, and then it rained later on."
今日は曇っていて、とてもじめじめしていました。,It was cloudy and very damp today.
この数日ずっと曇っています。,It's been cloudy for the past few days.
今日はどんより曇っていました。,It was dull today.
外はとても暗かったです。,It was very dark outside.
天気はどんよりしていました。,The weather was overcast.
空はどんより雲が出てきました。,The sky was getting overcast.
空一面曇ってくるでしょう。,We are going to have an overcast day.
今日は薄暗くてうっとうしい日でした。,It was a gloomy day today.
うっとうしい天気が延々と続きます。,The gloomy weather goes on and on.
昨日は、うっとうしいお天気でした。,The weather was gloomy yesterday.
明日はどんよりとした日になるのでしょう。,We are going to have a gloomy day tomorrow.
どうぞお入りください。,Please come in.
当店のご利用は初めてですか？,Is this your first time here?
何かお伺いしましょうか？,May I ask you something?
見るだけでもどうぞ。,Please feel free to look around.
かしこまりました。,Certainly.
ご案内します。,Could you follow me?
こちらです。,This way.
すぐにお持ちします。,I’ll get it right away.
確認いたします。,Let me check.
少々お待ちください。,"Just a minute, please."
彼女は新しい社長になった。,She became the new president.
それを聞いてびっくりしたよ。,I was very surprised to hear that.
彼女は次の社長になった。,She became the next president.
誰も予想もしてなかった。,Nobody expected it.
彼が社長になるとは思ってなかったよ。,I didn't think he would be the president.
彼は元気じゃない。でも元気なようにふるまっているね。,He is not fine. But he acts like he is.
彼は大丈夫なふりをしている、でも大丈夫じゃないよ。,"He pretends like he's okay, but he's not.”"
彼はハッピーじゃない。でもみんなにはそう思ってほしいみたいだ。,He isn't happy. But he wants everyone to think he is.
このアイディアよりもっといいものができるよ。,We can do better than these ideas. 
それはまったく新しくないよ。,They are not new at all.
よりよいアイディアが必要だ!,We need better ideas!
君ならより良くできるよ。,You can do better than that.
身支度を整える。,I get myself dressed.
寝ぼける。,She is still half asleep.
二度寝する。,She goes back to sleep.
自分でアラームを止める。,She turns off the alarm by herself.
一人で起きる。,She wakes up by herself.
寝冷えする。,She caught a chill during her sleep.
私のルームメートはよく一晩中電気スタンドをつけっぱなしにする。,My roommate often leaves the table lamp on all night long. 
私は目覚まし時計が鳴ったのに気が付かなかった。,I didn’t know the alarm clock went off. 
姉さんは機嫌がよくないみたい。きっと寝起きが悪かったんだろう。,My sister doesn’t seem happy. She must have gotten out on the wrong side of the bed. 
ベッドから出る前に伸びをしてあくびをしたけど、まだ眠かった。,"I stretched and yawned before getting out of bed, but I still felt sleepy. "
私は眠い目をこすりながら窓の外を見た。,"I looked out the window, rubbing my sleepy eyes. "
