Time,Sentences,Translation
8s,今日は豆乳味噌鍋の作り方をご紹介します。,Today I will show you how to make soy milk miso nabe.
13s,味噌を使った料理をリクエストしてもらいました。,I was asked to request a dish that uses miso.
16s,味噌は発酵した調味料です。,Miso is a fermented seasoning.
21s,そして、それは日本人にとって不可欠な成分であり、私たちはほとんど毎日それを食べます。,And it is an essential ingredient for the Japanese; we eat it almost every day.
27s,この豆乳味噌鍋は私たちのお気に入りの鍋です。,This Soy Milk Miso Hot Pot is one of our favorites.
32s,そして、私はしばしば冬の間にそれを作ります。,And I often make it during the winter months.
36s,簡単でヘルシーで美味しい鍋。,"Easy, healthy and delicious hot pot."
40s,是非、作ってみてください。,Please try to make it.
41s,では、始めましょう！,So let's get started!
52s,今日使うのはこの普通のお味噌で,I'll use this regular miso today.
55s,白味噌や赤味噌も使えます。,You can also use white miso or red miso.
59s,白味噌は甘みがあるので、砂糖を抜いてもらったり,"The white miso has a sweet taste, so you can have the sugar removed."
1:04,赤味噌は風味が強いので、量を加減してもらったり,"Aka miso has a strong flavor, so you can adjust the amount."
1:12,おだしは、昆布だけでもいいし、だしの素でもいいし,"For dashi, you can use only kombu seaweed or dashi no moto."
1:18,和風のものが見つからない場合は、鶏がらスープでもいいです,"If you can't find something Japanese, you can use chicken broth."
1:22,今日は鶏肉からおだしがでるので、鰹節のだしを使っていきます。,"Today, I will use dried bonito flakes because the chicken provides the broth."
1:31,昆布がある場合は、昆布も追加します。今日は使わないけど。,"If you have kombu, add kombu as well. I won't use it today."
1:39,鍋に水を入れます。,Fill the pot with water.
1:45,旬の食材を切り取ってテーブルに出すだけなので、鍋はとても簡単です。,Nabe is very easy because all you have to do is cut out the seasonal ingredients and serve them at the table.
1:51,冬は鍋ばっかり食べてる,I eat nothing but nabe in the winter.
1:55,めちゃくちゃ簡単,It's so easy.
1:56,沸騰させてる間に、肉団子の種をつくります,"While it's boiling, I make the seeds for the meatballs."
2:00,鶏ひき肉と塩。,Minced chicken and salt.
2:02,私はよく鶏ミンチを使いますが、どんな肉でもかまいません。,"I often use minced chicken, but any meat will do."
2:10,このなかに、しょうがをたっぷりおろして入れます。,Add plenty of grated ginger to the mixture.
2:13,ひとかけ半ぐらい,About a teaspoon and a half.
2:18,"""こっちにいれて""　いれるよ～","""Put it in here."" I'll put it in."
2:21,"""頑張れ。""ありがとう(笑)","""Good luck."" Thank you."
2:23,入れてくれる？,Can you put it in?
2:26,たっぷりの生姜が肉のにおいを取り除きます。,The generous amount of ginger removes the smell of the meat.
2:29,そして、鍋全体に風味を加えます。,And it adds flavor to the whole pot.
2:31,「まぜてくるから」（まぜるね）,I'll go mix it up.
2:33,卵も入れようか？,Shall I add an egg too?
2:41,卵を割る。,Crack an egg.
2:48,卵も入れます,I'll add the egg too.
2:55,混ぜてください。,Mix it in.
2:56,よく混ぜます。,Mix it well.
3:02,「お団子作って」,"""Make dumplings."""
3:03,お団子、できそうでしょ,I think we can make dumplings.
3:05,片栗粉も入れましょう。 「かたくりこもここにいれるの」,"Let's add potato starch. Put the starch in here, too."
3:10,つなぎにね,For the binding.
3:11,片栗粉大さじ1。,One tablespoon of potato starch.
