Time,Subtitle,T1,T2
1s,（もこみち）皆さん おはようございます,Good morning everyone!,"（Good morning, everyone."
2s,速水(はやみ)もこみちです さあ…,I'm Mokomichi Hayami. Now…,I'm Mokomichi Hayami. Let's see...
5s,今日は どんなメールが 来てるのでしょうか？,I'm curious about the emails for today.,I wonder what kind of mail I'll get today?
13s,女子会かぁ…,"Oh, a girls-only gathering…",A girls' night out?
17s,（スタッフの笑い声）,I wonder what they talk about.,(Staff laughs)
19s,女子会ということで⸺,"For a girls-only gathering,",Since it's a girls' night out...
20s,ヘルシーで かわいい 新感覚な⸺,we can make a cold side dish,How about a new kind of healthy and cute cold snack?
23s,冷製おつまみなんて どうでしょう？,which looks cute and has a new feeling.,How about a chilled snack?
25s,（ナレーター）今日 作りたくなる 簡単レシピを紹介！,Introducing the easy recipe that you'll want to cook today.,（Here's a simple recipe you'll want to make today!
31s,女の子が喜びそうな この鶏もも　これを…,Let's go with this chicken thigh that the girls would probably like.,The girls will love these chicken thighs.
36s,（ナレーター） 鶏もも肉は⸺ まず３等分したら⸺,"First, divide the chicken thighs into three equal parts,","（First, cut the chicken thighs into thirds."
39s,筋を切り 開いていきます,then cut the muscles and open them.,Then cut the muscle and open it up.
42s,（もこみち） 焼く前に⸺ こういうフォークを 用意します,"Before grilling them, I'll use a fork like this.","（Before grilling, prepare a fork like this."
45s,これを…,I will…,Take this...
47s,刺していきます,PRICKING THE CHICKEN MAKES IT EASIER TO COOK THOROUGHLY …stab it like this.,Stick it in.
48s,こうすることによって フライパンに 移したときに⸺,"When you do this, the heat will spread better","By doing this, when you transfer it to the frying pan..."
52s,火通りが よくなります,when you put it into the frying pan.,"This way, when you transfer it to the frying pan, it will cook more quickly."
56s,ここら辺の周りが⸺,"When these parts turn into a whitish color,",Around here...
57s,ちょっと こう白くなってきたら ひっくり返すタイミングです,"When these parts turn into a whitish color, it's time to turn them over.","When it turns a little white, it's time to turn it over."
1:02,ほら！,See?,Look!
1:03,（ナレーター）いい色！,Nice color!,（Nice color!
1:05,両面が 香ばしく焼けたら⸺,"When two sides grill nicely and you can smell it,",When both sides are fragrantly browned.
1:07,ねぎと しょうがを 加えます,it's time to add the green onions and ginger.,Add green onions and ginger.
1:09,まさかの梅干し！,"We have a surprise ingredient, it's umeboshi.","No way, pickled plums!"
1:11,（ナレーター）なんと 梅干しをフライパンへ！,"Surprisingly, he adds umeboshi to the frying pan.",（Put the pickled plums in the pan.
1:14,そして コンソメスープを⸺ 加えます,And he adds consomme soup.,Then add the consommé soup.
1:16,（もこみち） ちょっとヒタヒタに⸺ なるぐらいまで 入れましょう,Add just enough to cover the ingredients.,（Then add the consommé broth until it's a little thick.
1:20,（ナレーター）更に 酒 しょうゆを入れ⸺,"In addition, add sake and soy sauce to adjust the taste,",（Add more sake and soy sauce.
1:22,味を調えたら そこへ落としぶた,"In addition, add sake and soy sauce to adjust the taste, and then put a drop-lid on it.","Season to taste, then add the drop lid."
1:26,落としぶたは⸺ アルミホイルで 簡単に作れます,A drop lid can be easily made with aluminum foil.,The lid can be easily made with aluminum foil.
1:30,（もこみち）これで 15分から20分 煮詰めましょう,Now let's boil it for 15 to 20 minutes.,（Let's boil it down for 15 to 20 minutes.
1:35,見てください,Now look.,Look at that.
1:40,柔らかくなってきました そしたら…,It became softer. Now…,It's getting soft. Then...
1:43,（ナレーター）鶏もも肉が 柔らかくなったら⸺,"When the chicken thighs are tender,",（When the chicken thighs are tender...
1:46,バットに取り出し ねぎと しょうがは取り除きます,take them out onto a tray and remove the green onions and ginger.,Take it out and remove the green onions and ginger.
1:50,（もこみち）この梅干し これを崩して,Mash the umeboshi now.,（Break up these pickled plums.
