Words,Meaning,Sentences,Translation
役者,"actor, actress",この役者のことはいままで聞いたことがない。,I've never heard of this actor.
データ,"data, datum",天気の予報は過去のデータに基づいて行われる。,"The weather is forecast, using the past data as a basis."
素人,"amateur, layman, ordinary person, novice",彼はしろうとの庭師だが、彼の育てる花は美しい。,"He is an amateur gardener, but his flowers are beautiful."
蝶,butterfly,少女たちはさながら蝶のように軽やかに踊っていた。,The girls were dancing lightly like so many butterflies.
革命,revolution,革命は新たな時代をもたらした。,The revolution brought in a new era.
洞窟,"cavern, cave, cave system, grotto",私たちはそのまま洞窟の口にボートで突っ込んで行きました。,We plunged into the cave opening on our boat and continued on.
ニコニコ,"with a friendly grin, smilingly",写真に写っている人は皆にこにこしている。,Everybody in the picture is smiling.
緑色,"green, emerald green, green color of new foliage, verdure",緑色である事がその種のりんごの特徴なのです。,A green color is a characteristic of that type of apple.
チェック,"check, plaid, checkered, checking, monitoring, looking over",少女は自転車の後部をチェックしている。,The girl is checking out the rear of the bicycle.
湿る,"to become damp, to become moist, to become wet, to lack energy, to be in a slump",太陽と湿った気候が熱帯雨林を作った。,The sun and a damp climate made the tropical rainforest.
雛,"young bird, chick",母鳥が雛に虫を持ってきた。,The mother bird brought worms for her young ones.
渦,"whirlpool, swirl, eddy, vortex, maelstrom",これははく離渦によるものです。,This is due to the separation vortex.
視野,"field of vision, view, one's outlook (e.g. on life), one's horizons",よい映画は人の視野を広げる。,Good movies broaden your horizons.
コース,"course, route, trail, course (of study), program, lane, corse of action",これはパリへの最短コースです。,It's the shortest route to Paris.
粉,"flour, meal, powder, dust",パンは粉と水とイーストから作られる。,"Bread is made from flour, water and yeast."
主任,"person in charge, senior staff, manager, chief, head",主任は部下を意のままに支配している。,The boss controls his men at will.
幸運,"good luck, fortune",勝ち抜いていけるよう幸運を祈るよ。,Best of luck in your tournament.
仕える,"to serve, to work for, to attend",コックは家族に長年仕えた。,The cook served the family for many years.
閃く,"to flash (e.g. lightning), to flicker, to glitter, to sparkle, to gleam",素晴らしい考えがひらめいた。,A wonderful idea just ran through my mind.
手渡す,"to hand over, to surrender",そのテーブルの上の新聞を手渡してもらえませんか。,Could you hand me the newspaper on the table?
