Subtitle1,Translation1
NETFLIX シリーズ え… 全然 見えない （女性）私も見えませんよ,-I can't see at all. -I can't either.
（女性）表情も見えないし,I can't see your expression either.
（男性）声だけって めちゃめちゃ不思議っすね,It's super weird with just a voice.
（女性）現実なのか 何なのか,Is this real? What is it?
（男性） 普通の恋愛ではないですもんね,This is not ordinary dating.
（男性）はあ マジか,Seriously?
（男性）ええ？　待って 分からんくなってきた マジで,I really don't get it.
（女性）私は この人が⸺ 気になるなって思ったし 会いたいしさ,I think I like this person. I want to see him.
（男性）僕の目が 見えなくなっても⸺ あなたに恋をする,"If I were to lose my sight, I would still love you."
（女性）めっちゃ不思議じゃない？ 顔 見てないのにさ はあ… めっちゃ好きみたいな,Isn't it crazy that I can't see his face but feel so into him?
（女性たち）すごい,"-How lovely. -Very ""Japan."""
すごいステキ,"Wow, amazing."
（ミナミ）あっ ジェンガある,They have Jenga.
（プリア）目から入ってくる 情報で判断しがち？,"PRIYA, 27 ENTREPRENEUR I tend to make decisions based on visual input."
そうじゃなく ところで つながれる ところで…,"If I connected with somebody without judging them visually,"
出会えたら それは⸺,"If I connected with somebody without judging them visually, maybe they'd turn out to be someone I can't live without."
かけがえのない関係かもと 思って,maybe they'd turn out to be someone I can't live without.
（カオル） はじめまして カオルです,"Hi, I'm Kaoru."
えっと… 31歳で音楽やってます,I'm 31 and a musician.
やっぱり 今まで⸺,"KAORU, 31 SINGER-SONGWRITER"
外見なしに 恋愛してきた⸺ 経験もないし,I've never experienced love without considering looks.
でも こう 長期的に見たら⸺,"But in the long term,"
やっぱり その 外見っていうのは⸺ う～ん… 一番 大事なものでは やっぱりないし,looks aren't what's most important.
運命の人 見つけたいです,Yeah. I want to meet my soul mate.
（ワタル）めっちゃキレイ,Nice.
（オダッチ）エヘヘッ マジで？ （モリ）おおっ ハハハハッ,No way.
（リョウタロウ）おお すげえ トランプもある ヤバッ,"Wow, they even have cards. Cool."
見た目で何か⸺,"RYOTARO, 32 HAIRSTYLIST"
タイプがこうとかって 言うより 何かその…,"Rather than having a type,"
ホントに内面的に こう 相手のことを⸺ めっちゃ好きになれたら,being able to really like someone for who they are inside
それこそもう 運命の出会いですよね,"would be like fate, right?"
（シュンタロウ） シュンタロウです よろしくお願いします （男性たち）お願いします,"-Hi, I'm Shuntaro. Nice to meet you. -Nice to meet you."
いや もう運命があればね 誰とでもいいかなと 思いますよね,"If it's fate, I'll be happy with whoever it is."
かわいいと思って つきあったら 中身⸺,"SHUNTARO, 56 CONSULTANT"
恐ろしかったっていう 経験をしてますので,"I dated someone for being pretty, but she was awful inside."
それから 自分自身のことを⸺,"When I think it through,"
考えた時に とかく あれこれ考えては⸺,"When I think it through, I tend to fail by overthinking things."
失敗するタチなので,I tend to fail by overthinking things.
ちょうどいいかなと 思ってね,So if I meet someone here it will be great.
（女性たちの笑い声）,TAKASHI FUJII - YUKA ITAYA
（藤井隆(ふじい たかし)） どうも こんにちは （板谷由夏(いたや ゆか)） こんにちは,-Hello there. -Hi!
（女性たち）こんにちは,-Hello. -Hi there.
（藤井）「ラブ･イズ･ブラインド ジャパン」に⸺ （藤井と板谷）ようこそ,"-Welcome to Love is Blind, Japan. -Welcome."
（藤井）ご参加いただいて ホントにありがとうございます,Thank you so much for joining us.
（藤井）あの 我々… （板谷）緊張する,-We are-- -I'm so nervous.
ものすごく 緊張してたんですけど,We were super nervous.
皆さんのほうが リラックスなさって⸺,But all of you are relaxed and talking.
お話ししてくださってたんで ちょっと安心しました,"But all of you are relaxed and talking. -So I feel a little better. -Yes, relieved."
お話ししてくださってたんで ちょっと安心しました （板谷）安心しましたね,"-So I feel a little better. -Yes, relieved."
なんで応募しようと 思ってくれたんですか？,Why did you sign up?
（エリ）面食いの 傾向があって⸺,"ERI, 32 FITNESS TRAINER"
（藤井）おお,I tend to go for looks.
（藤井）大丈夫ですか？ （エリ）どうしましょう,-Will you be okay? -I'm not sure.
結婚に どういうことを 求めてらっしゃいます？,What do you want out of marriage?
（ミサキ）僕 アフリカ 行ってるんですけど,"MISAKI, 31 BASEBALL COACH IN KENYA -I live in Africa. -Africa?"
（藤井と板谷） アフリカ？,-I live in Africa. -Africa?
あの アフリカに 連れて帰りたいです,I want to bring her to Africa.
（男性たち）すごい,Wow.
（藤井）それでは この番組の ルールを説明させていただきます,Now we will explain the rules of this program.
「ラブ･イズ･ブラインド」では 外見ではなく⸺,"On Love is Blind, we want you to find a marriage partner using only emotional bonds,"
心のつながりだけで 結婚相手を⸺,"we want you to find a marriage partner using only emotional bonds,"
見つけていただきたいと思います 見つけていただきたいと思います （板谷）はい,-not looks. -Right.
皆さんには これから10日間⸺ 男性は こちら側で⸺,"For ten days, starting now, the men will stay here."
…で 女性は 壁の向こう側で⸺ 過ごしていただきます,The women will stay on the other side of that wall.
（板谷）女性と交流 つまり⸺ デートができるのは⸺,"You can only interact with or ""date"" women"
こちらにあるですね “ＰＯＤＳ”と呼ばれる 個室のみになります,when in the pods here.
壁で隔たれまして 相手の姿を⸺ 見ることは 皆さん できません,"You're separated by a wall, so you won't be able to see your date."
壁の向こうから 聞こえる声を頼りに⸺ 心のつながりを⸺ 深めていただきたいと 思っています,You'll rely on the voice from the other side to build a connection.
（藤井）そして⸺ ＰＯＤＳでの デートを重ねて⸺,"Then, building on your pods dates,"
一生の伴侶だと⸺ 思える方が 決まりましたら⸺,"when you think you've found your lifelong companion,"
プロポーズを していただきます,you will propose.
どうします？　どうします？,-What should we do? -Indeed.
いや つらつらと ルール説明してますけど これ⸺,We've run through the rules.
（藤井）すごいことですからね （板谷）すごいことですよ,This is a big deal though.
一生のことだからね,"Yeah, it's for life."
ええ 見事 婚約がですね 成立すれば⸺,"If you manage to get engaged,"
そのパートナーと⸺,you will be able to meet with your partner for the first time.
初めて 会うことができると,you will be able to meet with your partner for the first time. Right.
（藤井）ええ ステキな婚約者と 対面を果たしましたら⸺,"After you've met your dear betrothed,"
そのあと ３週間の 同棲生活を経て⸺,you will live together for three weeks.
いよいよ 結婚式を 迎えることになります,"Finally, you will have a wedding ceremony."
ちょっともう 辞退しますって方 いらっしゃいますか？,Anybody want to drop out yet?
大丈夫ですか？,Is this okay?
（アヤノ）でも 何か 妄想できて⸺,"AYANO, 30 CORPORATE WORKER"
楽しいかもしれない （藤井）前向き,-It could be fun to fantasize. -That's positive.
（モリ）まあ こんなことでもないと,"MORI, 37 COSMETIC DERMATOLOGIST I probably wouldn't get married if it weren't for something like this."
結婚しないんじゃ ないかな,I probably wouldn't get married if it weren't for something like this.
（藤井）でも 何か すごい優しい笑顔の方やから…,He's got such a kind smile.
でも 笑顔 見れないもん そうなんですよね,-They won't be able to see each other. -That's right.
（板谷）笑顔 見れない （藤井）お相手がね 見れないから,-They won't be able to. -What a shame.
どんな質問したら 分かるんだろう （ミナミ）私 絶対⸺,-What questions could they ask each other? -Yeah.
聞こうと思ってるのが バスタオルの使用頻度,"MINAMI, 26 ARCHITECTURE FIRM I definitely want to ask how frequently they use their bath towels."
（女性たち）ああ,I definitely want to ask how frequently they use their bath towels.
お金をかける価値が あるものが⸺ その人にとって 何かっていうのを⸺ 知りたい,I want to know what they prefer spending money on.
私は もう体験なんですよ 物とか物質な物よりも,I value experiences more than material possessions.
じゃあ いくら 立派な ダイヤ買いますよって⸺,Even if he said he'd buy you lots of fine diamonds?
（藤井）言われても… （プリア）それは欲しい （女性たちの笑い声）,"No, I want those."
（藤井）そりゃそっか,"Oh, I see."
さあ それでは⸺ 心の準備は できましたでしょうか？,All right. Are you mentally prepared?
できた方から どうぞ,"Whoever's ready, go ahead."
PODSのほうへ 移動していただきたいと思います,Please go to the pods.
PODSは もう開いています,The pods are already open.
何か 意外と 人見知りだから⸺,"I'm quite shy, so not seeing his face might be good"
顔見ない方が 何でも話せて⸺,"I'm quite shy, so not seeing his face might be good because we can talk about anything."
向いてるかも,because we can talk about anything.
（ユウダイ） 顔見て いざ その…,"YUDAI, 23 MEN'S HAIRSTYLIST What I'm afraid of is having a change of heart"
考えが変わる瞬間が もし 来るとしたら⸺,What I'm afraid of is having a change of heart when I see her for the first time.
それが 怖かったりします,when I see her for the first time.
（ミドリ）ルックスとか じゃなくて⸺,"MIDORI, 30 BUSINESS PLANNER"
何かこう 異性として⸺ 好きになれるのかなって できないんじゃ ないかって⸺,I'm not sure it's possible to like the opposite sex without going by looks.
まだ半信半疑,I'm still on the fence.
（ワタル）あれ？　こんにちは,"WATARU, 38 EXECUTIVE"
（モトミ）あっ こんにちは,-Hello? -Hello.
（ワタル）聞こえてますか？ （モトミ）聞こえてます,"-Can you hear me? -Yes, I can."
（ワタル）えっ でも この辺 来ても⸺ 見えないんすよね だって,We can't see even if we come up close?
（ワタル）見えてますかね （モトミ）えっ 見えないです 見えないです,"No, I can't see."
（ミズキ）えっ 初対面 結構 大丈夫なほうなんすか？,Are you comfortable with first meetings?
（ミナミ）人見知りしないかって ことですか？ （ミナミ）人見知りしないかって ことですか？ （ミズキ）はい,-You mean am I shy? -Yes.
まったくしないですね （ミズキ）おお すごいっすね,-Not at all. -Great.
えっ されますか？,-You? -Me? Totally.
いや 僕 バリバリしますね,"MIZUKI, 29 RESTAURATEUR"
（ミナミ）あっ ホントですか？,Really?
じゃこれ あってよかったですね （ミナミ）この お月様 （ミズキ）そうですね はい,-Good thing we have this moon. -Yeah.
（トシエ）どんな生活を 送りたいですか？,"TOSHIE, 39 AROMATHERAPY INSTRUCTOR What kind of lifestyle would you want if you found your match?"
もし 相手が見つかったら,What kind of lifestyle would you want if you found your match?
（モリ）たぶん はい あっ （トシエ）えっ？　モリ… うん （モリ）何ですか？ （トシエ）はい どうぞどうぞ,"-Yes? -No, you go ahead."
（モリ）あっ ふだん… はい （トシエ）えっ はい…,"-I, well-- -Yes? I interrupted you, didn't I?"
（モリ）さっきも僕 遮りましたよね すみません,"I interrupted you, didn't I?"
（トシエ） いや 私も遮ってますね （トシエ）すいません （モリ）いやいや,I did too. Sorry.
