Korean,English,Japanese
성찬: 안녕하세요. 처음 뵙겠습니다.,Seongchan: Hi. How do you do?,ソンちゃん：こんにちは、はじめまして。
지연: 안녕하세요.,Ji-yeon: Hello.,ジヨン：こんにちは
성찬: 저는 성찬이라고 해요. 김성찬.,Seongchan: My name is Seongchan. Seongchan Kim.,ソンちゃん：私はソンちゃんです。キム・ソンチャンです。
지연: 저는 오지연이에요.,Ji-yeon: I am Ji-yeon Oh.,ジヨン：ジヨンです。私はオ・ジヨンです。
"성찬: 이모임은처음오는건데,지연씨는전에이모임참석한적있으세 요?",Seongchan: It’s my first time coming to this meetup. Have you attended this meetup before?,ソンチャン：このミートアップに来るのは初めてです。以前にもこのミートアップに参加されたことがありますか？
지연: 아니요. 저도 오늘 처음 오는 거예요.,"Ji-yeon: No, it’s my first time, too.",ジヨン：はい。いや、僕も初めてです。
성찬: 아는사람없이혼자오니까많이쑥스럽고어떻게해야할지모르겠어요.,Seongchan: I feel very shy and don’t know what to do because I came here by myself without knowing anybody.,ソンチャン：知り合いもいないのに一人で来たから、すごく恥ずかしくて、どうしたらいいかわからないんです。
지연: 저도 그래요. 게다가 많이 시끄러워서 사람들 말소리도 잘 안 들리네요 .,"Ji-yeon: Me, too. On top of that, it is very noisy, so I can’t hear people’s voices very well.",ジヨン：私もです。それに、とても騒がしいので、人の声がよく聞こえないんです。
성찬: 여기 모임은 어떻게 알고 오셨어요?,Seongchan: How did you find out about this meetup?,ソンちゃん：この出会いはどうやって知りましたか？
지연: 저는저희회사사람이추천해줘서알게됐어요.성찬씨는요?,"Ji-yeon: I learned about it because a coworker at work recommended it. How about you, Seongchan?",ジヨン：職場の同僚に勧められて知りました。ソンチャンはどうですか？
성찬: 저는인터넷으로이모임에대해알게돼서왔어요.왠지재밌을것 같더라고요.,"Seongchan: I learned about this meetup through the Internet, so I came here. It kind of looked like a fun event.",ソンチャン：私はインターネットでこの会を知って、来ました。なんだか楽しそうなイベントだなと思って。
성찬: 저는인터넷으로이모임에대해알게돼서왔어요.왠지재밌을것 같더라고요.,"Ji-yeon: Oh, I see. What kind of work do you do?",ジヨン ああ、そうですか。どんなお仕事をされているんですか？
"지연: 아, 그렇군요. 성찬 씨는 어떤 일 하세요?","Seongchan: I am currently not employed anywhere specifically, but I draw as a freelancer. How about you, Ji-yeon?",ソンちゃん：今は特にどこにも就職していませんが、フリーランスで絵を描いています。ジヨンさんはどうですか？
"지연: 저는 막 졸업해서, 이제 취직 준비하고 있어요. 성찬: 취준생이시군요.","Ji-yeon: I just graduated, so I am preparing to get a job now.",ジヨンです。卒業したばかりなので、今就職の準備をしています。
지연: 네. 맞아요.,Seongchan: You’re looking for a job.,ソンちゃん：就職活動中なんですね。
성찬: 어떤 쪽으로 일을 하고 싶으세요?,"Ji-yeon: Yeah, that’s right.",ジヨン: ええ、そうです。
지연: 제가 여행을 많이 좋아하거든요. 그래서 여행사에서 일하고 싶어요. 성찬: 좋아하는 분야에서 일하면 정말 좋을 것 같아요. 여행도 자주 하시겠네요?,Seongchan: What kind of work do you want to do?,ソンチャン:どんな仕事をしたいですか？
지연: 많이는안해봤고요.동남아로다섯번정도여행가봤어요.그중한번은 혼자서 배낭여행으로 가 봤어요.,"Ji-yeon: I really like traveling. So, I want to work in a travel agency. Seongchan: It would be great to work in a field that you like. You must travel often, then?",ジヨン: ジヨン:旅行がとても好きです。だから、旅行会社で働きたいんです。ソンチャン:好きな分野で働けたらいいですよね。よく旅行に行かれるんでしょう？
성찬: 정말대단하시네요.저같으면무서워서친구한명은꼭데리고갈것 같은데요.,Ji-yeon: I haven’t traveled a lot. I’ve traveled to Southeast Asia about five times. One of those trips was a backpacking trip by myself.,ジヨン: ジヨン:私はあまり旅行したことがありません。東南アジアには5回ほど行きました。そのうちの1回は、一人でバックパッカーとして旅行しました。
지연: 사실별로무섭지는않아요.혼자여행하면서느끼고배울수있는것도 많더라고요. 성찬 씨는 주로 어떤 그림 그리세요?,Seongchan: You’re so brave! I would be too scared and take a friend with me if I did that.,ソンチャン：勇気がありますね。僕だったら怖くて友達と一緒に行くかな。
성찬: 음... 들어오는 일에 따라서 달라요. 여기 제 명함이에요. 심심할 때 사이트놀러오시면제그림보실수있어요.,"Ji-yeon: It’s not that scary, actually. When you travel alone, there are a lot of things to learn and emotions to feel. What kind of stuff do you usually draw?",ジヨン そんなに怖くはないですよ。一人旅は、学ぶことや感じることがたくさんあります。普段はどんなものを描いているんですか？
성찬: 음... 들어오는 일에 따라서 달라요. 여기 제 명함이에요. 심심할 때 사이트놀러오시면제그림보실수있어요.,"Seongchan: Well, it depends on the job that comes in. Here’s my business card. If you visit my site when you’re not busy, you can see my drawings.",ソンちゃん：そうですね、入ってくる仕事によって違います。これが僕の名刺です。暇なときに私のサイトを見ていただければ、私の絵を見ることができますよ。
"지연: 와, 감사합니다. 명함이 참 귀엽네요. 저는 아직 명함 같은 게 없어서...나중에 문자 하나 드릴게요.","Ji-yeon: Wow, thank you. Your business card design is really cute. I don’t have any business cards, so I will send you a text message later.",ジヨン わあ、ありがとうございます。名刺のデザインは本当にかわいいですね。私は名刺を持っていないので、後でメールを送りますね。
