Words,Meaning,Sentences,Translation
書き続ける,to continue writing,彼は手紙を書き続ける。,He has been writing a letter.
歩き続ける,to keep walking,あきらめずに歩き続ければ、進歩するでしょう。,Then that animosity is being passed on down to us?
受け続ける,to continue to receive,じゃあ僕らはその腹いせ受け続けるんですか？,Then that animosity is being passed on down to us?
持ち続ける,"to hold onto, to persist in, to maintain",一社の株を持ち続ける。,Holding on to the stock of one company
打ち続ける,to hit repeatedly,庭に水を打ち続けた。,He kept watering the garden.
走り続ける,to keep running,走り続けると明かりが見えてきた。,"As we continued running, we saw lights."
思い続ける,"to think constantly, to dwell on",彼は去っていった妻のことをいつまでも思い続けた。,He kept on thinking of the wife who had left him.
立ち続ける,to keep standing,私は教師として30年教壇に立ち続けてきた。,I have been a teacher for 30 years.
働き続ける,to continue to work,僕は働き続けるには疲れすぎていた。,I was too tired to keep working.
増え続ける,to continue to increase,どの町にもコンビニが増え続ける。,Convenience stores continue to increase in every town.
保ち続ける,"to maintain, to continue to have",温度を一定に保ち続ける。,Maintain a constant temperature.
言い続ける,to keep talking,待遇の改善を会社側に言い続けている。,We are continuing to request better conditions from the company. 
乗り続ける,to continue riding,彼女はいつもファーストクラスに乗り続ける。,She's always flying first class.
降り続く,to continue to rain or snow,明日で５日間雪が降り続くことになる。,It will continue to snow for five days tomorrow.
引き続く,"to continue, to occur in succession, to come next",式に引き続いてパーティーがあった。,"Following the ceremony, there was a party."
見に行く,"to go to see, to visit",平均して、月に二回映画を見に行きます。,"On average, I go to the movies twice a month."
遊びに行く,"to go on a trip, to go out to play, to go and visit",外に遊びに行ってもいいですか。,Can I go outside to play?
行き渡る,"to diffuse, to spread throughout, to become widespread",その報道は全国に行き渡った。,The news report went around the country.
行き届く,"to be scrupulous, to be attentive, to be prudent, to be thorough",彼は何事にも行き届いた人だ。,He is a man who is good at everything.
巻き込む,"to roll up, to enfold, to swallow up, to involve, to drag into",我々は交通事故に巻きこまれた。,We were involved in a traffic accident.
申し込む,"to apply, to make an application, to propose, to offer",何人社員が転部を申し込んで来ましたか。,How many employees applied for a transfer?
行き合う,to meet by coincidence while one is out,私は昔の友達とばったり行き合った。,I happened to run into an old friend.
行き過ぎる,"to go too far, to go past, to go to extremes, to overdo it",うっかり彼女の家を行き過ぎて戻った。,I thoughtlessly went past her house and came back.
当て込む,to expect a good result and depend on it,彼はボーナスを当て込んでいた。,He was counting on getting his bonus.
売り込む,to explain well to be able to sell ,彼は新しい製品を取引先に安い価格で売り込んだ。,He sold the new product to his client at a low price.
追い込む,to chase and put inside,彼は鶏をかごに追い込んだ。,He chased the chicken into the cage.
教え込む,to teach until the material is completely understood,子供に勉強を教え込んだ。,I drilled the children in their lessons.
押し込む,to push and (forcibly) put something in,彼は子供のポケットにお金を押し込んだ。,The parent shoved some money into the child’s pocket.
間に合う,be in time for,僕は終電にすれすれのところで間に合った。,I was just in time for the last train.
話し合う,"to dis cuss, to talk together",彼と私はごみ問題の再利用の点から話し合った。,He and I discussed the waste problem in terms of recycling.
付き合う,"to associate with, to keep company with, to go out with, to steady with, to go along with",あんなウダツがあがらない男といつまで付き合ってるの。,How long are you going to be seeing that loser of a boyfriend?
知り合う,"to get to know someone, to make acquaintance",私は２週間前に彼女と知り合った。,I became acquainted with her two weeks ago.
助け合う,"to help each other, to cooperate",学園祭を成功させるために彼らは互いに助け合った。,They helped one another to make the school festival a success.
気が合う,to get along with someone,彼らは妙おたがいに気が合う。,They have a strange affinity for each other.
分け合う,to share,支払いは分け合いましょう。,Let's split the bill.
釣り合う,"to balance, to be in harmony, to suit, to go well together",彼女の服と色と靴の色はよく釣り合っている。,The color of her dress and that of her shoes go well together.
口に合う,to suit one’s taste,そのコーヒーは私口に合わなかった。,The coffee was not much to my liking.
聞き飽きる,to be tired of hearing,私は聞きあきた。,I am tired of hearing.
食べ飽きる,"to get tired of eating, had enough of food",毎日寿司を食べていたのに寿司は食べ飽きない。,I ate sushi every day and never got tired of eating sushi.
切り抜く,"to cut out, to clip from, to extract",彼は新聞から広告を切り抜いた。,He cut the advertisement out of the newspaper.
出し抜く,"to outwit, to outmaneuver, to anticipate",あの男を出し抜いてやった。,I outwitted him.
引き抜く,"to pull out, to extract, to draw out, to lure away, to poach, to entice",彼はライバル会社に引き抜かれました。,He was poached by a rival company.
撃ち抜く,"to shoot out ( lights, window, etc)",彼は最初の一発で的の中心を撃ち抜いた。,He hit the center of the target with his first shot.
考え抜く,to think thoroughly,私はあらゆる困難について考え抜いた。,I thought out all the difficulties.
使い果たす,"to use up, to squander",彼は体力をすべて使い果たした。,He exhausted all his energy.
疲れ果てる,"to get tired out, to be exhausted",長い距離を歩いて疲れ果てた。,I exhausted myself by walking a long distance.
困り果てる,"to be at a complete loss, to have absolutely no idea what to do",私はこの難問に困り果てている。,I'm at my wit's end with this difficult problem.
荒れ果てる,"to fall into ruin, to be desolated",その古城は荒れ果てたままになっていた。,The old castle lay in ruins.
置き換える,"to re place, to move, to change the position of",現在のバージョンは、アップグレード版で置き換えます。,We will replace the current version with the upgrade.
遊びに来る,"to come and stay, to drop in, to visit",週末遊びに来ませんか。,Won't you come and see me this weekend?
見に来る,"to cone and see, to visit",たった５２９人の観客しか試合を見に来なかった。,A mere 529 spectators watched the game.
頭に来る,"to get mad, to be highly offended, to get pissed off",あいつは、まったく頭にくるやつだ。,That guy really burns me up.
押し付ける,"to press, to push, to force",自分の考えを僕に押しつけるな。,Don't press your opinion on me.
押し分ける,to push aside,彼は群集を押し分けて進んだ。,He pushed his way through the crowd.
行き合う,to meet by coincidence while one is out,私は昔の友達とばったり行き合った。,I happened to run into an old friend.
請け合う,to guarantee that something is certain,彼の人柄は私が請け合います。,I can vouch for his character.
請け合う,to accept with responsibility,できない仕事を請け合ってはいけません。,We must not accept any work that we cannot do.
打ち合う,to strike each other,剣士は互いに打ち合った。,The kendoka struck each other.
押し合う,to push each other,子供たちは押し合った。,The children pushed each other.
落ち合う,to get together at a certain place,私は友達と駅で落ち合った。,I met up with my friend at the station.
折り合う,"to reach an agreement, to compromise",両者の条件がようやく折り合った。,The two parties finally found a way to accommodate each other’s conditions.
関わり合う,to have a relationship,あの人と関わり合いたくない。,I don't want to have anything to do with that person.
掛け合う,to negotiate with the other person,彼は店員に値引きを掛け合った。,He tried to haggle with the shopkeeper to lower the price.
語り合う,to tell each other,私は友人と将来の夢を語り合った。,My friend and I shared our dreams for the future.
絡み合う,to become entangled with each other,犬どうしが互いに絡み合った。,The dogs have gotten into a fight with each other.
切り合う,to fight each other and attempt to cut each other down,剣豪は挑戦者と切り合った。,The expert swordsman and his challenger took part in a sword fight.
混み合う,to be crowded because many people are gathered,車内が通勤客で混み合っている。,The train car is packed with commuters.
差し合う,"to come into conflict, to battle each other",彼は強敵と差し合って勝った。,He did battle with a formidable foe and won.
知り合う,to get to know each other and start interacting,私はニューヨークで彼と知り合った。,I first got to know him in New York.
攻め合う,to attack each other,両方のチームが攻め合った。,Both teams went on the offensive.
競り合う,to compete and try to obtain,彼は弟と一等賞を競り合った。,He and his brother competed for first place.
立ち合う,"to compete, to dispute.",剣術士はお互いに立ち合った。,The two swordsmen faced each other in a standoff.
抱き合う,to hug each other,彼は戦友と抱き合った。,	He embraced his old wartime buddy.
通じ合う,to be understandable to each other,彼らは何も話さなくてもお互いに心が通じ合っている。,"Even if they don't say a word, they can still understand each other."
付き合う,to be dating (someone),私は彼と付き合っている。,I'm dating him.
付き合う,"to associate with, to accompany someone",彼らは食事に付き合った。,They shared a meal with me.
釣り合う,"to go well together, to be balanced, to be in harmony",彼は彼女と釣り合っている。,He is a good match for her.
溶け合う,to melt and become one,新しい文化と古い文化が溶け合っている。,The new and old cultures have fused into one.
取り合う,to grasp each other's hands,彼らは友達と手を取り合って喜んだ。,They grasped their friends' hands and rejoiced.
取り合う,"to join hands, to fight for",彼は友達と１つのゲームを取り合った。,He and his friends fought over one game.
取り合う,to not take seriously,彼は訪問者をまったく取り合わなかった。,He completely neglected his guests.
殴り合う,to punch each other,彼は友達と殴り合ってけんかした。,He came to blows with his friend and they fought.
握り合う,to hold mutually,彼は友達と手を握り合った。,He and his friend held hands.
睨み合う,to glare at each other,二人はにらみ合って立っていた。,They stood glaring at each other.
張り合う,to be in competition,彼は親友といつも張り合っている。,He and his best friend are always competing with each other.
引き合う,to pull at each other,磁石のＮ極とＳ極が引き合う。,The north and south poles of magnets are attracted to each other.
引き合う,to have profit from a deal,この仕事は採算的に引き合わない。,This job just does not pay.
触れ合う,"to touch each other, to interact familiarly",私はいろいろな国の人と触れ合いたい,I want to interact with people from all over the world.
ぶつかり合う,to collide with great momentum,両者はまっこうからぶつかり合って妥協の余地がない。,"The two sides collide head-on, leaving no room for compromise."
混ざり合う,to mix together,混じり合うのほうが普通。,Mixed is more common.
混じり合う,"to be mixed together, to be blended",ニューヨークは多様な文化が混じり合った町だ。,New York is a town where a variety of cultures intermingle.
向かい合う,to face each other's fronts,二人は向かい合って座った。,They sat facing each other.
向き合う,to face each other,教師は逃げずに困難な課題に向き合うべきだ。,Teachers should face difficult challenges without running away from them.
巡り合う,to meet unexpectedly,オークションで欲しかった品物に巡り会った。,I happened to find at an auction something that I had sought for a long time.
揉み合う,to shove each other with neither compromising.,警官は犯人と揉み合った際に拳銃を奪われた。,The policeman lost his gun when he grappled with the culprit.
やり合う,to dispute with each other,二人の党首は、テレビ討論で激しくやり合った。,The two party heads sparred with each other in the televised debates.
行き合う,to meet by coincidence while one is out.,私は昔の友達とばったり行き合った。,I happened to run into an old friend.
譲り合う,to give to each other,現代社会では譲り合う気持ちが大切です。,A generous spirit is very important in our modern society.
寄せ合う,to bring together mutually,二人は肩を寄せ合って星空を眺めた。,They stood shoulder to shoulder and gazed up at the stars.
寄り合う,to gather (come together) in one place,彼らが寄り合えばいつも高校時代の話に花が咲く。,"Whenever they stop by, they always talk about their high school days."
論じ合う,to discuss with each other,彼らは日本の将来を論じ合った。,They discussed the future of Japan.
分かち合う,to share with one another,彼女は恋人と受賞の喜びを分かち合った。,She shared with her boyfriend the joy of winning the award
分かり合う,to understand each other,キミは彼女と気持ちを分かり合う努力が必要だ。,You and your girlfriend need to make an effort to understand each other's feelings.
分け合う,to share with each other,喜びも悲しみも分け合うのが本当の友達だ。,A true friend is one who shares both joys and sorrows.
渡り合う,"to dispute with (an adversary), debate heatedly",野党議員は首相と互角に渡り合った。,Opposition members went toe-to-toe with the prime minister.
組み合わせる,to put together several things and make one unit,和風と洋風を組み合わせた建物。,A building that combines Japanese and European elements.
駆け上がる,"to run up, dash up, rush up",彼女は寺の階段を駆け上がった。,She ran up the temple steps.
晴れ上がる,to clear up,空はすぐに晴れ上がるでしょう。,The sky will soon clear up.
繰り上がる,"to move up, be advance, carried forward",受付時間が繰り上がることもあるので気を付けて下さい。,Please note that the reception time may be moved up.
飲み飽きる,to get tired of drinking,このワインはもう飲み飽きたよ。,I'm tired of drinking this wine.
見飽きる,to be tired of looking at​,この動画は何度も見たので見飽きたよ。,I've seen this video so many times I'm tired of watching it.
